horizon,source,point
4,1,0.3
4,2,0.3
4,4,0.9
4,5,0.9
4,6,0.6
4,7,
4,14,0
4,15,1.2
4,16,0.7
4,20,0.7
4,22,0.7
4,23,0.6
4,24,0.94
4,26,0.32
4,29,0.3
4,31,1.1
4,32,0.9
4,35,0.9
4,37,0.6
4,38,1
4,39,0.6
4,41,1
4,45,0.85
4,47,0.9
4,48,0.9
4,49,0.7
4,52,0.5
4,54,0.9
4,57,1.1
4,61,1
4,63,0.5
4,67,
4,68,0.9
4,70,0.8
4,73,0.7
4,80,0.5
4,82,0.5
4,84,0.8
4,85,0.378
4,88,0.9
4,89,1.3
4,91,0.9
4,92,1.064
4,93,1.1
4,94,0.4
4,95,1.159
4,96,0.4
4,98,0.06
4,99,0.5
4,101,0.8
4,102,0.9
4,103,0.7
4,105,1
4,110,0.7
4,112,1
4,114,0.8
4,115,0.7
8,1,0.7
8,2,1
8,4,1.6
8,5,1.2
8,6,1.5
8,7,
8,14,0.5
8,15,1.6
8,16,1.3
8,20,1.3
8,22,1.3
8,23,1.7
8,24,1.6
8,26,1.46
8,29,0.5
8,31,1.6
8,32,1.7
8,35,
8,37,1.5
8,38,1.7
8,39,1.5
8,41,1.5
8,45,1.275
8,47,1.6
8,48,1.3
8,49,1.7
8,52,1.5
8,54,1.7
8,57,1.5
8,61,
8,63,1.5
8,67,
8,68,1.5
8,70,1.3
8,73,1.4
8,80,1.2
8,82,1.3
8,84,1.5
8,85,1.43
8,88,1.5
8,89,1.4
8,91,1.4
8,92,1.505
8,93,1.8
8,94,1.7
8,95,1.5515
8,96,1.1
8,98,1.28
8,99,1.5
8,101,1.6
8,102,1.5
8,103,1.6
8,105,1.6
8,110,1.2
8,112,1.5
8,114,1.4
8,115,1.7
12,1,1.5
12,2,1.2
12,4,
12,5,1.2
12,6,1.8
12,7,
12,14,1.1
12,15,1.8
12,16,1.3
12,20,1.8
12,22,1.6
12,23,1.8
12,24,1.9
12,26,1.8
12,29,0.8
12,31,1.7
12,32,
12,35,
12,37,2
12,38,1.7
12,39,1.7
12,41,1.7
12,45,1.35
12,47,
12,48,
12,49,1.8
12,52,1.6
12,54,1.9
12,57,1.8
12,61,
12,63,1.7
12,67,
12,68,1.6
12,70,
12,73,1.7
12,80,1.8
12,82,
12,84,1.8
12,85,2.025
12,88,1.7
12,89,1.5
12,91,1.6
12,92,1.307
12,93,2
12,94,1.9
12,95,1.7565
12,96,1.3
12,98,1.6
12,99,
12,101,1.7
12,102,1.4
12,103,1.8
12,105,1.8
12,110,
12,112,1.7
12,114,1.3
12,115,
20,1,1.9
20,2,1.6
20,4,1.9
20,5,1.7
20,6,2
20,7,
20,14,2
20,15,1.9
20,16,1.7
20,20,1.9
20,22,1.7
20,23,2
20,24,1.9
20,26,1.9
20,29,1.5
20,31,1.8
20,32,
20,35,
20,37,2.2
20,38,
20,39,1.9
20,41,
20,45,1.6
20,47,1.9
20,48,1.5
20,49,
20,52,1
20,54,2
20,57,2
20,61,
20,63,1.8
20,67,
20,68,1.9
20,70,1.8
20,73,1.8
20,80,1.5
20,82,
20,84,1.9
20,85,1.95
20,88,1.85
20,89,2
20,91,1.7
20,92,
20,93,2
20,94,1.7
20,95,1.7685
20,96,1.5
20,98,2
20,99,1.7
20,101,1.8
20,102,1.4
20,103,1.8
20,105,2.2
20,110,
20,112,2
20,114,1.5
20,115,
