horizon,source,point
1,1,0.2
1,2,0
1,4,0.1
1,6,0
1,7,
1,8,0.1
1,14,0.3
1,15,0.1
1,16,0.2
1,20,0
1,22,0
1,23,0.1
1,24,0.1
1,29,0.3
1,31,0.1
1,32,0
1,35,0.1
1,36,0.3
1,37,0
1,38,0.1
1,39,0.1
1,41,0.2
1,42,0.2
1,45,0.15
1,47,0.1
1,48,0.1
1,49,0.1
1,52,0.1
1,54,0.2
1,57,0.1
1,61,0.1
1,65,0.4
1,67,
1,68,0.1
1,70,0
1,73,0.3
1,80,0.1
1,82,0
1,84,0
1,85,0.139
1,89,0.2
1,91,0
1,92,0.0686
1,93,0.2
1,94,0.1
1,95,0.0965
1,96,0
1,97,0.1
1,99,0.1
1,101,0.1
1,102,0.1
1,103,0.1
1,105,0.1
1,107,0.0686
1,110,0.1
1,111,0
1,112,0.2
1,114,0.1
1,115,0.1
1,116,0.1
5,1,1.3
5,2,0.5
5,4,1.1
5,6,0.8
5,7,
5,8,1.1
5,14,1.4
5,15,1.2
5,16,0.9
5,20,0.8
5,22,0.9
5,23,1.2
5,24,1
5,29,0.5
5,31,1.2
5,32,0.9
5,35,1
5,36,1
5,37,0.9
5,38,1.1
5,39,1.2
5,41,1.2
5,42,0.6
5,45,1.2
5,47,1.1
5,48,0.9
5,49,1
5,52,1
5,54,1
5,57,1.3
5,61,1.3
5,65,1.5
5,67,
5,68,1.1
5,70,0.7
5,73,1.2
5,80,0.9
5,82,0.6
5,84,1.1
5,85,1.1435
5,89,1.3
5,91,1
5,92,1.3291
5,93,1.5
5,94,1.3
5,95,1.117
5,96,0.7
5,97,0.8
5,99,1
5,101,1.1
5,102,1
5,103,1.2
5,105,1
5,107,1.3291
5,110,1
5,111,
5,112,1.2
5,114,1
5,115,1.1
5,116,1
9,1,1.7
9,2,1.1
9,4,1.6
9,6,1.5
9,7,
9,8,1.4
9,14,1.7
9,15,1.7
9,16,1
9,20,1.4
9,22,1.4
9,23,1.6
9,24,1.6
9,29,1
9,31,1.7
9,32,1.8
9,35,
9,36,2
9,37,1.7
9,38,1.7
9,39,1.5
9,41,1.5
9,42,
9,45,1.28
9,47,1.6
9,48,1.3
9,49,1.7
9,52,1.4
9,54,1.7
9,57,1.5
9,61,
9,65,2.3
9,67,
9,68,1.6
9,70,1.1
9,73,1.6
9,80,1.8
9,82,1.1
9,84,1.6
9,85,1.7482
9,89,1.5
9,91,1.5
9,92,1.196235
9,93,2
9,94,2
9,95,1.5525
9,96,1.2
9,97,
9,99,1.5
9,101,1.3
9,102,1.5
9,103,1.7
9,105,1.8
9,107,1.196235
9,110,
9,111,
9,112,1.6
9,114,1.2
9,115,1.7
9,116,1.4
21,1,1.9
21,2,1.6
21,4,1.7
21,6,2
21,7,
21,8,1.9
21,14,2
21,15,1.9
21,16,1.7
21,20,1.9
21,22,1.7
21,23,2
21,24,1.85
21,29,2
21,31,1.8
21,32,
21,35,
21,36,2.5
21,37,2.2
21,38,
21,39,1.85
21,41,
21,42,1.8
21,45,1.53
21,47,2
21,48,1.5
21,49,
21,52,2
21,54,2
21,57,2
21,61,
21,65,
21,67,
21,68,1.8
21,70,1.8
21,73,1.8
21,80,1.9
21,82,
21,84,1.9
21,85,1.95
21,89,2
21,91,1.7
21,92,
21,93,2
21,94,1.7
21,95,1.7715
21,96,1.5
21,97,
21,99,1.7
21,101,1.7
21,102,
21,103,1.9
21,105,2.2
21,107,
21,110,
21,111,
21,112,2
21,114,1.5
21,115,1.9
21,116,1.9
