"","horizon","economist","forecast"
"1",2,1,1
"2",2,3,1
"3",2,5,1
"4",2,7,1
"5",2,9,1.1
"6",2,10,1.1
"7",2,11,1
"8",2,14,1
"9",2,16,1.2
"10",2,19,1.1
"11",2,20,1
"12",2,23,1.2
"13",2,26,1.2
"14",2,28,1.1
"15",2,29,1
"16",2,31,1.2
"17",2,32,1
"18",2,33,1
"19",2,34,1.3
"20",2,35,1.4
"21",2,36,1.2
"22",2,37,1.2
"23",2,38,1.2
"24",2,39,1.2
"25",2,41,1.1
"26",2,42,1.3
"27",2,45,1.1
"28",2,46,0.86
"29",2,47,1
"30",2,48,1.1
"31",2,52,1.3
"32",2,53,1.1
"33",2,54,1.4
"34",2,55,1.1
"35",2,56,1.5
"36",2,59,1
"37",2,62,1.2
"38",2,63,1.3
"39",2,64,1.2
"40",2,65,1.3
"41",2,67,1
"42",2,70,1.2
"43",2,72,1.1
"44",2,73,0.8
"45",2,76,1
"46",2,85,0.9
"47",2,87,1.1
"48",2,88,1.2
"49",2,90,1
"50",2,91,0.9
"51",2,93,1.2
"52",2,94,1.3
"53",2,95,0.9
"54",6,1,1.5
"55",6,3,1.4
"56",6,5,1.4
"57",6,7,1.3
"58",6,9,1.3
"59",6,10,1.5
"60",6,11,1.3
"61",6,14,1.4
"62",6,16,1.8
"63",6,19,1.2
"64",6,20,1.4
"65",6,23,1.9
"66",6,26,1.7
"67",6,28,1.2
"68",6,29,1.2
"69",6,31,1.6
"70",6,32,1.7
"71",6,33,1.5
"72",6,34,1.7
"73",6,35,NA
"74",6,36,1.5
"75",6,37,1.9
"76",6,38,1.8
"77",6,39,1.6
"78",6,41,1.6
"79",6,42,1.75
"80",6,45,1.5
"81",6,46,0.8
"82",6,47,1.3
"83",6,48,1.4
"84",6,52,1.8
"85",6,53,1.5
"86",6,54,1.4
"87",6,55,1.7
"88",6,56,1.5
"89",6,59,1.5
"90",6,62,1.5
"91",6,63,1.6
"92",6,64,1.5
"93",6,65,1.7
"94",6,67,1.3
"95",6,70,1.7
"96",6,72,1.6
"97",6,73,1.4
"98",6,76,1.3
"99",6,85,1.2
"100",6,87,1.5
"101",6,88,1.6
"102",6,90,1.3
"103",6,91,1.1
"104",6,93,1.5
"105",6,94,1.7
"106",6,95,1.2
