"","horizon","economist","forecast"
"1",2,4,0.4
"2",2,6,0
"3",2,7,NA
"4",2,14,0.3
"5",2,15,0.3
"6",2,16,0.1
"7",2,20,0.2
"8",2,22,0.2
"9",2,23,0.3
"10",2,24,0.25
"11",2,29,0.2
"12",2,30,0.2
"13",2,31,0.3
"14",2,32,0.3
"15",2,35,0.3
"16",2,37,0.3
"17",2,38,0.3
"18",2,39,0.3
"19",2,41,0
"20",2,42,0.3
"21",2,45,0.25
"22",2,47,0.3
"23",2,48,0.2
"24",2,49,0.3
"25",2,52,0.2
"26",2,54,0.3
"27",2,57,0.3
"28",2,61,0.4
"29",2,67,NA
"30",2,70,0
"31",2,72,0.3
"32",2,80,-0.2
"33",2,82,0.2
"34",2,84,0.3
"35",2,85,0.2528056284
"36",2,88,0.2
"37",2,89,0.4
"38",2,91,0.3
"39",2,93,0.4
"40",2,94,0.2
"41",2,95,0.3105
"42",2,96,0.2584097924
"43",2,98,0.2
"44",2,99,0.36
"45",2,101,0.3
"46",2,102,0.1862168955
"47",2,103,0.3
"48",2,105,NA
"49",2,110,0.2
"50",2,111,-0.1
"51",2,112,0.2
"52",2,114,0.5
"53",2,115,0.3
"54",2,116,0.2
"55",6,4,1.4
"56",6,6,1
"57",6,7,NA
"58",6,14,1
"59",6,15,1.1
"60",6,16,0.8
"61",6,20,1.3
"62",6,22,1.4
"63",6,23,1.2
"64",6,24,1.4
"65",6,29,0.5
"66",6,30,1.1
"67",6,31,1.3
"68",6,32,1.3
"69",6,35,NA
"70",6,37,1.5
"71",6,38,1
"72",6,39,1.3
"73",6,41,1.2
"74",6,42,0.7
"75",6,45,0.85
"76",6,47,1.4
"77",6,48,1.1
"78",6,49,1.4
"79",6,52,1.5
"80",6,54,1.3
"81",6,57,1.5
"82",6,61,1.5
"83",6,67,NA
"84",6,70,0.8
"85",6,72,1.2
"86",6,80,1.6
"87",6,82,0.9
"88",6,84,1.3
"89",6,85,1.380957708
"90",6,88,1.2
"91",6,89,1.6
"92",6,91,1.5
"93",6,93,1.7
"94",6,94,1.7
"95",6,95,1.359
"96",6,96,1.1210501522
"97",6,98,1.3
"98",6,99,1.5
"99",6,101,1.2
"100",6,102,1.3836037172
"101",6,103,1.4
"102",6,105,NA
"103",6,110,1
"104",6,111,NA
"105",6,112,1.2
"106",6,114,1.5
"107",6,115,1.5
"108",6,116,1.2
"109",10,4,1.7
"110",10,6,1.7
"111",10,7,NA
"112",10,14,1.5
"113",10,15,1.7
"114",10,16,0.9
"115",10,20,1.7
"116",10,22,1.8
"117",10,23,1.5
"118",10,24,1.7
"119",10,29,1
"120",10,30,NA
"121",10,31,1.7
"122",10,32,NA
"123",10,35,NA
"124",10,37,1.8
"125",10,38,1.4
"126",10,39,1.7
"127",10,41,1.4
"128",10,42,NA
"129",10,45,1.08
"130",10,47,1.7
"131",10,48,NA
"132",10,49,1.5
"133",10,52,1.5
"134",10,54,1.8
"135",10,57,1.8
"136",10,61,NA
"137",10,67,NA
"138",10,70,1.5
"139",10,72,1.3
"140",10,80,2.4
"141",10,82,NA
"142",10,84,1.6
"143",10,85,1.8982787728
"144",10,88,1.6
"145",10,89,1.6
"146",10,91,1.6
"147",10,93,1.8
"148",10,94,2
"149",10,95,1.5525
"150",10,96,1.6957982777
"151",10,98,1.5
"152",10,99,1.7
"153",10,101,1.4
"154",10,102,1.389217861
"155",10,103,1.7
"156",10,105,NA
"157",10,110,NA
"158",10,111,NA
"159",10,112,1.6
"160",10,114,1.5
"161",10,115,1.8
"162",10,116,1.3
"163",22,4,1.7
"164",22,6,2
"165",22,7,NA
"166",22,14,2
"167",22,15,1.9
"168",22,16,1.7
"169",22,20,1.9
"170",22,22,1.8
"171",22,23,2
"172",22,24,1.85
"173",22,29,2
"174",22,30,NA
"175",22,31,1.8
"176",22,32,NA
"177",22,35,NA
"178",22,37,2.2
"179",22,38,NA
"180",22,39,1.85
"181",22,41,NA
"182",22,42,1.8
"183",22,45,1.7
"184",22,47,2
"185",22,48,1
"186",22,49,NA
"187",22,52,1.9
"188",22,54,2
"189",22,57,2
"190",22,61,NA
"191",22,67,NA
"192",22,70,1.9
"193",22,72,2
"194",22,80,2.3
"195",22,82,NA
"196",22,84,1.9
"197",22,85,1.95
"198",22,88,1.85
"199",22,89,2
"200",22,91,1.7
"201",22,93,2
"202",22,94,1.7
"203",22,95,1.7715
"204",22,96,1.7
"205",22,98,2
"206",22,99,1.7
"207",22,101,1.7
"208",22,102,NA
"209",22,103,1.9
"210",22,105,NA
"211",22,110,NA
"212",22,111,NA
"213",22,112,2
"214",22,114,1.7
"215",22,115,1.9
"216",22,116,1.5
