"","horizon","economist","forecast"
"1",4,1,2.3
"2",4,2,2.5
"3",4,4,2.6
"4",4,5,2.6
"5",4,7,2.6
"6",4,14,2.3
"7",4,15,2.5
"8",4,16,2.5
"9",4,20,2.5
"10",4,22,2.5
"11",4,23,2.4
"12",4,26,2.5
"13",4,28,2.6
"14",4,29,1.9
"15",4,30,2.5
"16",4,31,2
"17",4,32,2.6
"18",4,33,2.8
"19",4,35,2
"20",4,36,2.6
"21",4,38,2.6
"22",4,39,2.6
"23",4,41,2.4
"24",4,42,2.5
"25",4,45,2.6
"26",4,47,2.5
"27",4,48,2.6
"28",4,52,2.5
"29",4,54,2.8
"30",4,56,2.4
"31",4,57,2.5
"32",4,58,2.3
"33",4,59,2.6
"34",4,60,2.4
"35",4,61,2.6
"36",4,63,2.5
"37",4,67,2.6
"38",4,70,2.4
"39",4,72,2.3
"40",4,73,2.2
"41",4,76,2.18498157370184
"42",4,82,2.6
"43",4,84,2.4
"44",4,88,2.5
"45",4,89,2.3
"46",4,90,2.5
"47",4,93,2.5
"48",4,94,2.4
"49",4,95,2.3
"50",4,96,2.4
"51",4,97,2.5
"52",4,98,2.5
"53",4,99,2.3
"54",4,102,NA
"55",8,1,2.2
"56",8,2,2
"57",8,4,2
"58",8,5,2.1
"59",8,7,1.8
"60",8,14,1.8
"61",8,15,1.7
"62",8,16,2
"63",8,20,2
"64",8,22,1.7
"65",8,23,1.8
"66",8,26,1.8
"67",8,28,2.1
"68",8,29,1.9
"69",8,30,2
"70",8,31,1.9
"71",8,32,2.2
"72",8,33,2.3
"73",8,35,2
"74",8,36,2.3
"75",8,38,2.3
"76",8,39,2.1
"77",8,41,1.9
"78",8,42,2.2
"79",8,45,2.5
"80",8,47,2.1
"81",8,48,NA
"82",8,52,1.7
"83",8,54,2.1
"84",8,56,1.8
"85",8,57,2.1
"86",8,58,1.8
"87",8,59,2.3
"88",8,60,2.1
"89",8,61,2
"90",8,63,2.1
"91",8,67,2
"92",8,70,1.7
"93",8,72,2
"94",8,73,1.9
"95",8,76,1.35718030340455
"96",8,82,1.9
"97",8,84,2
"98",8,88,2
"99",8,89,2.2
"100",8,90,1.9
"101",8,93,1.7
"102",8,94,2
"103",8,95,2
"104",8,96,2
"105",8,97,1.7
"106",8,98,2.3
"107",8,99,2
"108",8,102,NA
"109",20,1,2
"110",20,2,1.7
"111",20,4,2.1
"112",20,5,1.8
"113",20,7,1.9
"114",20,14,1.7
"115",20,15,1.6
"116",20,16,2
"117",20,20,2.1
"118",20,22,1.9
"119",20,23,2
"120",20,26,1.8
"121",20,28,1.9
"122",20,29,1.9
"123",20,30,1.9
"124",20,31,1.8
"125",20,32,NA
"126",20,33,2.3
"127",20,35,NA
"128",20,36,2
"129",20,38,NA
"130",20,39,1.9
"131",20,41,1.9
"132",20,42,1.8
"133",20,45,NA
"134",20,47,2
"135",20,48,NA
"136",20,52,2.3
"137",20,54,1.9
"138",20,56,2
"139",20,57,NA
"140",20,58,2.2
"141",20,59,2
"142",20,60,2
"143",20,61,NA
"144",20,63,1.9
"145",20,67,2
"146",20,70,1.9
"147",20,72,2
"148",20,73,NA
"149",20,76,1.9
"150",20,82,2
"151",20,84,2
"152",20,88,1.9
"153",20,89,2
"154",20,90,2
"155",20,93,2
"156",20,94,1.9
"157",20,95,1.9
"158",20,96,NA
"159",20,97,2
"160",20,98,2.1
"161",20,99,1.9
"162",20,102,NA
