"","horizon","economist","forecast"
"1",4,1,2
"2",4,2,1.8
"3",4,3,2.1
"4",4,4,2
"5",4,5,2.1
"6",4,7,1.8
"7",4,10,2.1
"8",4,11,1.9
"9",4,14,1.9
"10",4,15,1.9
"11",4,16,2.1
"12",4,18,2
"13",4,19,1.9
"14",4,20,1.8
"15",4,22,1.9
"16",4,23,1.8
"17",4,24,1.91708839740516
"18",4,26,1.8
"19",4,28,1.7
"20",4,30,2.1
"21",4,31,2.1
"22",4,32,2
"23",4,33,2
"24",4,35,2.1
"25",4,36,2.3
"26",4,37,2.1
"27",4,38,2
"28",4,39,2.3
"29",4,40,2
"30",4,41,NA
"31",4,42,2.1
"32",4,45,2.1
"33",4,47,2
"34",4,48,2
"35",4,52,2.1
"36",4,54,1.9
"37",4,56,2.1
"38",4,57,2.1
"39",4,58,1.8
"40",4,59,1.9
"41",4,60,2.1
"42",4,61,2.2
"43",4,63,1.8
"44",4,67,2
"45",4,68,2
"46",4,70,2
"47",4,72,2.1
"48",4,73,2.1
"49",4,76,1.96968275507603
"50",4,82,2
"51",4,84,2.2
"52",4,85,1.8
"53",4,88,1.9
"54",4,89,2
"55",4,90,1.9
"56",4,91,1.6
"57",4,92,1.7
"58",4,93,2.2
"59",4,94,2.1
"60",4,95,2.2
"61",4,97,1.8
"62",4,98,2.1
"63",4,99,2
"64",4,100,2.2
"65",8,1,2
"66",8,2,1.9
"67",8,3,1.9
"68",8,4,2.4
"69",8,5,1.8
"70",8,7,1.7
"71",8,10,2
"72",8,11,1.8
"73",8,14,1.7
"74",8,15,1.7
"75",8,16,1.8
"76",8,18,2
"77",8,19,2
"78",8,20,1.9
"79",8,22,1.8
"80",8,23,1.6
"81",8,24,1.70924841487945
"82",8,26,1.8
"83",8,28,1.7
"84",8,30,1.8
"85",8,31,1.9
"86",8,32,1.8
"87",8,33,1.8
"88",8,35,2
"89",8,36,2.4
"90",8,37,2
"91",8,38,1.8
"92",8,39,2.2
"93",8,40,NA
"94",8,41,NA
"95",8,42,2
"96",8,45,2
"97",8,47,2
"98",8,48,NA
"99",8,52,2
"100",8,54,1.8
"101",8,56,1.8
"102",8,57,1.9
"103",8,58,1.8
"104",8,59,2
"105",8,60,1.8
"106",8,61,2.1
"107",8,63,1.8
"108",8,67,2
"109",8,68,1.9
"110",8,70,1.8
"111",8,72,2
"112",8,73,1.9
"113",8,76,1.90829410502429
"114",8,82,1.7
"115",8,84,1.9
"116",8,85,1.8
"117",8,88,1.8
"118",8,89,1.9
"119",8,90,1.8
"120",8,91,2
"121",8,92,1.8
"122",8,93,2
"123",8,94,2
"124",8,95,1.9
"125",8,97,1.8
"126",8,98,1.8
"127",8,99,1.9
"128",8,100,2
"129",20,1,2
"130",20,2,1.7
"131",20,3,1.8
"132",20,4,2
"133",20,5,1.8
"134",20,7,1.9
"135",20,10,2
"136",20,11,2
"137",20,14,1.7
"138",20,15,1.6
"139",20,16,2
"140",20,18,1.75
"141",20,19,2
"142",20,20,2
"143",20,22,1.9
"144",20,23,1.9
"145",20,24,1.9
"146",20,26,1.9
"147",20,28,1.9
"148",20,30,1.9
"149",20,31,1.8
"150",20,32,NA
"151",20,33,2
"152",20,35,2
"153",20,36,2
"154",20,37,2
"155",20,38,NA
"156",20,39,1.9
"157",20,40,NA
"158",20,41,NA
"159",20,42,1.7
"160",20,45,NA
"161",20,47,1.9
"162",20,48,NA
"163",20,52,NA
"164",20,54,1.8
"165",20,56,2.1
"166",20,57,NA
"167",20,58,2.1
"168",20,59,2
"169",20,60,1.9
"170",20,61,NA
"171",20,63,1.9
"172",20,67,2
"173",20,68,1.9
"174",20,70,1.8
"175",20,72,2
"176",20,73,NA
"177",20,76,1.9
"178",20,82,1.8
"179",20,84,2
"180",20,85,NA
"181",20,88,1.9
"182",20,89,2
"183",20,90,2
"184",20,91,NA
"185",20,92,NA
"186",20,93,2
"187",20,94,1.9
"188",20,95,1.9
"189",20,97,1.9
"190",20,98,2.1
"191",20,99,1.8
"192",20,100,2
