"","horizon","economist","forecast"
"1",4,1,1.4
"2",4,4,1
"3",4,5,1
"4",4,6,1.1
"5",4,8,1.2
"6",4,14,1.3
"7",4,15,1.2
"8",4,16,1
"9",4,20,1.2
"10",4,22,1
"11",4,23,0.9
"12",4,24,1
"13",4,26,1.1
"14",4,30,1.1
"15",4,31,1.2
"16",4,32,1.3
"17",4,37,1
"18",4,38,1.2
"19",4,39,1.2
"20",4,41,1.3
"21",4,42,1.4
"22",4,47,1.3
"23",4,48,1.2
"24",4,52,1.0101435658
"25",4,57,1.3
"26",4,58,1.5
"27",4,67,1.5
"28",4,68,1
"29",4,70,0.6
"30",4,82,1
"31",4,84,1.2
"32",4,85,0.9659871663
"33",4,88,1.2
"34",4,89,1.2
"35",4,91,1
"36",4,92,0.8986048123
"37",4,93,1.6
"38",4,94,1.3
"39",4,95,1.204
"40",4,96,1
"41",4,98,1.2
"42",4,99,1.1
"43",4,101,1
"44",4,102,1
"45",4,103,1.3
"46",4,104,1.1
"47",4,105,1.3
"48",4,107,0.8986048123
"49",4,108,1.061428
"50",4,110,1
"51",4,111,NA
"52",4,112,1.3
"53",4,113,1.4
"54",8,1,1.6
"55",8,4,1.5
"56",8,5,1.2
"57",8,6,1.8
"58",8,8,1.4
"59",8,14,1.6
"60",8,15,1.5
"61",8,16,1.2
"62",8,20,1.5
"63",8,22,1.3
"64",8,23,1.2
"65",8,24,1.4
"66",8,26,1.6
"67",8,30,NA
"68",8,31,1.4
"69",8,32,1.7
"70",8,37,1.4
"71",8,38,1.7
"72",8,39,1.4
"73",8,41,1.5
"74",8,42,1.6
"75",8,47,1.4
"76",8,48,1.2
"77",8,52,1.2
"78",8,57,1.3
"79",8,58,1.6
"80",8,67,1.7
"81",8,68,1.2
"82",8,70,0.6
"83",8,82,1.2
"84",8,84,1.7
"85",8,85,1.3986013614
"86",8,88,1.5
"87",8,89,1.7
"88",8,91,1.3
"89",8,92,1.3498800177
"90",8,93,2
"91",8,94,1.6
"92",8,95,1.5055
"93",8,96,1.3
"94",8,98,1.4
"95",8,99,1.4
"96",8,101,1.3
"97",8,102,1.4
"98",8,103,1.6
"99",8,104,1.5
"100",8,105,1.4
"101",8,107,1.3498800177
"102",8,108,1.67314
"103",8,110,NA
"104",8,111,NA
"105",8,112,1.6
"106",8,113,1
"107",12,1,2
"108",12,4,NA
"109",12,5,1.3
"110",12,6,1.9
"111",12,8,1.7
"112",12,14,2
"113",12,15,1.7
"114",12,16,1.5
"115",12,20,1.8
"116",12,22,1.5
"117",12,23,1.5
"118",12,24,1.7
"119",12,26,1.8
"120",12,30,NA
"121",12,31,1.8
"122",12,32,NA
"123",12,37,1.6
"124",12,38,1.7
"125",12,39,1.6
"126",12,41,1.7
"127",12,42,1.7
"128",12,47,1.6
"129",12,48,NA
"130",12,52,1.4
"131",12,57,1.5
"132",12,58,1.8
"133",12,67,NA
"134",12,68,1.4
"135",12,70,NA
"136",12,82,NA
"137",12,84,2
"138",12,85,1.7620840255
"139",12,88,1.7
"140",12,89,1.9
"141",12,91,1.5
"142",12,92,NA
"143",12,93,2
"144",12,94,2
"145",12,95,1.5505
"146",12,96,1.5
"147",12,98,1.7
"148",12,99,1.7
"149",12,101,NA
"150",12,102,1.5
"151",12,103,1.7
"152",12,104,1.7
"153",12,105,1.7
"154",12,107,NA
"155",12,108,1.6562775
"156",12,110,NA
"157",12,111,NA
"158",12,112,1.8
"159",12,113,NA
"160",20,1,2
"161",20,4,2
"162",20,5,1.5
"163",20,6,2
"164",20,8,2
"165",20,14,NA
"166",20,15,1.9
"167",20,16,1.7
"168",20,20,2
"169",20,22,1.8
"170",20,23,2
"171",20,24,2
"172",20,26,1.8
"173",20,30,1.9
"174",20,31,1.9
"175",20,32,NA
"176",20,37,2.2
"177",20,38,NA
"178",20,39,1.9
"179",20,41,NA
"180",20,42,1.8
"181",20,47,1.9
"182",20,48,1.5
"183",20,52,1.6
"184",20,57,2
"185",20,58,2
"186",20,67,NA
"187",20,68,1.8
"188",20,70,1.8
"189",20,82,NA
"190",20,84,1.9
"191",20,85,2
"192",20,88,1.9
"193",20,89,1.9
"194",20,91,1.9
"195",20,92,NA
"196",20,93,2
"197",20,94,1.8
"198",20,95,1.7855
"199",20,96,1.5
"200",20,98,2.2
"201",20,99,2.1
"202",20,101,NA
"203",20,102,1.6
"204",20,103,2
"205",20,104,1.9
"206",20,105,2
"207",20,107,1.9
"208",20,108,1.4956875
"209",20,110,2
"210",20,111,NA
"211",20,112,2
"212",20,113,1.2
