"","horizon","economist","forecast"
"1",1,1,2.7
"2",1,2,1.6
"3",1,3,2.5
"4",1,4,2.6
"5",1,5,2.7
"6",1,6,2.5
"7",1,7,2.5
"8",1,8,2.7
"9",1,14,2.7
"10",1,15,2.6
"11",1,16,2.6
"12",1,19,2.5
"13",1,20,2.7
"14",1,22,2.7
"15",1,23,2.7
"16",1,24,2.7
"17",1,26,2.7
"18",1,29,2.5
"19",1,30,2.7
"20",1,31,2.5
"21",1,32,2.3
"22",1,33,2.5
"23",1,36,2.6
"24",1,37,2.7
"25",1,38,2.7
"26",1,39,2.8
"27",1,41,2.7
"28",1,42,2.5
"29",1,47,2.6
"30",1,48,2.6
"31",1,52,2.6
"32",1,54,2.7
"33",1,56,2.6
"34",1,57,2.7
"35",1,61,2.4
"36",1,68,2.4
"37",1,70,2.6
"38",1,80,2.7
"39",1,82,2.7
"40",1,84,2.6
"41",1,85,2.6
"42",1,89,2.6
"43",1,90,2.7
"44",1,91,2.6
"45",1,92,2.6
"46",1,93,2.7
"47",1,94,2.8
"48",1,95,2.7424767442
"49",1,96,2.7
"50",1,98,2.6
"51",1,99,2.6
"52",1,101,2.5
"53",1,102,2.7
"54",1,103,2.6
"55",1,104,2.7
"56",1,105,2.6
"57",1,106,2.8
"58",1,107,2.6
"59",1,108,2.55552
"60",1,109,2.6
"61",1,110,2.5
"62",1,111,2.6
"63",1,112,2.6
"64",1,113,2.7
"65",5,1,1.7
"66",5,2,1.9
"67",5,3,1
"68",5,4,1.8
"69",5,5,2.1
"70",5,6,1.5
"71",5,7,1.5
"72",5,8,2
"73",5,14,2.1
"74",5,15,1.8
"75",5,16,1.9
"76",5,19,1.7
"77",5,20,1.8
"78",5,22,1.8
"79",5,23,1.7
"80",5,24,1.8
"81",5,26,1.9
"82",5,29,2
"83",5,30,1.5
"84",5,31,1.8
"85",5,32,1.2
"86",5,33,2.3
"87",5,36,2
"88",5,37,1.8
"89",5,38,1.6
"90",5,39,2
"91",5,41,2.2
"92",5,42,1.9
"93",5,47,2
"94",5,48,1.5
"95",5,52,1.8
"96",5,54,1.8
"97",5,56,1.8
"98",5,57,1.9
"99",5,61,1.5
"100",5,68,1.4
"101",5,70,1.5
"102",5,80,2
"103",5,82,1.8
"104",5,84,1.9
"105",5,85,1.6
"106",5,89,1.7
"107",5,90,1.5
"108",5,91,1
"109",5,92,1.4
"110",5,93,2
"111",5,94,3
"112",5,95,1.9002767442
"113",5,96,1.5
"114",5,98,1.4
"115",5,99,1.6
"116",5,101,1.6
"117",5,102,1.7
"118",5,103,1.9
"119",5,104,1.8
"120",5,105,1.8
"121",5,106,1.8
"122",5,107,1.4
"123",5,108,2.0383125
"124",5,109,1.5
"125",5,110,1.6
"126",5,111,NA
"127",5,112,1.8
"128",5,113,2.4
"129",9,1,1.9
"130",9,2,1.7
"131",9,3,2
"132",9,4,1.8
"133",9,5,1.8
"134",9,6,2
"135",9,7,1.6
"136",9,8,2
"137",9,14,2.3
"138",9,15,1.8
"139",9,16,1.7
"140",9,19,1.8
"141",9,20,1.9
"142",9,22,1.7
"143",9,23,1.3
"144",9,24,1.5
"145",9,26,1.9
"146",9,29,2
"147",9,30,NA
"148",9,31,1.9
"149",9,32,NA
"150",9,33,2
"151",9,36,2
"152",9,37,2.2
"153",9,38,1.7
"154",9,39,1.6
"155",9,41,2
"156",9,42,1.8
"157",9,47,1.9
"158",9,48,NA
"159",9,52,1.7
"160",9,54,1.8
"161",9,56,2
"162",9,57,1.7
"163",9,61,NA
"164",9,68,NA
"165",9,70,1.6
"166",9,80,1.8
"167",9,82,NA
"168",9,84,2
"169",9,85,1.6
"170",9,89,1.8
"171",9,90,1.7
"172",9,91,NA
"173",9,92,NA
"174",9,93,2
"175",9,94,2.2
"176",9,95,1.8602767442
"177",9,96,NA
"178",9,98,1.9
"179",9,99,1.8
"180",9,101,NA
"181",9,102,1.5
"182",9,103,1.9
"183",9,104,2
"184",9,105,1.7
"185",9,106,1.6
"186",9,107,1.7
"187",9,108,2.1020725
"188",9,109,NA
"189",9,110,1.6
"190",9,111,NA
"191",9,112,2.2
"192",9,113,1.9
"193",21,1,1.9
"194",21,2,1.8
"195",21,3,3
"196",21,4,1.8
"197",21,5,1.8
"198",21,6,2
"199",21,7,2
"200",21,8,2
"201",21,14,3
"202",21,15,1.9
"203",21,16,1.8
"204",21,19,1.7
"205",21,20,2
"206",21,22,1.8
"207",21,23,2.8
"208",21,24,1.9
"209",21,26,1.9
"210",21,29,2
"211",21,30,1.9
"212",21,31,2
"213",21,32,NA
"214",21,33,2
"215",21,36,1.8
"216",21,37,2.2
"217",21,38,NA
"218",21,39,1.9
"219",21,41,2
"220",21,42,1.8
"221",21,47,2
"222",21,48,NA
"223",21,52,2
"224",21,54,1.9
"225",21,56,NA
"226",21,57,NA
"227",21,61,NA
"228",21,68,1.9
"229",21,70,1.9
"230",21,80,NA
"231",21,82,NA
"232",21,84,1.9
"233",21,85,NA
"234",21,89,2
"235",21,90,1.9
"236",21,91,1.8
"237",21,92,NA
"238",21,93,2
"239",21,94,1.8
"240",21,95,1.8316666667
"241",21,96,NA
"242",21,98,2.1
"243",21,99,2.2
"244",21,101,NA
"245",21,102,2
"246",21,103,2
"247",21,104,2
"248",21,105,2
"249",21,106,2
"250",21,107,1.9
"251",21,108,2.108435
"252",21,109,2
"253",21,110,2
"254",21,111,NA
"255",21,112,2.5
"256",21,113,2
