"","horizon","economist","forecast"
"1",1,1,2.1
"2",1,2,2.1
"3",1,4,2.2
"4",1,5,2.1
"5",1,7,2.2
"6",1,9,2.1
"7",1,10,2.03934946
"8",1,14,2.2
"9",1,15,2.1
"10",1,16,2.1
"11",1,17,2.1
"12",1,18,2
"13",1,19,2.1
"14",1,20,2.1
"15",1,22,2.1
"16",1,23,2.1
"17",1,24,2.1
"18",1,26,2.1
"19",1,28,2.1
"20",1,29,2.1
"21",1,30,2.1
"22",1,31,2.1
"23",1,32,2.1
"24",1,33,2.1
"25",1,35,2.1
"26",1,37,2.1
"27",1,38,2.1
"28",1,39,2.1
"29",1,40,2.1
"30",1,41,2.2
"31",1,42,2.1
"32",1,45,2.2
"33",1,47,2.2
"34",1,48,2.1
"35",1,50,2.2
"36",1,52,2.2
"37",1,54,2.1
"38",1,56,2.1
"39",1,57,2.1
"40",1,59,2.1
"41",1,60,2.2
"42",1,61,2.1
"43",1,63,2.2
"44",1,67,2
"45",1,68,2.1
"46",1,73,2.2
"47",1,76,2.2
"48",1,80,2.2
"49",1,82,2.1
"50",1,84,2.1
"51",1,85,2.2
"52",1,89,2.1
"53",1,90,2.1
"54",1,91,2.1
"55",1,92,2.1
"56",1,93,2.1
"57",1,94,1.9
"58",1,95,2.1
"59",1,96,2.2
"60",1,97,2.1
"61",1,98,2.1
"62",1,99,2.1
"63",5,1,1.9
"64",5,2,1.8
"65",5,4,2.2
"66",5,5,1.8
"67",5,7,2
"68",5,9,2.2
"69",5,10,2.05941626
"70",5,14,2
"71",5,15,1.9
"72",5,16,1.7
"73",5,17,1.6
"74",5,18,1.5
"75",5,19,1.9
"76",5,20,1.9
"77",5,22,2
"78",5,23,2.1
"79",5,24,2
"80",5,26,1.9
"81",5,28,1.9
"82",5,29,1.7
"83",5,30,1.9
"84",5,31,1.9
"85",5,32,1.9
"86",5,33,1.9
"87",5,35,1.9
"88",5,37,2
"89",5,38,2
"90",5,39,2.1
"91",5,40,2
"92",5,41,2.2
"93",5,42,2
"94",5,45,2.3
"95",5,47,2.2
"96",5,48,1.8
"97",5,50,1.9
"98",5,52,1.8
"99",5,54,1.8
"100",5,56,1.9
"101",5,57,1.9
"102",5,59,1.7
"103",5,60,1.7
"104",5,61,2.1
"105",5,63,1.9
"106",5,67,2
"107",5,68,1.8
"108",5,73,2.2
"109",5,76,1.6
"110",5,80,2.2
"111",5,82,1.7
"112",5,84,1.9
"113",5,85,1.9
"114",5,89,2
"115",5,90,1.6
"116",5,91,2.2
"117",5,92,1.9
"118",5,93,1.7
"119",5,94,1.9
"120",5,95,1.9
"121",5,96,2.3
"122",5,97,1.7
"123",5,98,2
"124",5,99,1.9
"125",9,1,2
"126",9,2,1.8
"127",9,4,2.1
"128",9,5,1.9
"129",9,7,1.8
"130",9,9,1.9
"131",9,10,1.92336899
"132",9,14,1.6
"133",9,15,1.8
"134",9,16,1.9
"135",9,17,2
"136",9,18,1.5
"137",9,19,2
"138",9,20,2
"139",9,22,2
"140",9,23,2
"141",9,24,1.9
"142",9,26,1.8
"143",9,28,2
"144",9,29,NA
"145",9,30,1.8
"146",9,31,1.8
"147",9,32,NA
"148",9,33,2
"149",9,35,NA
"150",9,37,2
"151",9,38,1.8
"152",9,39,2
"153",9,40,NA
"154",9,41,1.9
"155",9,42,1.9
"156",9,45,NA
"157",9,47,NA
"158",9,48,NA
"159",9,50,1.7
"160",9,52,2
"161",9,54,1.8
"162",9,56,1.9
"163",9,57,1.8
"164",9,59,1.9
"165",9,60,1.6
"166",9,61,2
"167",9,63,1.8
"168",9,67,2
"169",9,68,1.8
"170",9,73,NA
"171",9,76,NA
"172",9,80,1.6
"173",9,82,1.4
"174",9,84,1.9
"175",9,85,NA
"176",9,89,1.9
"177",9,90,1.7
"178",9,91,2
"179",9,92,NA
"180",9,93,1.8
"181",9,94,2.1
"182",9,95,1.8
"183",9,96,2.1
"184",9,97,1.8
"185",9,98,1.7
"186",9,99,1.8
"187",21,1,NA
"188",21,2,1.5
"189",21,4,2.1
"190",21,5,1.9
"191",21,7,1.9
"192",21,9,1.8
"193",21,10,2
"194",21,14,1.5
"195",21,15,1.7
"196",21,16,2
"197",21,17,1.8
"198",21,18,1.5
"199",21,19,2
"200",21,20,2.1
"201",21,22,1.7
"202",21,23,2
"203",21,24,1.9
"204",21,26,1.8
"205",21,28,2
"206",21,29,NA
"207",21,30,1.9
"208",21,31,2
"209",21,32,NA
"210",21,33,2.5
"211",21,35,NA
"212",21,37,2
"213",21,38,NA
"214",21,39,1.9
"215",21,40,NA
"216",21,41,1.8
"217",21,42,1.6
"218",21,45,NA
"219",21,47,NA
"220",21,48,NA
"221",21,50,1.75
"222",21,52,2
"223",21,54,1.7
"224",21,56,2
"225",21,57,NA
"226",21,59,2
"227",21,60,2.2
"228",21,61,NA
"229",21,63,1.8
"230",21,67,NA
"231",21,68,1.8
"232",21,73,NA
"233",21,76,2
"234",21,80,1.6
"235",21,82,NA
"236",21,84,1.8
"237",21,85,2
"238",21,89,1.8
"239",21,90,2
"240",21,91,2
"241",21,92,NA
"242",21,93,2
"243",21,94,2.3
"244",21,95,1.8
"245",21,96,NA
"246",21,97,1.8
"247",21,98,2
"248",21,99,1.8
