"","horizon","economist","forecast"
"1",3,1,2.2
"2",3,2,2.4
"3",3,3,2.1
"4",3,4,2.4
"5",3,5,2.1
"6",3,7,2.2
"7",3,9,2.3
"8",3,10,2.3
"9",3,11,2.2
"10",3,14,2
"11",3,15,2.1
"12",3,17,2.5
"13",3,18,2
"14",3,19,2.3
"15",3,22,2.4
"16",3,23,2.4
"17",3,24,2.2
"18",3,26,2.5
"19",3,28,2.2
"20",3,29,2.3
"21",3,30,2.5
"22",3,31,2.5
"23",3,32,2.4
"24",3,33,2.3
"25",3,35,2.3
"26",3,36,2.6
"27",3,37,2.2
"28",3,38,2.3
"29",3,39,2.3
"30",3,41,2.4
"31",3,42,2.2
"32",3,45,2.1
"33",3,46,2.73
"34",3,47,2.4
"35",3,48,2.4
"36",3,49,2.1
"37",3,52,1.9
"38",3,53,1.9
"39",3,54,1.8
"40",3,56,2.2
"41",3,57,2.2
"42",3,59,2.4
"43",3,60,2.2
"44",3,61,2.1
"45",3,62,2
"46",3,63,2.2
"47",3,70,2.3
"48",3,71,2.3
"49",3,72,2.2
"50",3,73,2.1
"51",3,76,2.5
"52",3,80,2.2
"53",3,84,2.3
"54",3,85,2.3
"55",3,87,2.2
"56",3,89,2.3
"57",3,90,2.3
"58",3,91,2.3
"59",3,92,2.4
"60",3,93,2.2
"61",3,94,2.2
"62",3,96,2.35
"63",7,1,1.7
"64",7,2,2.2
"65",7,3,1.9
"66",7,4,1.7
"67",7,5,1.8
"68",7,7,1.5
"69",7,9,1.8
"70",7,10,1.7
"71",7,11,1.7
"72",7,14,1.5
"73",7,15,1.6
"74",7,17,2.3
"75",7,18,1.7
"76",7,19,2
"77",7,22,1.5
"78",7,23,2.1
"79",7,24,1.7
"80",7,26,2
"81",7,28,1.4
"82",7,29,1.8
"83",7,30,1.8
"84",7,31,1.9
"85",7,32,1.9
"86",7,33,1.8
"87",7,35,NA
"88",7,36,2.2
"89",7,37,1.8
"90",7,38,2
"91",7,39,1.8
"92",7,41,1.8
"93",7,42,1.7
"94",7,45,1.8
"95",7,46,3.18
"96",7,47,1.8
"97",7,48,2
"98",7,49,1.3
"99",7,52,1.5
"100",7,53,1.7
"101",7,54,1.7
"102",7,56,1.4
"103",7,57,1.9
"104",7,59,1.5
"105",7,60,1.7
"106",7,61,1.4
"107",7,62,1.75
"108",7,63,1.9
"109",7,70,1.7
"110",7,71,1.2
"111",7,72,1.7
"112",7,73,1.9
"113",7,76,1.8
"114",7,80,1.9
"115",7,84,1.7
"116",7,85,1.9
"117",7,87,1.6
"118",7,89,1.9
"119",7,90,2
"120",7,91,2
"121",7,92,2
"122",7,93,1.6
"123",7,94,1.8
"124",7,96,1.9
"125",19,1,1.5
"126",19,2,2
"127",19,3,1.8
"128",19,4,1.8
"129",19,5,1.8
"130",19,7,NA
"131",19,9,1.8
"132",19,10,1.75
"133",19,11,1.9
"134",19,14,1.5
"135",19,15,1.8
"136",19,17,1.8
"137",19,18,NA
"138",19,19,2
"139",19,22,1.6
"140",19,23,2.5
"141",19,24,2
"142",19,26,1.8
"143",19,28,1.5
"144",19,29,NA
"145",19,30,NA
"146",19,31,1.8
"147",19,32,NA
"148",19,33,2
"149",19,35,NA
"150",19,36,2
"151",19,37,2
"152",19,38,1.6
"153",19,39,1.8
"154",19,41,1.8
"155",19,42,1.6
"156",19,45,NA
"157",19,46,3.13
"158",19,47,NA
"159",19,48,NA
"160",19,49,1.5
"161",19,52,1.5
"162",19,53,2
"163",19,54,1.5
"164",19,56,NA
"165",19,57,NA
"166",19,59,1.75
"167",19,60,1.75
"168",19,61,NA
"169",19,62,NA
"170",19,63,NA
"171",19,70,1.7
"172",19,71,1.5
"173",19,72,1.6
"174",19,73,NA
"175",19,76,2
"176",19,80,1.8
"177",19,84,1.7
"178",19,85,2
"179",19,87,1.5
"180",19,89,1.8
"181",19,90,2
"182",19,91,1.5
"183",19,92,NA
"184",19,93,1.7
"185",19,94,1.8
"186",19,96,NA
