"","horizon","economist","forecast"
"1",1,1,2.7
"2",1,2,2.7
"3",1,3,2.5
"4",1,4,2.6
"5",1,5,2.6
"6",1,9,2.6
"7",1,10,2.3
"8",1,11,2.7
"9",1,15,2.7
"10",1,17,2.3
"11",1,19,2.7
"12",1,22,2.6
"13",1,24,2.6
"14",1,26,2.6
"15",1,28,2.6
"16",1,29,2.7
"17",1,30,2.6
"18",1,31,2.6
"19",1,32,2.6
"20",1,33,2.5
"21",1,35,2.6
"22",1,36,2.6
"23",1,37,2.7
"24",1,39,2.6
"25",1,40,2.6
"26",1,41,2.7
"27",1,42,2.6
"28",1,45,2.6
"29",1,47,2.7
"30",1,48,2.7
"31",1,50,2.6
"32",1,53,2.7
"33",1,54,2.1
"34",1,57,2.6
"35",1,61,2.7
"36",1,62,2.5
"37",1,63,2.7
"38",1,64,2.6
"39",1,68,2.7
"40",1,71,2.6
"41",1,72,2.8
"42",1,73,2.6
"43",1,76,2.7
"44",1,80,2.8
"45",1,85,2.6
"46",1,87,2.6
"47",1,89,2.7
"48",1,90,2.7
"49",1,91,2.2
"50",1,92,2.7
"51",1,93,2.4
"52",1,94,2.6
"53",1,95,2.6
"54",1,96,2.7
"55",5,1,1.9
"56",5,2,2
"57",5,3,1.6
"58",5,4,1.6
"59",5,5,1.7
"60",5,9,1.8
"61",5,10,1.6
"62",5,11,1.3
"63",5,15,2
"64",5,17,2
"65",5,19,2
"66",5,22,1.5
"67",5,24,1.6
"68",5,26,1.6
"69",5,28,1.2
"70",5,29,1.7
"71",5,30,1.6
"72",5,31,1.7
"73",5,32,1.6
"74",5,33,2
"75",5,35,1.7
"76",5,36,2.1
"77",5,37,1.7
"78",5,39,1.6
"79",5,40,1.7
"80",5,41,1.8
"81",5,42,1.5
"82",5,45,1.8
"83",5,47,1.8
"84",5,48,1.7
"85",5,50,1.7
"86",5,53,1.6
"87",5,54,1.5
"88",5,57,1.8
"89",5,61,1.3
"90",5,62,1.5
"91",5,63,1.6
"92",5,64,1.9
"93",5,68,1.7
"94",5,71,1.4
"95",5,72,1.8
"96",5,73,1.8
"97",5,76,1.9
"98",5,80,1.9
"99",5,85,1.9
"100",5,87,1.4
"101",5,89,1.9
"102",5,90,2.4
"103",5,91,1.9
"104",5,92,2
"105",5,93,1.6
"106",5,94,2
"107",5,95,1.6
"108",5,96,2.2
"109",9,1,1.8
"110",9,2,2
"111",9,3,1.9
"112",9,4,1.6
"113",9,5,1.7
"114",9,9,1.8
"115",9,10,2
"116",9,11,1.5
"117",9,15,1.75
"118",9,17,2.2
"119",9,19,2
"120",9,22,1.7
"121",9,24,1.8
"122",9,26,1.7
"123",9,28,1.3
"124",9,29,1.5
"125",9,30,1.5
"126",9,31,1.8
"127",9,32,NA
"128",9,33,2
"129",9,35,NA
"130",9,36,1.9
"131",9,37,1.9
"132",9,39,1.8
"133",9,40,NA
"134",9,41,1.8
"135",9,42,1.7
"136",9,45,1.6
"137",9,47,NA
"138",9,48,1.6
"139",9,50,1.5
"140",9,53,2
"141",9,54,1.7
"142",9,57,1.7
"143",9,61,1.6
"144",9,62,1.25
"145",9,63,1.8
"146",9,64,1.9
"147",9,68,1.8
"148",9,71,1.5
"149",9,72,1.5
"150",9,73,1.6
"151",9,76,1.8
"152",9,80,1.8
"153",9,85,2.1
"154",9,87,1.5
"155",9,89,2.1
"156",9,90,2.3
"157",9,91,2.2
"158",9,92,2
"159",9,93,1.8
"160",9,94,2.3
"161",9,95,1.5
"162",9,96,2.1
"163",21,1,2
"164",21,2,2
"165",21,3,2
"166",21,4,2
"167",21,5,1.8
"168",21,9,1.8
"169",21,10,NA
"170",21,11,1.8
"171",21,15,1.75
"172",21,17,2
"173",21,19,2
"174",21,22,1.7
"175",21,24,1.9
"176",21,26,1.8
"177",21,28,1.5
"178",21,29,1.5
"179",21,30,NA
"180",21,31,1.8
"181",21,32,NA
"182",21,33,2
"183",21,35,NA
"184",21,36,2
"185",21,37,2
"186",21,39,1.8
"187",21,40,NA
"188",21,41,1.8
"189",21,42,1.6
"190",21,45,NA
"191",21,47,NA
"192",21,48,1.5
"193",21,50,NA
"194",21,53,2
"195",21,54,1.5
"196",21,57,NA
"197",21,61,NA
"198",21,62,NA
"199",21,63,1.9
"200",21,64,2
"201",21,68,1.7
"202",21,71,1.5
"203",21,72,1.6
"204",21,73,NA
"205",21,76,2
"206",21,80,1.8
"207",21,85,2
"208",21,87,1.5
"209",21,89,1.8
"210",21,90,2
"211",21,91,1.8
"212",21,92,NA
"213",21,93,2
"214",21,94,2.2
"215",21,95,1.6
"216",21,96,NA
