"","horizon","economist","forecast"
"1",4,1,0.2
"2",4,2,0.2
"3",4,3,0.2
"4",4,4,0.1
"5",4,5,-0.2
"6",4,6,0
"7",4,7,0.9
"8",4,14,0.5
"9",4,15,0.6
"10",4,16,0.2
"11",4,20,-0.5
"12",4,22,-0.2
"13",4,23,-0.1
"14",4,24,-0.1
"15",4,29,0.2
"16",4,31,0.8
"17",4,32,0.3
"18",4,35,0.3
"19",4,36,0.2
"20",4,37,-0.2
"21",4,39,0
"22",4,41,0.6
"23",4,42,0.1
"24",4,45,0.25
"25",4,47,0.3
"26",4,48,0.6
"27",4,49,-0.1
"28",4,52,-0.4
"29",4,54,0.5
"30",4,57,0.5
"31",4,61,0.7
"32",4,67,0.5
"33",4,68,0.3
"34",4,70,0.5
"35",4,80,0.9
"36",4,82,0.2
"37",4,84,0
"38",4,85,0.0537802059
"39",4,88,0
"40",4,89,0.7
"41",4,90,0.6
"42",4,92,0.2547233075
"43",4,93,0.7
"44",4,94,0.2
"45",4,95,0.6425
"46",4,96,0.25
"47",4,97,0.2513053124
"48",4,98,-0.3
"49",4,101,0.1
"50",4,102,-0.3
"51",4,103,0.3
"52",4,104,0.4
"53",4,105,0.6
"54",4,107,0.2547233075
"55",4,110,0.1
"56",4,111,NA
"57",4,112,0.5
"58",4,114,0.2
"59",4,115,0.3
"60",8,1,0.8
"61",8,2,0.7
"62",8,3,0.75
"63",8,4,1.3
"64",8,5,0.5
"65",8,6,0.6
"66",8,7,1.2
"67",8,14,1
"68",8,15,1.4
"69",8,16,0.9
"70",8,20,0.7
"71",8,22,0.8
"72",8,23,1.2
"73",8,24,1.2
"74",8,29,0.4
"75",8,31,1.4
"76",8,32,1.3
"77",8,35,NA
"78",8,36,0.4
"79",8,37,1.2
"80",8,39,1
"81",8,41,1.1
"82",8,42,0.5
"83",8,45,0.55
"84",8,47,1.4
"85",8,48,0.6
"86",8,49,1.2
"87",8,52,1.15
"88",8,54,1
"89",8,57,1
"90",8,61,NA
"91",8,67,NA
"92",8,68,1
"93",8,70,1
"94",8,80,1.5
"95",8,82,0.8
"96",8,84,1.3
"97",8,85,1.0062215943
"98",8,88,1.1
"99",8,89,1.5
"100",8,90,1.1
"101",8,92,1.1045195912
"102",8,93,1.8
"103",8,94,1.6
"104",8,95,1.387
"105",8,96,0.9
"106",8,97,0.9971822919
"107",8,98,1.2
"108",8,101,1.2
"109",8,102,1.1
"110",8,103,1.3
"111",8,104,1
"112",8,105,1.2
"113",8,107,1.1045195912
"114",8,110,0.5
"115",8,111,NA
"116",8,112,1.2
"117",8,114,1.7
"118",8,115,1.3
"119",12,1,1.3
"120",12,2,1.2
"121",12,3,1.75
"122",12,4,1.5
"123",12,5,1.5
"124",12,6,1.3
"125",12,7,NA
"126",12,14,1.5
"127",12,15,1.7
"128",12,16,1.1
"129",12,20,1.3
"130",12,22,1.4
"131",12,23,1.5
"132",12,24,1.66
"133",12,29,0.8
"134",12,31,1.7
"135",12,32,NA
"136",12,35,NA
"137",12,36,0.7
"138",12,37,1.8
"139",12,39,1.4
"140",12,41,1.5
"141",12,42,NA
"142",12,45,0.95
"143",12,47,1.7
"144",12,48,NA
"145",12,49,1.7
"146",12,52,1.6
"147",12,54,1.3
"148",12,57,1.5
"149",12,61,NA
"150",12,67,NA
"151",12,68,1.5
"152",12,70,NA
"153",12,80,2.1
"154",12,82,NA
"155",12,84,1.6
"156",12,85,1.7680215576
"157",12,88,1.5
"158",12,89,1.6
"159",12,90,1.6
"160",12,92,1.1680008668
"161",12,93,2
"162",12,94,2
"163",12,95,1.4565
"164",12,96,1.5
"165",12,97,NA
"166",12,98,1.6
"167",12,101,1.4
"168",12,102,1.1
"169",12,103,1.7
"170",12,104,1.7
"171",12,105,1.5
"172",12,107,1.1680008668
"173",12,110,NA
"174",12,111,NA
"175",12,112,1.6
"176",12,114,1.5
"177",12,115,1.6
"178",20,1,1.6
"179",20,2,1.5
"180",20,3,1.75
"181",20,4,1.7
"182",20,5,1.5
"183",20,6,2
"184",20,7,2
"185",20,14,2
"186",20,15,1.9
"187",20,16,1.7
"188",20,20,1.8
"189",20,22,1.6
"190",20,23,2
"191",20,24,1.85
"192",20,29,1.3
"193",20,31,1.8
"194",20,32,NA
"195",20,35,NA
"196",20,36,1.5
"197",20,37,2
"198",20,39,1.7
"199",20,41,1.8
"200",20,42,1.8
"201",20,45,1.7
"202",20,47,1.8
"203",20,48,1
"204",20,49,NA
"205",20,52,2
"206",20,54,2
"207",20,57,1.6
"208",20,61,NA
"209",20,67,NA
"210",20,68,1.7
"211",20,70,1.8
"212",20,80,1.9
"213",20,82,NA
"214",20,84,1.9
"215",20,85,1.95
"216",20,88,1.85
"217",20,89,2
"218",20,90,1.8
"219",20,92,NA
"220",20,93,2
"221",20,94,1.7
"222",20,95,1.7715
"223",20,96,1.6
"224",20,97,NA
"225",20,98,2
"226",20,101,1.8
"227",20,102,1.3
"228",20,103,1.8
"229",20,104,1.8
"230",20,105,1.9
"231",20,107,NA
"232",20,110,NA
"233",20,111,NA
"234",20,112,2
"235",20,114,1.7
"236",20,115,1.8
