"","horizon","economist","forecast"
"1",4,1,1.8
"2",4,2,2
"3",4,3,1.6
"4",4,4,1.4
"5",4,7,1.75
"6",4,10,1.4
"7",4,11,1.2
"8",4,14,1.6
"9",4,15,1.8
"10",4,16,1.9
"11",4,17,1.8
"12",4,20,1.5
"13",4,22,1.5
"14",4,26,1.7
"15",4,28,1.9
"16",4,29,1.7
"17",4,30,1.7
"18",4,31,1.6
"19",4,32,1.6
"20",4,33,1.5
"21",4,35,1.9
"22",4,36,2.3
"23",4,37,1.8
"24",4,39,2.1
"25",4,40,1.5
"26",4,41,1.8
"27",4,42,1.5
"28",4,47,1.8
"29",4,48,1.5
"30",4,50,1.6
"31",4,52,1.2
"32",4,53,1.5
"33",4,54,1.7
"34",4,56,1.6
"35",4,57,1.8
"36",4,59,1.3
"37",4,61,1.3
"38",4,62,1.75
"39",4,63,1.6
"40",4,64,1.9
"41",4,65,1.8
"42",4,68,1.7
"43",4,72,1.6
"44",4,73,1.8
"45",4,76,2
"46",4,80,1.7
"47",4,84,1.8
"48",4,85,1.8
"49",4,87,1.5
"50",4,89,1.7
"51",4,90,1.9
"52",4,91,2
"53",4,92,1.8
"54",4,93,1.8
"55",4,94,2
"56",4,95,1.5
"57",4,96,1.8
"58",8,1,2.1
"59",8,2,2
"60",8,3,1.9
"61",8,4,1.4
"62",8,7,1.5
"63",8,10,1.3
"64",8,11,1.6
"65",8,14,1.5
"66",8,15,1.7
"67",8,16,1.9
"68",8,17,1.6
"69",8,20,1.6
"70",8,22,1.7
"71",8,26,1.5
"72",8,28,1.6
"73",8,29,1.5
"74",8,30,1.8
"75",8,31,1.8
"76",8,32,NA
"77",8,33,2
"78",8,35,NA
"79",8,36,1.9
"80",8,37,1.8
"81",8,39,1.9
"82",8,40,1.7
"83",8,41,1.8
"84",8,42,1.7
"85",8,47,2.1
"86",8,48,1.8
"87",8,50,1.9
"88",8,52,1.6
"89",8,53,2
"90",8,54,1.3
"91",8,56,1.9
"92",8,57,1.7
"93",8,59,1.5
"94",8,61,1.6
"95",8,62,2
"96",8,63,1.7
"97",8,64,1.7
"98",8,65,2
"99",8,68,1.7
"100",8,72,1.6
"101",8,73,1.6
"102",8,76,2
"103",8,80,1.8
"104",8,84,1.9
"105",8,85,2.4
"106",8,87,1.8
"107",8,89,1.8
"108",8,90,1.9
"109",8,91,2
"110",8,92,2.1
"111",8,93,2
"112",8,94,2.4
"113",8,95,1.5
"114",8,96,2
"115",20,1,2
"116",20,2,2
"117",20,3,2
"118",20,4,2
"119",20,7,NA
"120",20,10,NA
"121",20,11,1.8
"122",20,14,1.5
"123",20,15,1.75
"124",20,16,2.5
"125",20,17,1.5
"126",20,20,2
"127",20,22,1.7
"128",20,26,1.7
"129",20,28,1.5
"130",20,29,NA
"131",20,30,NA
"132",20,31,1.8
"133",20,32,NA
"134",20,33,2
"135",20,35,NA
"136",20,36,2
"137",20,37,2
"138",20,39,1.9
"139",20,40,1.8
"140",20,41,1.8
"141",20,42,1.6
"142",20,47,NA
"143",20,48,1.8
"144",20,50,NA
"145",20,52,1.7
"146",20,53,2
"147",20,54,1.5
"148",20,56,1.5
"149",20,57,NA
"150",20,59,1.8
"151",20,61,NA
"152",20,62,NA
"153",20,63,1.9
"154",20,64,NA
"155",20,65,2
"156",20,68,NA
"157",20,72,1.6
"158",20,73,NA
"159",20,76,2
"160",20,80,1.9
"161",20,84,1.8
"162",20,85,2
"163",20,87,1.5
"164",20,89,1.8
"165",20,90,2
"166",20,91,2.1
"167",20,92,NA
"168",20,93,2
"169",20,94,2.5
"170",20,95,1.6
"171",20,96,2
