"","horizon","economist","forecast"
"1",1,1,2
"2",1,3,2
"3",1,4,2.1
"4",1,5,2.1
"5",1,7,2
"6",1,10,1.88314718
"7",1,11,2
"8",1,14,2.1
"9",1,15,2
"10",1,16,1.9
"11",1,17,1.8
"12",1,19,2.1
"13",1,20,2
"14",1,22,2.1
"15",1,23,2
"16",1,24,2
"17",1,26,2.1
"18",1,29,2
"19",1,30,2.1
"20",1,31,2
"21",1,32,2
"22",1,33,2
"23",1,35,2
"24",1,36,1.9
"25",1,37,2
"26",1,38,2.1
"27",1,39,2
"28",1,40,2.1
"29",1,41,2.1
"30",1,42,2.1
"31",1,45,2.1
"32",1,47,2.1
"33",1,48,2
"34",1,49,2
"35",1,50,2
"36",1,52,2.1
"37",1,53,2
"38",1,54,2.01
"39",1,56,2
"40",1,57,2.1
"41",1,59,2
"42",1,60,2
"43",1,61,2
"44",1,62,1.75
"45",1,67,2.1
"46",1,68,1.9
"47",1,70,2
"48",1,73,2
"49",1,76,2.1
"50",1,80,2.1
"51",1,82,2
"52",1,84,2.1
"53",1,85,2
"54",1,88,2.1
"55",1,89,2.1
"56",1,90,2
"57",1,91,2.1
"58",1,92,2.1
"59",1,93,1.8
"60",1,94,2
"61",1,95,2
"62",1,96,2.1
"63",5,1,1.5
"64",5,3,1.6
"65",5,4,1.6
"66",5,5,1.7
"67",5,7,1.5
"68",5,10,1.62528585
"69",5,11,1.6
"70",5,14,1.4
"71",5,15,1.6
"72",5,16,1.6
"73",5,17,1.2
"74",5,19,1.3
"75",5,20,1.7
"76",5,22,1.7
"77",5,23,1.5
"78",5,24,1.5
"79",5,26,2
"80",5,29,1.7
"81",5,30,1.8
"82",5,31,1.5
"83",5,32,1.7
"84",5,33,1.7
"85",5,35,NA
"86",5,36,2.2
"87",5,37,1.8
"88",5,38,1.6
"89",5,39,1.3
"90",5,40,1.7
"91",5,41,1.8
"92",5,42,1.8
"93",5,45,1.8
"94",5,47,2
"95",5,48,1.8
"96",5,49,1.6
"97",5,50,1.6
"98",5,52,1.5
"99",5,53,1.6
"100",5,54,1.6
"101",5,56,1.6
"102",5,57,1.8
"103",5,59,1.4
"104",5,60,1.5
"105",5,61,1.5
"106",5,62,1.25
"107",5,67,1.8
"108",5,68,1.5
"109",5,70,1.4
"110",5,73,1.7
"111",5,76,1.4
"112",5,80,1.7
"113",5,82,1.2
"114",5,84,1.7
"115",5,85,1.8
"116",5,88,1.6
"117",5,89,1.8
"118",5,90,1.4
"119",5,91,1.9
"120",5,92,1.7
"121",5,93,1.7
"122",5,94,1.8
"123",5,95,1.7
"124",5,96,2
"125",9,1,1.7
"126",9,3,2
"127",9,4,1.8
"128",9,5,1.9
"129",9,7,1.8
"130",9,10,1.84199918
"131",9,11,1.8
"132",9,14,1.5
"133",9,15,1.5
"134",9,16,1.5
"135",9,17,1
"136",9,19,1.9
"137",9,20,1.9
"138",9,22,1.8
"139",9,23,2.1
"140",9,24,1.6
"141",9,26,1.8
"142",9,29,NA
"143",9,30,2.1
"144",9,31,1.8
"145",9,32,NA
"146",9,33,2
"147",9,35,NA
"148",9,36,2.3
"149",9,37,2
"150",9,38,1.7
"151",9,39,1.9
"152",9,40,NA
"153",9,41,1.8
"154",9,42,1.6
"155",9,45,1.6
"156",9,47,NA
"157",9,48,NA
"158",9,49,2
"159",9,50,1.5
"160",9,52,1.5
"161",9,53,1.8
"162",9,54,1.8
"163",9,56,1.9
"164",9,57,1.9
"165",9,59,1.5
"166",9,60,1.5
"167",9,61,1.8
"168",9,62,1.5
"169",9,67,2
"170",9,68,1.7
"171",9,70,1.9
"172",9,73,1.7
"173",9,76,1
"174",9,80,1.4
"175",9,82,1
"176",9,84,1.9
"177",9,85,NA
"178",9,88,1.8
"179",9,89,1.9
"180",9,90,1.8
"181",9,91,2
"182",9,92,1.9
"183",9,93,2
"184",9,94,2.5
"185",9,95,1.6
"186",9,96,2
"187",21,1,2
"188",21,3,2
"189",21,4,1.8
"190",21,5,1.9
"191",21,7,1.9
"192",21,10,2
"193",21,11,1.8
"194",21,14,1.5
"195",21,15,1.7
"196",21,16,2.1
"197",21,17,1.6
"198",21,19,2
"199",21,20,2
"200",21,22,1.7
"201",21,23,2.5
"202",21,24,1.9
"203",21,26,1.8
"204",21,29,NA
"205",21,30,NA
"206",21,31,1.7
"207",21,32,NA
"208",21,33,2.5
"209",21,35,NA
"210",21,36,2.4
"211",21,37,2
"212",21,38,2
"213",21,39,1.9
"214",21,40,NA
"215",21,41,1.8
"216",21,42,1.5
"217",21,45,NA
"218",21,47,NA
"219",21,48,NA
"220",21,49,2.5
"221",21,50,NA
"222",21,52,NA
"223",21,53,1.8
"224",21,54,1.8
"225",21,56,1.8
"226",21,57,NA
"227",21,59,1.9
"228",21,60,2.2
"229",21,61,NA
"230",21,62,NA
"231",21,67,2
"232",21,68,NA
"233",21,70,NA
"234",21,73,NA
"235",21,76,2
"236",21,80,1.5
"237",21,82,1.7
"238",21,84,1.8
"239",21,85,NA
"240",21,88,2
"241",21,89,1.8
"242",21,90,2
"243",21,91,2
"244",21,92,NA
"245",21,93,2.4
"246",21,94,2.5
"247",21,95,1.6
"248",21,96,NA
