"","horizon","economist","forecast"
"1",2,4,1.4
"2",2,6,1.5
"3",2,7,NA
"4",2,8,1.5
"5",2,14,1.6
"6",2,15,1.5
"7",2,16,1.5
"8",2,22,1.6
"9",2,23,1.5
"10",2,24,1.5
"11",2,26,1.5
"12",2,29,1.5
"13",2,30,1.6
"14",2,32,1.4
"15",2,36,1.8
"16",2,37,1.5
"17",2,38,1.5
"18",2,41,1.5
"19",2,45,1.6
"20",2,47,1.57
"21",2,49,1.5
"22",2,52,1.4
"23",2,54,1.5
"24",2,56,1.4
"25",2,57,1.6
"26",2,58,1.6
"27",2,68,1.5
"28",2,70,1.4
"29",2,82,1.4
"30",2,84,1.5
"31",2,85,1.4842255664
"32",2,88,1.7
"33",2,89,1.5
"34",2,91,1.5
"35",2,92,1.5
"36",2,93,1.6
"37",2,94,1.7
"38",2,95,1.4117362563
"39",2,96,1.4
"40",2,98,1.4
"41",2,99,1.5
"42",2,101,1.1947130502
"43",2,102,1.6
"44",2,103,1.4
"45",2,104,1.6
"46",2,107,1.5
"47",2,108,1.598325
"48",2,110,1.6
"49",2,111,1.4
"50",2,112,1.6
"51",2,113,1.8
"52",6,4,1.5
"53",6,6,1.6
"54",6,7,NA
"55",6,8,1.6
"56",6,14,1.8
"57",6,15,1.5
"58",6,16,1.2
"59",6,22,1.4
"60",6,23,1.5
"61",6,24,1.5
"62",6,26,1.7
"63",6,29,1.8
"64",6,30,1.5
"65",6,32,1.4
"66",6,36,2.3
"67",6,37,1.6
"68",6,38,1.7
"69",6,41,1.6
"70",6,45,1.6
"71",6,47,1.62
"72",6,49,1.5
"73",6,52,1.2
"74",6,54,1.7
"75",6,56,1.4
"76",6,57,1.7
"77",6,58,1.1
"78",6,68,1.5
"79",6,70,0.9
"80",6,82,1.3
"81",6,84,1.6
"82",6,85,1.3876555299
"83",6,88,1.7
"84",6,89,1.6
"85",6,91,1.2
"86",6,92,1.3
"87",6,93,2
"88",6,94,2.2
"89",6,95,1.49
"90",6,96,1.3
"91",6,98,1.3
"92",6,99,1.5
"93",6,101,1.2782573309
"94",6,102,1.5
"95",6,103,1.5
"96",6,104,1.5
"97",6,107,1.3
"98",6,108,1.7229375
"99",6,110,1.7
"100",6,111,NA
"101",6,112,1.6
"102",6,113,1.5
"103",10,4,1.8
"104",10,6,2
"105",10,7,NA
"106",10,8,1.7
"107",10,14,2
"108",10,15,1.8
"109",10,16,1.5
"110",10,22,1.6
"111",10,23,1.8
"112",10,24,1.8
"113",10,26,1.9
"114",10,29,2
"115",10,30,NA
"116",10,32,NA
"117",10,36,2.4
"118",10,37,2.1
"119",10,38,1.7
"120",10,41,1.6
"121",10,45,NA
"122",10,47,NA
"123",10,49,1.6
"124",10,52,1.5
"125",10,54,2
"126",10,56,2
"127",10,57,1.8
"128",10,58,1.3
"129",10,68,1.4
"130",10,70,NA
"131",10,82,NA
"132",10,84,1.9
"133",10,85,1.6202638701
"134",10,88,1.7
"135",10,89,1.9
"136",10,91,1.2
"137",10,92,1.7
"138",10,93,2
"139",10,94,2.4
"140",10,95,1.6
"141",10,96,1.4
"142",10,98,1.8
"143",10,99,2
"144",10,101,1.4249199043
"145",10,102,1.3
"146",10,103,1.9
"147",10,104,1.8
"148",10,107,1.7
"149",10,108,1.8299925
"150",10,110,NA
"151",10,111,NA
"152",10,112,1.8
"153",10,113,1.4
"154",22,4,2
"155",22,6,2
"156",22,7,NA
"157",22,8,2
"158",22,14,2.2
"159",22,15,1.9
"160",22,16,1.7
"161",22,22,1.8
"162",22,23,2.5
"163",22,24,2
"164",22,26,1.9
"165",22,29,2.5
"166",22,30,NA
"167",22,32,NA
"168",22,36,NA
"169",22,37,2.4
"170",22,38,NA
"171",22,41,NA
"172",22,45,NA
"173",22,47,1.9
"174",22,49,NA
"175",22,52,2
"176",22,54,1.9
"177",22,56,1.9
"178",22,57,2
"179",22,58,1.7
"180",22,68,1.8
"181",22,70,1.8
"182",22,82,NA
"183",22,84,1.9
"184",22,85,2
"185",22,88,1.9
"186",22,89,1.9
"187",22,91,1.9
"188",22,92,1.9
"189",22,93,2
"190",22,94,1.8
"191",22,95,1.835
"192",22,96,1.5
"193",22,98,2.2
"194",22,99,2.2
"195",22,101,1.6
"196",22,102,NA
"197",22,103,2
"198",22,104,2
"199",22,107,1.9
"200",22,108,1.625715
"201",22,110,2
"202",22,111,NA
"203",22,112,2.5
"204",22,113,1.5
