"","horizon","economist","forecast"
"1",4,2,2.1
"2",4,3,1.8
"3",4,4,2
"4",4,5,2
"5",4,7,1.4
"6",4,8,2.1
"7",4,14,1.9
"8",4,15,2
"9",4,16,2.2
"10",4,19,2
"11",4,20,2
"12",4,22,2.1
"13",4,23,2.1
"14",4,24,2.2
"15",4,26,2.1
"16",4,29,1.3
"17",4,30,1.7
"18",4,31,1.7
"19",4,32,1.6
"20",4,33,2.5
"21",4,36,2.3
"22",4,37,1.8
"23",4,38,2.1
"24",4,39,2
"25",4,41,1.8
"26",4,42,1.9
"27",4,47,1.9
"28",4,48,1.7
"29",4,52,1.8
"30",4,56,1.8
"31",4,59,1.7
"32",4,67,2.8
"33",4,68,1.6
"34",4,70,1.9
"35",4,73,2.2
"36",4,80,2.3
"37",4,85,1.8
"38",4,88,1.9
"39",4,89,1.9
"40",4,90,1.8
"41",4,93,2.2
"42",4,94,2.1
"43",4,95,1.8335762672
"44",4,96,2
"45",4,97,2.2
"46",4,98,1.7
"47",4,99,1.8
"48",4,101,1.8
"49",4,102,1.9
"50",4,103,1.8
"51",4,104,1.7
"52",4,105,1.8
"53",4,106,2.2
"54",4,107,2.1
"55",4,109,2.1
"56",4,110,1.5
"57",8,2,1.7
"58",8,3,1.8
"59",8,4,1.7
"60",8,5,1.8
"61",8,7,1.3
"62",8,8,2
"63",8,14,1.7
"64",8,15,1.8
"65",8,16,1.8
"66",8,19,2.2
"67",8,20,2
"68",8,22,1.7
"69",8,23,2
"70",8,24,1.8
"71",8,26,2
"72",8,29,1.4
"73",8,30,NA
"74",8,31,1.8
"75",8,32,1.7
"76",8,33,2.2
"77",8,36,2.5
"78",8,37,2
"79",8,38,1.6
"80",8,39,1.5
"81",8,41,1.9
"82",8,42,1.9
"83",8,47,1.6
"84",8,48,NA
"85",8,52,1.2
"86",8,56,2
"87",8,59,1.8
"88",8,67,3
"89",8,68,1.6
"90",8,70,1.7
"91",8,73,1.5
"92",8,80,2.1
"93",8,85,1.6
"94",8,88,1.9
"95",8,89,2
"96",8,90,2
"97",8,93,1.8
"98",8,94,1.8
"99",8,95,1.8272471898
"100",8,96,1.7
"101",8,97,2
"102",8,98,1.5
"103",8,99,1.75
"104",8,101,2.1
"105",8,102,1.3
"106",8,103,1.6
"107",8,104,1.8
"108",8,105,1.9
"109",8,106,1.7
"110",8,107,1.5
"111",8,109,1.4
"112",8,110,1.6
"113",20,2,1.8
"114",20,3,2
"115",20,4,1.9
"116",20,5,1.5
"117",20,7,2
"118",20,8,2
"119",20,14,1.7
"120",20,15,1.75
"121",20,16,1.9
"122",20,19,2.2
"123",20,20,2
"124",20,22,1.8
"125",20,23,3
"126",20,24,1.9
"127",20,26,1.9
"128",20,29,2.1
"129",20,30,1.9
"130",20,31,2
"131",20,32,NA
"132",20,33,2
"133",20,36,2.5
"134",20,37,2.2
"135",20,38,NA
"136",20,39,1.9
"137",20,41,2
"138",20,42,1.8
"139",20,47,1.9
"140",20,48,1
"141",20,52,1.7
"142",20,56,2
"143",20,59,2
"144",20,67,NA
"145",20,68,1.9
"146",20,70,1.8
"147",20,73,NA
"148",20,80,2
"149",20,85,NA
"150",20,88,1.9
"151",20,89,2
"152",20,90,2
"153",20,93,2
"154",20,94,1.8
"155",20,95,1.8
"156",20,96,NA
"157",20,97,1.9
"158",20,98,2.1
"159",20,99,2.2
"160",20,101,NA
"161",20,102,2
"162",20,103,2
"163",20,104,2
"164",20,105,2
"165",20,106,2
"166",20,107,1.8
"167",20,109,2
"168",20,110,2
