"","horizon","economist","forecast"
"1",4,1,1.8
"2",4,2,2.4
"3",4,3,1.5
"4",4,4,2
"5",4,5,1.9
"6",4,6,2.1
"7",4,7,1.5
"8",4,8,2.1
"9",4,14,2.3
"10",4,15,1.9
"11",4,16,2
"12",4,20,1.9
"13",4,22,2
"14",4,23,1.5
"15",4,24,1.9
"16",4,29,1.9
"17",4,30,1.2
"18",4,31,1.7
"19",4,32,1.6
"20",4,33,1.5
"21",4,35,2.2
"22",4,36,2
"23",4,37,1.8
"24",4,38,1.8
"25",4,39,2.3
"26",4,41,2.1
"27",4,47,2.3
"28",4,48,1.6
"29",4,52,1.9
"30",4,54,2
"31",4,57,1.8
"32",4,67,1.5
"33",4,68,1.4
"34",4,70,1.9
"35",4,80,1.8
"36",4,82,2.1
"37",4,84,1.9
"38",4,85,1.83
"39",4,88,2
"40",4,89,1.6
"41",4,91,1.1
"42",4,92,1.9
"43",4,93,2.3
"44",4,94,2.8
"45",4,95,1.8894767442
"46",4,96,1.9
"47",4,98,1.7
"48",4,99,2
"49",4,102,2.1
"50",4,103,2.1
"51",4,104,2
"52",4,106,1.7
"53",4,107,1.9
"54",4,108,1.8160128632
"55",4,109,2.2
"56",4,110,1.5
"57",4,111,NA
"58",4,112,1.9
"59",8,1,1.8
"60",8,2,2.2
"61",8,3,NA
"62",8,4,2
"63",8,5,1.3
"64",8,6,2.2
"65",8,7,1
"66",8,8,1.9
"67",8,14,2
"68",8,15,1.7
"69",8,16,1.6
"70",8,20,1.8
"71",8,22,1.7
"72",8,23,1.4
"73",8,24,1.7
"74",8,29,2
"75",8,30,NA
"76",8,31,1.9
"77",8,32,1.5
"78",8,33,2
"79",8,35,NA
"80",8,36,2
"81",8,37,2.2
"82",8,38,1.7
"83",8,39,1.6
"84",8,41,1.8
"85",8,47,1.8
"86",8,48,NA
"87",8,52,1.4
"88",8,54,1.5
"89",8,57,1.7
"90",8,67,2
"91",8,68,1.1
"92",8,70,1.4
"93",8,80,1.4
"94",8,82,1.5
"95",8,84,1.9
"96",8,85,1.32
"97",8,88,1.9
"98",8,89,1.8
"99",8,91,0.5
"100",8,92,1.4
"101",8,93,2
"102",8,94,2.4
"103",8,95,1.8019767442
"104",8,96,1.3
"105",8,98,1.4
"106",8,99,1.6
"107",8,102,1.5
"108",8,103,1.7
"109",8,104,1.6
"110",8,106,1.5
"111",8,107,1.4
"112",8,108,1.665534546
"113",8,109,1.9
"114",8,110,1.5
"115",8,111,NA
"116",8,112,1.9
"117",20,1,1.9
"118",20,2,2
"119",20,3,2
"120",20,4,1.8
"121",20,5,1.8
"122",20,6,2
"123",20,7,2
"124",20,8,2
"125",20,14,2
"126",20,15,1.9
"127",20,16,1.8
"128",20,20,2
"129",20,22,1.8
"130",20,23,2.8
"131",20,24,1.9
"132",20,29,2.5
"133",20,30,1.9
"134",20,31,2
"135",20,32,NA
"136",20,33,2
"137",20,35,NA
"138",20,36,1.8
"139",20,37,2.2
"140",20,38,NA
"141",20,39,1.9
"142",20,41,1.9
"143",20,47,2
"144",20,48,NA
"145",20,52,2
"146",20,54,1.9
"147",20,57,NA
"148",20,67,NA
"149",20,68,1.8
"150",20,70,1.9
"151",20,80,NA
"152",20,82,NA
"153",20,84,1.9
"154",20,85,NA
"155",20,88,1.9
"156",20,89,2
"157",20,91,NA
"158",20,92,1.9
"159",20,93,2
"160",20,94,1.8
"161",20,95,1.8316666667
"162",20,96,NA
"163",20,98,2.1
"164",20,99,2.2
"165",20,102,2
"166",20,103,2
"167",20,104,2
"168",20,106,1.8
"169",20,107,1.9
"170",20,108,1.718865625
"171",20,109,2
"172",20,110,2
"173",20,111,NA
"174",20,112,2.5
