"","horizon","economist","forecast"
"1",1,1,2.1
"2",1,2,2.7
"3",1,3,NA
"4",1,4,2.2
"5",1,5,2.6
"6",1,6,2.6
"7",1,7,2.4
"8",1,8,2.5
"9",1,14,2.3
"10",1,15,2.5
"11",1,16,2.5
"12",1,20,2.6
"13",1,22,2.5
"14",1,23,2.5
"15",1,24,2.5
"16",1,26,2.5
"17",1,29,2.5
"18",1,30,2.5
"19",1,31,2.4
"20",1,32,2.4
"21",1,33,2.5
"22",1,37,2.5
"23",1,38,2.5
"24",1,39,2.5
"25",1,41,2.4
"26",1,42,2.4
"27",1,47,2.5
"28",1,48,2.5
"29",1,52,2.5
"30",1,56,2.5
"31",1,57,2.4
"32",1,58,2.5
"33",1,67,2.7
"34",1,68,2.3
"35",1,70,2.5
"36",1,82,2.5
"37",1,84,2.4
"38",1,85,2.5251193197
"39",1,88,2.5
"40",1,89,2.5
"41",1,92,2.5
"42",1,93,2.5
"43",1,94,2.7
"44",1,95,2.3833333333
"45",1,96,2.3
"46",1,98,2.6
"47",1,99,2.4
"48",1,101,2.6
"49",1,103,2.5
"50",1,104,2.5
"51",1,105,2.4
"52",1,107,2.5
"53",1,108,2.60339
"54",1,110,2.4
"55",1,111,2.5
"56",1,112,2.5
"57",5,1,1.8
"58",5,2,2.8
"59",5,3,NA
"60",5,4,1.6
"61",5,5,2.1
"62",5,6,1.9
"63",5,7,1.8
"64",5,8,2
"65",5,14,2
"66",5,15,1.9
"67",5,16,2.1
"68",5,20,2.1
"69",5,22,1.9
"70",5,23,1.9
"71",5,24,1.8
"72",5,26,1.9
"73",5,29,2.5
"74",5,30,1.9
"75",5,31,1.8
"76",5,32,1.9
"77",5,33,2
"78",5,37,2
"79",5,38,1.6
"80",5,39,1.9
"81",5,41,1.8
"82",5,42,2
"83",5,47,2
"84",5,48,1.9
"85",5,52,1.8
"86",5,56,1.9
"87",5,57,2.1
"88",5,58,1.1
"89",5,67,2.2
"90",5,68,1.6
"91",5,70,1.6
"92",5,82,1.8
"93",5,84,1.9
"94",5,85,1.7989325347
"95",5,88,1.9
"96",5,89,2.1
"97",5,92,1.9
"98",5,93,2.1
"99",5,94,2.6
"100",5,95,1.7512169312
"101",5,96,1.8
"102",5,98,1.8
"103",5,99,1.7
"104",5,101,2
"105",5,103,2
"106",5,104,1.9
"107",5,105,1.7
"108",5,107,1.9
"109",5,108,2.061115
"110",5,110,1.8
"111",5,111,NA
"112",5,112,2
"113",9,1,1.9
"114",9,2,2.5
"115",9,3,NA
"116",9,4,1.6
"117",9,5,1.8
"118",9,6,2
"119",9,7,1.7
"120",9,8,1.9
"121",9,14,2
"122",9,15,1.9
"123",9,16,2
"124",9,20,2
"125",9,22,1.8
"126",9,23,1.5
"127",9,24,1.7
"128",9,26,1.9
"129",9,29,2.5
"130",9,30,NA
"131",9,31,2.2
"132",9,32,NA
"133",9,33,2
"134",9,37,2
"135",9,38,1.8
"136",9,39,1.9
"137",9,41,1.7
"138",9,42,1.9
"139",9,47,1.9
"140",9,48,NA
"141",9,52,1.5
"142",9,56,1.9
"143",9,57,2
"144",9,58,0.6
"145",9,67,2.5
"146",9,68,1.6
"147",9,70,1.5
"148",9,82,NA
"149",9,84,1.9
"150",9,85,1.4693916318
"151",9,88,1.8
"152",9,89,1.9
"153",9,92,1.9
"154",9,93,1.9
"155",9,94,2.2
"156",9,95,1.8512169312
"157",9,96,2
"158",9,98,1.6
"159",9,99,NA
"160",9,101,NA
"161",9,103,NA
"162",9,104,1.8
"163",9,105,1.9
"164",9,107,1.9
"165",9,108,2.05408
"166",9,110,1.8
"167",9,111,NA
"168",9,112,2.5
"169",21,1,1.9
"170",21,2,2
"171",21,3,2.1
"172",21,4,2
"173",21,5,1.8
"174",21,6,2
"175",21,7,2
"176",21,8,2
"177",21,14,2
"178",21,15,1.9
"179",21,16,1.7
"180",21,20,2
"181",21,22,1.8
"182",21,23,2.5
"183",21,24,2
"184",21,26,1.9
"185",21,29,2.8
"186",21,30,1.9
"187",21,31,2
"188",21,32,NA
"189",21,33,2
"190",21,37,2.5
"191",21,38,NA
"192",21,39,1.9
"193",21,41,NA
"194",21,42,1.8
"195",21,47,2
"196",21,48,1.8
"197",21,52,2.4
"198",21,56,2
"199",21,57,2
"200",21,58,0.9
"201",21,67,NA
"202",21,68,1.8
"203",21,70,1.8
"204",21,82,NA
"205",21,84,1.9
"206",21,85,NA
"207",21,88,1.9
"208",21,89,1.9
"209",21,92,1.9
"210",21,93,2
"211",21,94,1.8
"212",21,95,1.7266666667
"213",21,96,NA
"214",21,98,2.2
"215",21,99,2.2
"216",21,101,2
"217",21,103,2
"218",21,104,2
"219",21,105,2
"220",21,107,1.9
"221",21,108,1.830115
"222",21,110,2
"223",21,111,NA
"224",21,112,2.5
