"","horizon","economist","forecast"
"1",2,4,1.5
"2",2,5,1.5
"3",2,7,1.5
"4",2,8,1.5
"5",2,10,1.2
"6",2,14,1.4
"7",2,15,1.4
"8",2,16,1.6
"9",2,20,1.4
"10",2,22,1.5
"11",2,23,1.4
"12",2,24,1.5
"13",2,29,1.2
"14",2,30,1.4
"15",2,31,1.3
"16",2,32,1.4
"17",2,33,1.6
"18",2,35,1.5
"19",2,36,1.4
"20",2,37,1.6
"21",2,38,1.5
"22",2,39,1.5
"23",2,41,1.4
"24",2,45,1.3
"25",2,47,1.6
"26",2,48,1.1
"27",2,49,1.6
"28",2,52,1.6
"29",2,54,1.5
"30",2,57,1.6
"31",2,70,1.3
"32",2,73,0.9
"33",2,80,1.6
"34",2,82,1.5
"35",2,84,1.4
"36",2,85,1.3
"37",2,88,1.5
"38",2,89,1.4
"39",2,90,1.5
"40",2,93,1.5
"41",2,94,1.2
"42",2,95,1.35
"43",2,96,1.4
"44",2,97,1.5
"45",2,98,1.5
"46",2,99,1.3
"47",2,101,1.8
"48",2,102,1.5
"49",2,103,1.6
"50",2,104,1.3
"51",2,105,1.33
"52",2,106,1.5
"53",2,107,1.5166
"54",2,108,1.8
"55",2,109,1.59
"56",6,4,1.6
"57",6,5,1.8
"58",6,7,1.5
"59",6,8,1.7
"60",6,10,1.4
"61",6,14,1.4
"62",6,15,1.6
"63",6,16,1.7
"64",6,20,1.5
"65",6,22,1.6
"66",6,23,1.7
"67",6,24,1.6
"68",6,29,1.4
"69",6,30,1.3
"70",6,31,1.5
"71",6,32,1.2
"72",6,33,2
"73",6,35,NA
"74",6,36,2
"75",6,37,1.7
"76",6,38,1.5
"77",6,39,1.6
"78",6,41,1.6
"79",6,45,1.5
"80",6,47,1.4
"81",6,48,1.5
"82",6,49,1.7
"83",6,52,1.5
"84",6,54,1.4
"85",6,57,1.7
"86",6,70,0.8
"87",6,73,0.7
"88",6,80,1.7
"89",6,82,1.4
"90",6,84,1.6
"91",6,85,1.2
"92",6,88,1.7
"93",6,89,1.6
"94",6,90,1.6
"95",6,93,1.8
"96",6,94,1
"97",6,95,1.5415
"98",6,96,1.4
"99",6,97,1.8
"100",6,98,1.1
"101",6,99,1.3
"102",6,101,1.8
"103",6,102,1.2
"104",6,103,1.9
"105",6,104,1.4
"106",6,105,1.5
"107",6,106,1.5
"108",6,107,1.48
"109",6,108,1.7
"110",6,109,1.73
"111",10,4,1.3
"112",10,5,2
"113",10,7,1.4
"114",10,8,1.9
"115",10,10,NA
"116",10,14,1.4
"117",10,15,1.6
"118",10,16,1.8
"119",10,20,1.8
"120",10,22,1.9
"121",10,23,2
"122",10,24,1.8
"123",10,29,1.5
"124",10,30,NA
"125",10,31,1.8
"126",10,32,NA
"127",10,33,2.5
"128",10,35,NA
"129",10,36,2.4
"130",10,37,1.9
"131",10,38,1.5
"132",10,39,1.4
"133",10,41,1.6
"134",10,45,NA
"135",10,47,NA
"136",10,48,NA
"137",10,49,NA
"138",10,52,0.7
"139",10,54,NA
"140",10,57,1.5
"141",10,70,1.5
"142",10,73,0.8
"143",10,80,1.8
"144",10,82,NA
"145",10,84,1.7
"146",10,85,1.4
"147",10,88,1.8
"148",10,89,1.8
"149",10,90,1.8
"150",10,93,2
"151",10,94,1.2
"152",10,95,1.6581
"153",10,96,NA
"154",10,97,NA
"155",10,98,1.5
"156",10,99,NA
"157",10,101,2
"158",10,102,1.3
"159",10,103,2
"160",10,104,1.6
"161",10,105,1.8
"162",10,106,1.7
"163",10,107,1.5801
"164",10,108,1.6
"165",10,109,NA
"166",22,4,1.5
"167",22,5,1.8
"168",22,7,2
"169",22,8,2
"170",22,10,1.9
"171",22,14,1.6
"172",22,15,1.75
"173",22,16,1.8
"174",22,20,1.9
"175",22,22,1.8
"176",22,23,3
"177",22,24,1.9
"178",22,29,2.2
"179",22,30,1.9
"180",22,31,2
"181",22,32,NA
"182",22,33,2.3
"183",22,35,NA
"184",22,36,2.5
"185",22,37,2.2
"186",22,38,NA
"187",22,39,1.9
"188",22,41,1.9
"189",22,45,NA
"190",22,47,2
"191",22,48,1.5
"192",22,49,NA
"193",22,52,1.5
"194",22,54,1.9
"195",22,57,NA
"196",22,70,1.8
"197",22,73,NA
"198",22,80,2.4
"199",22,82,NA
"200",22,84,2
"201",22,85,NA
"202",22,88,1.9
"203",22,89,2
"204",22,90,1.9
"205",22,93,2
"206",22,94,1.6
"207",22,95,1.78205
"208",22,96,NA
"209",22,97,NA
"210",22,98,2.1
"211",22,99,2.2
"212",22,101,NA
"213",22,102,2
"214",22,103,2.1
"215",22,104,2
"216",22,105,2.1
"217",22,106,1.8
"218",22,107,1.782
"219",22,108,1.8
"220",22,109,2
