"","horizon","economist","forecast"
"1",2,1,1.8
"2",2,2,2
"3",2,4,1.9
"4",2,7,1.9
"5",2,9,1.9
"6",2,10,1.91046167
"7",2,11,1.8
"8",2,14,2
"9",2,15,1.8
"10",2,16,1.8
"11",2,17,1.4
"12",2,19,2.1
"13",2,20,2
"14",2,23,2
"15",2,24,1.8
"16",2,26,1.9
"17",2,29,1.8
"18",2,30,2
"19",2,32,2
"20",2,33,2
"21",2,35,2
"22",2,36,1.9
"23",2,37,2
"24",2,39,2
"25",2,41,1.9
"26",2,42,2.1
"27",2,45,2
"28",2,47,2
"29",2,48,1.9
"30",2,52,1.9
"31",2,53,1.9
"32",2,54,1.9
"33",2,56,1.8
"34",2,57,1.9
"35",2,59,1.9
"36",2,60,2
"37",2,63,1.8
"38",2,71,2
"39",2,72,2
"40",2,73,2
"41",2,76,2
"42",2,80,2
"43",2,82,1.9
"44",2,84,2
"45",2,85,2
"46",2,87,2
"47",2,89,2
"48",2,90,2.1
"49",2,91,2.2
"50",2,92,2.1
"51",2,93,1.8
"52",2,94,NA
"53",2,95,1.8
"54",2,96,2.1
"55",6,1,1.5
"56",6,2,1.8
"57",6,4,1.5
"58",6,7,1.2
"59",6,9,1.8
"60",6,10,1.61602058
"61",6,11,1.4
"62",6,14,1.3
"63",6,15,1.4
"64",6,16,1.4
"65",6,17,0.5
"66",6,19,1.3
"67",6,20,1.7
"68",6,23,1.5
"69",6,24,1.2
"70",6,26,1.4
"71",6,29,1.4
"72",6,30,1.9
"73",6,32,1.6
"74",6,33,1.6
"75",6,35,NA
"76",6,36,2.2
"77",6,37,1.8
"78",6,39,1.6
"79",6,41,1.6
"80",6,42,1.7
"81",6,45,1.6
"82",6,47,1.5
"83",6,48,1.6
"84",6,52,1.2
"85",6,53,1.5
"86",6,54,1.5
"87",6,56,1.6
"88",6,57,1.4
"89",6,59,1.1
"90",6,60,1.5
"91",6,63,1.4
"92",6,71,1.3
"93",6,72,1.6
"94",6,73,1.5
"95",6,76,1.2
"96",6,80,1.1
"97",6,82,1.1
"98",6,84,1.7
"99",6,85,1.8
"100",6,87,1.4
"101",6,89,1.8
"102",6,90,1.4
"103",6,91,1.9
"104",6,92,1.7
"105",6,93,1.7
"106",6,94,NA
"107",6,95,1.6
"108",6,96,1.9
"109",10,1,1.6
"110",10,2,1.8
"111",10,4,NA
"112",10,7,NA
"113",10,9,2
"114",10,10,1.83752485
"115",10,11,1.8
"116",10,14,1.5
"117",10,15,1.5
"118",10,16,1.5
"119",10,17,1
"120",10,19,1.9
"121",10,20,1.8
"122",10,23,2
"123",10,24,1.6
"124",10,26,1.8
"125",10,29,NA
"126",10,30,2.2
"127",10,32,NA
"128",10,33,2
"129",10,35,NA
"130",10,36,2.3
"131",10,37,2
"132",10,39,1.9
"133",10,41,1.6
"134",10,42,1.6
"135",10,45,NA
"136",10,47,NA
"137",10,48,NA
"138",10,52,1.7
"139",10,53,1.8
"140",10,54,1.8
"141",10,56,1.9
"142",10,57,2.1
"143",10,59,1.4
"144",10,60,1.5
"145",10,63,1.8
"146",10,71,1.8
"147",10,72,1.6
"148",10,73,1.5
"149",10,76,1.1
"150",10,80,1
"151",10,82,1
"152",10,84,1.9
"153",10,85,NA
"154",10,87,1.6
"155",10,89,1.9
"156",10,90,2
"157",10,91,2
"158",10,92,1.9
"159",10,93,2
"160",10,94,NA
"161",10,95,1.6
"162",10,96,2
"163",22,1,1.7
"164",22,2,2
"165",22,4,NA
"166",22,7,NA
"167",22,9,2.1
"168",22,10,2
"169",22,11,1.8
"170",22,14,1.5
"171",22,15,1.8
"172",22,16,2.1
"173",22,17,1.6
"174",22,19,2
"175",22,20,2
"176",22,23,2
"177",22,24,1.8
"178",22,26,1.8
"179",22,29,NA
"180",22,30,NA
"181",22,32,NA
"182",22,33,2.5
"183",22,35,NA
"184",22,36,2.4
"185",22,37,2
"186",22,39,1.9
"187",22,41,1.6
"188",22,42,1.5
"189",22,45,NA
"190",22,47,NA
"191",22,48,NA
"192",22,52,2
"193",22,53,1.8
"194",22,54,1.8
"195",22,56,1.8
"196",22,57,NA
"197",22,59,1.8
"198",22,60,2.2
"199",22,63,1.8
"200",22,71,1.9
"201",22,72,1.6
"202",22,73,NA
"203",22,76,2
"204",22,80,1.6
"205",22,82,1.5
"206",22,84,1.8
"207",22,85,2
"208",22,87,1.8
"209",22,89,1.8
"210",22,90,2
"211",22,91,2
"212",22,92,NA
"213",22,93,2.4
"214",22,94,NA
"215",22,95,1.6
"216",22,96,NA
