"","horizon","economist","forecast"
"1",3,1,0.8
"2",3,2,0.7
"3",3,3,0.8
"4",3,4,1
"5",3,5,0.7
"6",3,6,1
"7",3,14,1
"8",3,15,1
"9",3,16,0.9
"10",3,20,0.9
"11",3,22,0.9
"12",3,23,0.9
"13",3,24,0.8
"14",3,26,0.9
"15",3,30,1
"16",3,31,0.8
"17",3,32,1
"18",3,35,1
"19",3,37,0.8
"20",3,38,0.9
"21",3,39,0.9
"22",3,41,1
"23",3,47,0.9
"24",3,48,0.9
"25",3,52,0.63
"26",3,56,0.9
"27",3,57,1
"28",3,59,0.8
"29",3,63,0.9
"30",3,65,NA
"31",3,67,NA
"32",3,68,0.9
"33",3,70,0.7
"34",3,71,NA
"35",3,80,0.2
"36",3,82,0.7
"37",3,83,NA
"38",3,84,0.9
"39",3,85,0.8624370607
"40",3,88,0.9
"41",3,89,1
"42",3,91,0.8
"43",3,92,0.7338560998
"44",3,93,1.4
"45",3,94,1.1
"46",3,95,0.8355
"47",3,96,0.8
"48",3,98,0.9
"49",3,101,0.8
"50",3,102,0.9
"51",3,103,0.9
"52",3,104,1
"53",3,105,0.8
"54",3,107,0.7338560998
"55",3,110,0.7
"56",3,111,NA
"57",3,112,0.7
"58",3,114,NA
"59",7,1,1.3
"60",7,2,1.1
"61",7,3,0.5
"62",7,4,1.5
"63",7,5,1
"64",7,6,1.5
"65",7,14,1.6
"66",7,15,1.5
"67",7,16,1.2
"68",7,20,1.3
"69",7,22,1.2
"70",7,23,1.2
"71",7,24,1.3
"72",7,26,1.5
"73",7,30,1.4
"74",7,31,1.3
"75",7,32,1.6
"76",7,35,NA
"77",7,37,1.3
"78",7,38,1.5
"79",7,39,1.3
"80",7,41,1.5
"81",7,47,1.2
"82",7,48,1.2
"83",7,52,1.1
"84",7,56,1.3
"85",7,57,1.4
"86",7,59,1.3
"87",7,63,1.4
"88",7,65,NA
"89",7,67,NA
"90",7,68,1.2
"91",7,70,0.6
"92",7,71,NA
"93",7,80,1.1
"94",7,82,0.9
"95",7,83,NA
"96",7,84,1.3
"97",7,85,1.3285912636
"98",7,88,1.3
"99",7,89,1.5
"100",7,91,1.1
"101",7,92,1.2283202075
"102",7,93,2
"103",7,94,1.6
"104",7,95,1.2855
"105",7,96,1.2
"106",7,98,1.4
"107",7,101,1.3
"108",7,102,1.3
"109",7,103,1.5
"110",7,104,1.3
"111",7,105,1.3
"112",7,107,1.2283202075
"113",7,110,1.1
"114",7,111,NA
"115",7,112,1.2
"116",7,114,NA
"117",11,1,1.6
"118",11,2,1.3
"119",11,3,0.5
"120",11,4,1.9
"121",11,5,1.2
"122",11,6,1.7
"123",11,14,2
"124",11,15,1.7
"125",11,16,1.5
"126",11,20,1.5
"127",11,22,1.5
"128",11,23,1.5
"129",11,24,1.6
"130",11,26,1.7
"131",11,30,NA
"132",11,31,1.6
"133",11,32,NA
"134",11,35,NA
"135",11,37,1.5
"136",11,38,1.5
"137",11,39,1.4
"138",11,41,1.7
"139",11,47,1.5
"140",11,48,1.2
"141",11,52,1.5
"142",11,56,1.6
"143",11,57,1.5
"144",11,59,1.5
"145",11,63,1.6
"146",11,65,NA
"147",11,67,NA
"148",11,68,1.4
"149",11,70,NA
"150",11,71,NA
"151",11,80,1.5
"152",11,82,NA
"153",11,83,NA
"154",11,84,1.7
"155",11,85,1.5720148792
"156",11,88,1.5
"157",11,89,1.7
"158",11,91,1.3
"159",11,92,NA
"160",11,93,2
"161",11,94,1.9
"162",11,95,1.5505
"163",11,96,1.5
"164",11,98,1.7
"165",11,101,1.5
"166",11,102,1.3
"167",11,103,1.7
"168",11,104,1.7
"169",11,105,1.7
"170",11,107,NA
"171",11,110,NA
"172",11,111,NA
"173",11,112,1.5
"174",11,114,NA
"175",19,1,1.9
"176",19,2,1.6
"177",19,3,1.9
"178",19,4,2
"179",19,5,1.5
"180",19,6,2
"181",19,14,NA
"182",19,15,1.9
"183",19,16,1.7
"184",19,20,2
"185",19,22,1.7
"186",19,23,2
"187",19,24,1.9
"188",19,26,1.7
"189",19,30,1.9
"190",19,31,2
"191",19,32,NA
"192",19,35,NA
"193",19,37,2.1
"194",19,38,NA
"195",19,39,1.8
"196",19,41,NA
"197",19,47,1.9
"198",19,48,1.2
"199",19,52,1.6
"200",19,56,1.9
"201",19,57,2
"202",19,59,1.9
"203",19,63,1.8
"204",19,65,NA
"205",19,67,NA
"206",19,68,1.8
"207",19,70,1.8
"208",19,71,NA
"209",19,80,2.1
"210",19,82,NA
"211",19,83,NA
"212",19,84,1.9
"213",19,85,2
"214",19,88,1.85
"215",19,89,2
"216",19,91,1.7
"217",19,92,NA
"218",19,93,2
"219",19,94,1.7
"220",19,95,1.7755
"221",19,96,1.5
"222",19,98,2
"223",19,101,2
"224",19,102,1.5
"225",19,103,2
"226",19,104,1.9
"227",19,105,2
"228",19,107,1.9
"229",19,110,NA
"230",19,111,NA
"231",19,112,2
"232",19,114,NA
