"","horizon","economist","forecast"
"1",1,1,2.2
"2",1,2,2.1
"3",1,3,2.3
"4",1,4,2.4
"5",1,5,2.1
"6",1,7,2.2
"7",1,9,2.25
"8",1,10,2.2
"9",1,11,2.3
"10",1,14,2.4
"11",1,15,2.2
"12",1,16,2.2
"13",1,18,2.3
"14",1,19,2.3
"15",1,20,2.2
"16",1,22,2.2
"17",1,23,2.2
"18",1,24,2.2
"19",1,26,2.2
"20",1,30,2.2
"21",1,32,2.2
"22",1,33,1.9
"23",1,35,2.2
"24",1,36,2.1
"25",1,37,2.3
"26",1,38,2.3
"27",1,39,2.2
"28",1,40,2.3
"29",1,41,2.3
"30",1,45,2.3
"31",1,47,2.2
"32",1,48,2.3
"33",1,52,2.3
"34",1,54,2.2
"35",1,56,2.2
"36",1,57,2.1
"37",1,58,2.2
"38",1,59,2.2
"39",1,60,2.2
"40",1,61,2.2
"41",1,63,2.3
"42",1,67,2.2
"43",1,68,2.2
"44",1,70,2.2
"45",1,72,2.1
"46",1,73,2.2
"47",1,76,2.2
"48",1,80,2.2
"49",1,82,2.2
"50",1,84,2.2
"51",1,85,2.2
"52",1,88,2.2
"53",1,89,2.2
"54",1,91,2.2
"55",1,92,2.2
"56",1,93,2.2
"57",1,94,2.2
"58",1,95,2.3
"59",1,96,2.2
"60",1,97,2.2
"61",1,98,2.3
"62",1,99,2.3
"63",1,100,2.2
"64",5,1,2.3
"65",5,2,1.9
"66",5,3,2.1
"67",5,4,2.3
"68",5,5,1.9
"69",5,7,2
"70",5,9,2.25
"71",5,10,2.14
"72",5,11,2.1
"73",5,14,2.1
"74",5,15,1.9
"75",5,16,1.9
"76",5,18,2
"77",5,19,2.2
"78",5,20,1.9
"79",5,22,2
"80",5,23,1.7
"81",5,24,2.2048914944319
"82",5,26,2
"83",5,30,2.1
"84",5,32,2
"85",5,33,2.5
"86",5,35,2.1
"87",5,36,2.2
"88",5,37,2.1
"89",5,38,2.1
"90",5,39,2.3
"91",5,40,2.2
"92",5,41,2.2
"93",5,45,2.3
"94",5,47,2.2
"95",5,48,2.3
"96",5,52,2.2
"97",5,54,1.9
"98",5,56,2.2
"99",5,57,2.3
"100",5,58,1.8
"101",5,59,2
"102",5,60,2.2
"103",5,61,1.9
"104",5,63,2
"105",5,67,2
"106",5,68,2.1
"107",5,70,2.1
"108",5,72,2.2
"109",5,73,2.3
"110",5,76,2.2
"111",5,80,2.4
"112",5,82,2.1
"113",5,84,2.2
"114",5,85,2.1
"115",5,88,2.1
"116",5,89,2
"117",5,91,2.1
"118",5,92,1.9
"119",5,93,2.2
"120",5,94,2.2
"121",5,95,2.2
"122",5,96,2.1
"123",5,97,2.1
"124",5,98,2.1
"125",5,99,2
"126",5,100,2.3
"127",9,1,2.1
"128",9,2,1.8
"129",9,3,2
"130",9,4,2
"131",9,5,1.7
"132",9,7,1.8
"133",9,9,2.2
"134",9,10,2
"135",9,11,1.8
"136",9,14,1.6
"137",9,15,1.7
"138",9,16,1.9
"139",9,18,2
"140",9,19,1.8
"141",9,20,1.8
"142",9,22,1.8
"143",9,23,1.6
"144",9,24,1.7
"145",9,26,1.8
"146",9,30,1.9
"147",9,32,NA
"148",9,33,2.1
"149",9,35,2
"150",9,36,2.4
"151",9,37,2.1
"152",9,38,1.7
"153",9,39,2
"154",9,40,NA
"155",9,41,2
"156",9,45,NA
"157",9,47,2
"158",9,48,NA
"159",9,52,1.8
"160",9,54,1.9
"161",9,56,1.8
"162",9,57,1.7
"163",9,58,1.6
"164",9,59,2
"165",9,60,1.7
"166",9,61,1.8
"167",9,63,1.8
"168",9,67,2
"169",9,68,1.8
"170",9,70,1.7
"171",9,72,2
"172",9,73,2
"173",9,76,NA
"174",9,80,2.1
"175",9,82,1.7
"176",9,84,1.8
"177",9,85,NA
"178",9,88,1.8
"179",9,89,1.9
"180",9,91,2
"181",9,92,1.8
"182",9,93,2
"183",9,94,1.9
"184",9,95,1.9
"185",9,96,NA
"186",9,97,1.8
"187",9,98,1.8
"188",9,99,1.9
"189",9,100,2.1
"190",21,1,2
"191",21,2,1.5
"192",21,3,NA
"193",21,4,2.1
"194",21,5,1.6
"195",21,7,1.9
"196",21,9,2
"197",21,10,2
"198",21,11,2
"199",21,14,1.7
"200",21,15,1.6
"201",21,16,2
"202",21,18,2
"203",21,19,2
"204",21,20,2
"205",21,22,1.9
"206",21,23,2
"207",21,24,1.9
"208",21,26,1.8
"209",21,30,1.9
"210",21,32,NA
"211",21,33,2
"212",21,35,2
"213",21,36,2
"214",21,37,2
"215",21,38,NA
"216",21,39,1.9
"217",21,40,NA
"218",21,41,1.8
"219",21,45,NA
"220",21,47,1.9
"221",21,48,NA
"222",21,52,2
"223",21,54,1.9
"224",21,56,2.1
"225",21,57,NA
"226",21,58,1.9
"227",21,59,2
"228",21,60,1.9
"229",21,61,NA
"230",21,63,1.9
"231",21,67,NA
"232",21,68,1.8
"233",21,70,1.8
"234",21,72,2
"235",21,73,NA
"236",21,76,1.9
"237",21,80,NA
"238",21,82,2
"239",21,84,NA
"240",21,85,NA
"241",21,88,1.9
"242",21,89,2
"243",21,91,NA
"244",21,92,NA
"245",21,93,2
"246",21,94,1.9
"247",21,95,1.9
"248",21,96,NA
"249",21,97,1.9
"250",21,98,2.1
"251",21,99,1.8
"252",21,100,2
