INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,
2000,1,1.9,0,0,0,5,65,30,0,0,0,,,
2000,2,2.2,0,0,0,0,20,80,0,0,0,,,
2000,3,2,0,0,0,0,40,60,0,0,0,,,
2000,4,1.8,0,0,0,5,70,25,0,0,0,,,
2000,5,1.8,0,0,0,5,85,10,0,0,0,,,
2000,7,2.25,,,,,,,,,,,,
2000,9,1.8,0,0,0,0,70,30,0,0,0,,,
2000,10,1.8,0,0,5,30,50,15,0,0,0,,,
2000,14,1.9,0,0,0,0,80,20,0,0,0,,,
2000,15,1.9,0,0,0,5,60,30,5,0,0,,,
2000,16,1.2,0,0,0,10,60,25,5,0,0,,,
2000,17,2,0,0,5,20,25,40,10,0,0,,,
2000,18,1.8,0,0,5,15,50,20,10,0,0,,,
2000,19,2.3,0,0,0,0,0,100,0,0,0,,,
2000,20,1.9,0,0,0,0,80,20,0,0,0,,,
2000,22,1.7,1,1,3,20,45,20,10,0,0,,,
2000,23,1.8,0,0,0,0,75,25,0,0,0,,,
2000,24,1.9,0,0,0,5,55,40,0,0,0,,,
2000,26,1.8,0,0,0,0,70,30,0,0,0,,,
2000,28,1.7,0,0,0,10,80,10,0,0,0,,,
2000,31,1.9,,,,,,,,,,,,
2000,32,1.9,0,0,0,10,65,25,0,0,0,,,
2000,33,2.1,0,0,0,0,0,90,10,0,0,,,
2000,34,1.8,0,0,0,15,80,5,0,0,0,,,
2000,35,2.2,0,0,0,0,10,80,10,0,0,,,
2000,36,1.8,0,0,5,20,50,20,5,0,0,,,
2000,37,1.8,0,0,0,0,80,20,0,0,0,,,
2000,38,2,0,0,0,0,50,50,0,0,0,,,
2000,39,1.8,0,0,0,0,75,25,0,0,0,,,
2000,40,2,0,0,0,0,40,40,15,5,0,,,
2000,41,1.9,0,0,0,0,65,35,0,0,0,,,
2000,42,2.1,0,0,0,0,30,70,0,0,0,,,
2000,44,2.1,0,0,0,10,30,35,20,5,0,,,
2000,45,1.9,0,0,0,0,75,25,0,0,0,,,
2000,46,2.3,0,0,0,0,2,91,7,0,0,,,
2000,48,1.8,0,0,0,10,60,30,0,0,0,,,
