INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
1999,1,1,0,0,20,70,10,0,0,0,0,
1999,2,.9,2.5,10,40,35,10,2.5,0,0,0,
1999,3,1,0,0,50,50,0,0,0,0,0,
1999,4,1.1,0,0,10,70,20,0,0,0,0,
1999,5,1.2,0,0,45,45,10,0,0,0,0,
1999,7,1.2,,,,,,,,,,
1999,9,1.1,0,0,30,70,0,0,0,0,0,
1999,11,1,0,0,30,60,10,0,0,0,0,
1999,14,1,0,0,10,90,0,0,0,0,0,
1999,16,1.2,0,0,30,50,15,5,0,0,0,
1999,17,1.2,0,5,20,50,20,5,0,0,0,
1999,19,1.1,0,0,50,50,0,0,0,0,0,
1999,20,1.2,0,0,0,100,0,0,0,0,0,
1999,23,1.1,0,0,5,80,15,0,0,0,0,
1999,24,1.2,0,0,15,60,20,5,0,0,0,
1999,26,1,0,0,20,70,10,0,0,0,0,
1999,28,1.1,0,0,25,70,5,0,0,0,0,
1999,29,1.2,0,0,30,60,10,0,0,0,0,
1999,31,1.3,,,,,,,,,,
1999,32,1,0,0,40,50,10,0,0,0,0,
1999,33,1.3,0,0,0,80,15,5,0,0,0,
1999,34,1.3,0,0,0,60,40,0,0,0,0,
1999,36,1.1,0,0,30,70,0,0,0,0,0,
1999,37,1.4,0,0,0,65,35,0,0,0,0,
1999,38,1.2,0,0,0,60,40,0,0,0,0,
1999,39,1.2,0,0,30,50,20,0,0,0,0,
1999,40,1,0,0,30,60,10,0,0,0,0,
1999,41,1,0,0,10,90,0,0,0,0,0,
1999,42,1.2,0,0,15,70,15,0,0,0,0,
1999,43,1.1,0,0,38,62,0,0,0,0,0,
1999,45,1.2,0,0,0,90,10,0,0,0,0,
1999,46,.88,0,3.9603960396,68.3168316832,27.7227722772,0,0,0,0,0,
1999,47,.9,0,0,50,50,0,0,0,0,0,
1999,48,1.1,0,0,20,60,20,0,0,0,0,
1999,50,.8,0,0,100,0,0,0,0,0,0,
1999,53,1,0,0,10,80,10,0,0,0,0,
1999,54,1.4,0,5,15,45,30,5,0,0,0,
1999,55,1.2,3.3033033033,10.4104104104,21.5215215215,27.4274274274,21.5215215215,11.2112112112,3.7037037037,.8008008008,.1001001001,
1999,56,.9,0,0,50,50,0,0,0,0,0,
1999,57,1.1,0,0,20,80,0,0,0,0,0,
1999,59,1,0,0,10,70,20,0,0,0,0,
1999,60,1.4,0,0,10,60,30,0,0,0,0,
1999,61,1.3,0,0,10,60,30,0,0,0,0,
1999,63,1,0,0,10,60,30,0,0,0,0,
1999,64,1.1,5,7,22,37,16,8,3,1,1,
1999,65,.7,0,0,35,65,0,0,0,0,0,
1999,67,1.2,0,0,30,60,10,0,0,0,0,
1999,70,1.3,0,0,10,60,30,0,0,0,0,
1999,71,1.4,0,5,15,40,20,15,5,0,0,
1999,72,1,5,10,25,30,20,8,2,0,0,
1999,73,1.3,0,0,35,50,15,0,0,0,0,
1999,85,.9,0,30,49,20,1,0,0,0,0,
1999,87,1.1,0,5,30,50,15,0,0,0,0,
1999,88,1.2,0,0,15,60,25,0,0,0,0,
1999,89,1.2,0,0,0,70,30,0,0,0,0,
1999,90,1,0,0,5,95,0,0,0,0,0,
1999,91,1.3,.2,3.6,21.5,41.9,26.8,5.6,.4,0,0,
1999,92,1.13,0,3.1485009526,24.92730372,46.8765667302,22.3302917878,2.6471472977,.0701895117,0,0,
1999,93,1.2,0,10,25,50,15,0,0,0,0,
1999,94,1.1,0,0,40,60,0,0,0,0,0,
1999,95,.9,3.9603960396,10.8910891089,38.6138613861,35.6435643564,10.8910891089,0,0,0,0,
2000,1,1.5,0,0,5,20,50,20,5,0,0,
2000,2,1.2,2.5,10,35,40,10,2.5,0,0,0,
2000,3,1.4,0,0,20,40,30,10,0,0,0,
2000,4,1.6,0,0,0,40,60,0,0,0,0,
2000,5,1.6,0,0,30,50,20,0,0,0,0,
2000,7,1.5,,,,,,,,,,
2000,9,1.2,0,0,25,75,0,0,0,0,0,
2000,11,1.4,0,0,10,50,40,0,0,0,0,
2000,14,1.5,0,0,0,40,60,0,0,0,0,
2000,16,1.8,0,5,10,30,40,10,5,0,0,
2000,17,1.7,0,0,10,20,40,20,10,0,0,
2000,19,1.2,0,0,50,50,0,0,0,0,0,
2000,20,1.4,0,0,0,80,20,0,0,0,0,
2000,23,1.9,0,0,0,10,70,20,0,0,0,
2000,24,1.7,0,0,20,55,20,5,0,0,0,
2000,26,1.54,0,0,0,30,60,10,0,0,0,
2000,28,1.3,0,0,10,70,20,0,0,0,0,
2000,29,1.7,0,0,20,50,30,0,0,0,0,
2000,31,1.9,,,,,,,,,,
2000,32,1.6,0,0,10,30,40,15,5,0,0,
2000,33,1.8,0,0,0,5,80,15,0,0,0,
2000,34,1.6,0,0,0,10,80,10,0,0,0,
2000,36,1.5,0,0,20,30,40,10,0,0,0,
2000,37,1.9,0,0,0,0,60,40,0,0,0,
2000,38,2.2,0,0,0,0,40,60,0,0,0,
2000,39,1.7,0,0,0,30,50,20,0,0,0,
2000,40,1.4,0,0,10,40,35,15,0,0,0,
2000,41,1.5,0,0,0,30,70,0,0,0,0,
2000,42,1.7,0,0,0,25,50,25,0,0,0,
2000,43,1.3,0,7.9207920792,22.7722772277,30.6930693069,30.6930693069,7.9207920792,0,0,0,
2000,45,1.5,0,0,0,75,25,0,0,0,0,
2000,46,.76,0,17.1717171717,64.6464646465,18.1818181818,0,0,0,0,0,
2000,47,1.3,0,0,20,60,20,0,0,0,0,
2000,48,1.4,0,0,10,60,30,0,0,0,0,
2000,50,1.4,0,0,50,50,0,0,0,0,0,
2000,53,1.5,0,0,0,10,80,10,0,0,0,
2000,54,1.3,0,5,20,45,25,5,0,0,0,
2000,55,1.7,.3,2.2,9.6,20.4,27,22.2,12.1,4.7,1.5,
2000,56,1.4,0,0,0,75,25,0,0,0,0,
2000,57,1.6,0,0,10,60,30,0,0,0,0,
2000,59,1.6,0,0,0,20,70,10,0,0,0,
2000,60,1.6,0,0,0,50,50,0,0,0,0,
2000,61,1.8,0,0,0,20,50,30,0,0,0,
2000,63,1.5,0,0,0,35,50,15,0,0,0,
2000,64,1.2,3,3,14,32,23,13,8,2,2,
2000,65,1.4,0,0,20,80,0,0,0,0,0,
2000,67,1.7,0,0,0,20,60,20,0,0,0,
2000,70,1.7,0,0,0,40,40,20,0,0,0,
2000,71,1.2,5,10,20,30,20,10,5,0,0,
2000,72,1.5,4.854368932,9.7087378641,14.5631067961,19.4174757282,24.2718446602,14.5631067961,7.7669902913,4.854368932,0,
2000,73,1.5,0,0,35,45,20,0,0,0,0,
2000,85,1.2,0,5,30,50,15,0,0,0,0,
2000,87,1.6,0,0,10,30,45,15,0,0,0,
2000,88,1.7,0,0,5,25,50,15,5,0,0,
2000,89,1.4,0,0,0,20,70,10,0,0,0,
2000,90,1.3,0,0,5,95,0,0,0,0,0,
2000,91,1.6,.7,3.8,13.3,26.1,29.2,18.6,6.7,1.4,.2,
2000,92,1.68,0,2.5893582453,10.0324939074,21.5272136474,28.3103168156,22.8269699431,11.2916328188,3.4220146223,0,
2000,93,1.3,0,10,15,40,20,15,0,0,0,
2000,94,1.5,0,0,0,40,60,0,0,0,0,
2000,95,1.2,1,6,23,35,26,9,0,0,0,
2000Mar,1,1.4,0,0,15,70,15,0,0,0,0,
2000Mar,2,1.2,2.5,10,35,40,10,2.5,0,0,0,
2000Mar,3,1.1,0,10,30,40,20,0,0,0,0,
2000Mar,4,1.7,0,0,0,40,60,0,0,0,0,
2000Mar,5,1.4,0,0,35,50,15,0,0,0,0,
2000Mar,7,1.4,,,,,,,,,,
2000Mar,9,1.2,0,0,25,75,0,0,0,0,0,
