INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2010,72,1.2,,,,,,,,,,,,,,,,,,,,,,
2010,73,-1,,,10,50,30,10,,,,,,,,,,,,,,,,
2010,80,.495,.001,.025,.41,3.37,13.951,29.225,31.048,16.731,4.565,.628,.043,.002,.001,0,,,,,,,,
2010,82,1.4,,,,,,,,,,,,,,,,,,,,,,
2010,84,1.3,,,2,5,8,14,22,28,18,3,,,,,,,,,,,,
2010,85,.6,.00073489,.01155501,.2180421,2.044668,9.8922,24.7767,32.2025,21.7325,7.6081,1.378,.1287,.0061,.0002,0,,,,,,,,
2010,88,1.5,,,,,,10,17.5,25,30,12.5,5,,,,,,,,,,,
2010,89,1.3,,,,,,5,15,35,30,15,,,,,,,,,,,,
2010,90,1.3,,,,,,,20,50,20,10,,,,,,,,,,,,
2010,93,2,,,,,,,5,7.5,20,67.5,,,,,,,,,,,,
2010,94,.9,,,,5,10,15,20,27.5,15,7.5,,,,,,,,,,,,
2010,95,1.7,,,,,,,,14,38,31,16,1,,,,,,,,,,
2010,96,1.8,,,,,,,5,20,50,20,5,,,,,,,,,,,
2010,97,1.2,,,,,,,,,,,,,,,,,,,,,,
2010,98,.9,,,,5,10,15,25,30,15,,,,,,,,,,,,,
2010,99,1,,,,,,10,15,60,10,5,,,,,,,,,,,,
2010,101,1.2,,,,,,20,30,40,10,,,,,,,,,,,,,
2010,103,1.7,,,,,,5,15,30,35,10,5,,,,,,,,,,,
2010,104,1.1,,,,,,,20,40,20,20,,,,,,,,,,,,
2010,105,1.56,,,,,,,,30,60,10,,,,,,,,,,,,
2010,106,1,,,,,5,10,25,50,10,,,,,,,,,,,,,
2010,107,1.5,,,,.02,.4,3.53,15.04,27.51,32.04,17.51,3.4,.51,.03,.01,,,,,,,,
2010,108,2.3,,,,,,,,,8.3,58.71,32.94,.05,,,,,,,,,,
2010Jun,1,1.8,,,,2,5,10,12,15,25,18,10,3,,,,,,,,,,
2010Jun,7,.6,,,,,,,,,,,,,,,,,,,,,,
2010Jun,8,1.1,,,,,2,12,25,27,21,10,3,,,,,,,,,,,
2010Jun,14,1.6,,,,,1,4,7,15,50,15,7,1,,,,,,,,,,
2010Jun,15,1.5,,,,,,10,15,30,35,5,5,,,,,,,,,,,
2010Jun,16,1.3,,,1,4,7,13,17,22,16,12,5,2,1,,,,,,,,,
2010Jun,19,.9,,,,,,,,,,,,,,,,,,,,,,
2010Jun,20,1.2,,,,,,10,25,40,20,5,,,,,,,,,,,,
2010Jun,22,.8,,,,,10,30,40,20,,,,,,,,,,,,,,
2010Jun,23,1.5,,,,,1,5,15,20,25,18,15,1,,,,,,,,,,
2010Jun,24,.7,,,,,5,25,40,20,10,,,,,,,,,,,,,
2010Jun,29,,,,,,,40,40,20,,,,,,,,,,,,,,
2010Jun,30,.2,,,,,,,,,,,,,,,,,,,,,,
2010Jun,31,2.5,,,,,,,,,20,30,30,20,,,,,,,,,,
2010Jun,32,-.1,,1,7,18,20,17,15,12,7,2,1,,,,,,,,,,,
2010Jun,33,.8,,,,,,20,60,20,,,,,,,,,,,,,,
2010Jun,35,,,,,,,,,,,,,,,,,,,,,,,
2010Jun,36,,,,,,10,25,30,25,5,5,,,,,,,,,,,,
2010Jun,37,.8,,,,,1,17,65,15,2,,,,,,,,,,,,,
2010Jun,38,1.2,,,,,,,10,60,30,,,,,,,,,,,,,
2010Jun,39,1.5,,,,,,,15,20,30,20,15,,,,,,,,,,,
2010Jun,40,,,,,,,,,,,,,,,,,,,,,,,
2010Jun,41,.9,,,,,,,,,,,,,,,,,,,,,,
2010Jun,42,1.5,,,,,,,20,50,30,,,,,,,,,,,,,
2010Jun,47,.8,,,,5,12,18,19,16,14,10,5,1,,,,,,,,,,
2010Jun,48,1,,,,,,,,,,,,,,,,,,,,,,
2010Jun,52,1.1,,,,,,5,40,45,10,,,,,,,,,,,,,
2010Jun,54,1.6,,,,,,,15,20,30,20,10,5,,,,,,,,,,
2010Jun,57,,,,,,,,,,,,,,,,,,,,,,,
2010Jun,63,1.5,,,,,,,20,30,40,10,,,,,,,,,,,,
2010Jun,70,1.1,,,,,,,45,55,,,,,,,,,,,,,,
2010Jun,72,1.2,,,,,,,,,,,,,,,,,,,,,,
2010Jun,73,,,,,,,,,,,,,,,,,,,,,,,
2010Jun,80,.66,,,,,,,,,,,,,,,,,,,,,,
2010Jun,82,1.4,,,,,,,,,,,,,,,,,,,,,,
2010Jun,84,,,,,,,,,,,,,,,,,,,,,,,
2010Jun,85,.4,.383042,.930368,3.46561,8.54698,15.5996,21.0744,21.0744,15.5996,8.547,3.4656,1.0397,.2308,.0379,.005,,,,,,,,
2010Jun,88,1.3,,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,,,
2010Jun,89,1.2,,,,,,5,15,35,30,15,,,,,,,,,,,,
2010Jun,90,1.3,,,,,,,20,50,20,10,,,,,,,,,,,,
2010Jun,93,2.1,,,,,,,,,35,60,5,,,,,,,,,,,
2010Jun,94,.8,,,,,5,15,40,30,7.5,2.5,,,,,,,,,,,,
2010Jun,95,1.8,,,,,,,4,13,34,25,16,8,,,,,,,,,,
2010Jun,96,1.7,,,,,,,5,25,50,15,5,,,,,,,,,,,
2010Jun,97,1.3,,,,,,,,,,,,,,,,,,,,,,
2010Jun,98,.8,,,,5,10,15,25,30,15,,,,,,,,,,,,,
2010Jun,99,1.1,,,,,,10,15,60,10,5,,,,,,,,,,,,
2010Jun,101,1.6,,,,,,,10,30,40,20,,,,,,,,,,,,
2010Jun,103,1.8,,,,,,5,10,20,35,20,10,,,,,,,,,,,
2010Jun,104,1.2,,,,,,5,20,40,20,10,5,,,,,,,,,,,
2010Jun,105,1.56,,,,,,,,30,60,10,,,,,,,,,,,,
2010Jun,106,.6,,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2010Jun,107,1.5,,.01,.1,.63,2.64,7.78,15.96,20.44,23.24,18.02,7.29,2.99,.74,.16,,,,,,,,
2010Jun,108,2.2,,,,,,,,2.2,4.1,76.6,15.3,1.8,,,,,,,,,,
2011,1,1.5,,,,,2,8,20,25,25,10,8,2,,,,,,,,,,
2011,7,1,,,,,,,,,,,,,,,,,,,,,,
2011,8,1.6,,,,,1,4,13,22,25,18,12,5,,,,,,,,,,
2011,14,2,,,,,,,2,10,20,40,20,7,1,,,,,,,,,
2011,15,1.6,,,,,,5,10,30,40,15,,,,,,,,,,,,
2011,16,1.2,,,1,4,7,13,17,22,16,12,5,2,1,,,,,,,,,
2011,19,1.7,,,,,5,10,10,15,15,15,10,10,10,,,,,,,,,
2011,20,1.5,,,,,,5,20,30,35,10,,,,,,,,,,,,
2011,22,1.7,,,,,5,5,10,20,50,10,,,,,,,,,,,,
