INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2007,3,2,,,,,40,60,,,,,,,
2007,4,1.9,,,,,50,50,,,,,,,
2007,7,2.2,,,,,,,,,,,,,
2007,8,2,,,,,43,55,2,,,,,,
2007,9,1.75,,,,20,60,20,,,,,,,
2007,10,2.04,.00316860346092351,.0655516046181415,1.32161968275293,10.1166332809387,30.5670581115565,36.7404353228451,17.5925068424453,3.3375074872298,.25551906415251,,,,
2007,11,1.9,,,,,50,50,,,,,,,
2007,14,1.9,,,,,70,30,,,,,,,
2007,15,1.9,,,,,80,20,,,,,,,
2007,16,2.2,0,0,2,15,29,33,18,2,1,,,,
2007,18,2,,,,,,,,,,,,,
2007,19,2,,,,,50,50,,,,,,,
2007,20,2.1,,,,,30,70,,,,,,,
2007,22,1.9,0,0,0,0,55,45,,,,,,,
2007,23,2,,,,5,40,50,5,,,,,,
2007,24,2,,,,,50,50,,,,,,,
2007,26,2,,,,5,45,45,5,,,,,,
2007,29,1.9,,,,,70,30,,,,,,,
2007,30,2.1,,,,,25,75,,,,,,,
2007,32,,0,1,3,12,30,38,15,1,0,,,,
2007,35,2.1,,,,,20,70,10,,,,,,
2007,36,2.1,,,,,35,50,15,,,,,,
2007,37,2,,,,,47.5,52.5,,,,,,,
2007,38,2,,,,,40,60,,,,,,,
2007,41,1.9,,,,,65,35,,,,,,,
2007,42,2,,,,,45,55,,,,,,,
2007,45,2.2,,,,,20,50,30,,,,,,
2007,47,2,0,1,5,10,35,45,4,0,0,,,,
2007,48,1.9,,,,,,,,,,,,,
2007,52,2,,,,,40,60,,,,,,,
2007,54,2.1,,,,,20,60,20,,,,,,
2007,56,2,,,,,25,70,5,,,,,,
2007,57,2,,,,,,,,,,,,,
2007,59,1.97,0,0,0,0,40,60,0,0,0,,,,
2007,60,2,,,,,35,60,5,,,,,,
2007,61,2,,,,0,45,45,10,,,,,,
2007,65,2.2,,,,,,,,,,,,,
2007,76,2.01510504220612,.000000000000000000000000000000000000000000000000000000000000000000000000000000000097709994470651,.0000000000000000000000000000000000000000000000804515299117869,.00000000000000000000532523088131499,.0000327633173190382,43.8393437766207,56.1603581734323,.000265286629763661,0,0,,,,
2007,82,2,0,1,2,3,10,75,5,3,1,,,,
2007,84,2,0,0,0,0,47,53,0,0,0,,,,
2007,85,2,,,,,45,55,,,,,,,
2007,88,2,,,,10,30,35,20,5,,,,,
2007,89,2.2,,,,,25,40,35,,,,,,
2007,90,2,0,0,0,10,30,60,0,0,0,,,,
2007,91,2,0,0,0,0,15,65,20,0,0,,,,
2007,92,2,0,0,0,.000000715570431140862,30.3113599071508,69.6886393772787,0,0,0,,,,
2007,93,2,,,,,40,60,,,,,,,
2007,94,2.1,,,,10,30,35,20,5,,,,,
2007,95,2,0,0,0,0,45,55,0,0,0,,,,
2007,96,2,,,,,35,60,5,,,,,,
2007,97,2,0,0,5,10,35,30,19,1,0,,,,
2007,98,2,,,,,45,45,10,,,,,,
2007,99,2.3,,,,,10,80,10,,,,,,
2007,100,2,,,,5,15,75,5,,,,,,
2008,3,1.9,,,,,60,40,,,,,,,
2008,4,2.3,,,,,25,60,15,,,,,,
2008,7,2.3,,,,,,,,,,,,,
2008,8,2.1,,,,1,45,50,4,,,,,,
2008,9,1.6,,,,20,60,20,,,,,,,
