INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2010,1,1,,,3,10,30,30,15,10,2,,,,,,,,,,
2010,2,1.4,,,,6,22,32,22,12,6,,,,,,,,,,
2010,4,1.4,,,,5,10,40,35,10,,,,,,,,,,,
2010,7,1,,,,,,,,,,,,,,,,,,,
2010,8,1.3,,,2,8,17,35,28,8,2,,,,,,,,,,
2010,10,1.325,,.01,.29,3.69,18.61,37.19,29.61,9.37,1.17,.06,,,,,,,,,
2010,11,1.4,,,2.5,2.5,10,55,25,5,,,,,,,,,,,
2010,14,1,,,,10,40,40,10,,,,,,,,,,,,
2010,15,1.3,,,,5,25,35,25,10,,,,,,,,,,,
2010,16,1.2,1,4,6,11,18,25,17,10,5,2,1,0,,,,,,,
2010,18,1.3,2,2,5,6,15,30,20,10,8,2,0,0,,,,,,,
2010,20,1.3,,,,5,30,40,25,,,,,,,,,,,,
2010,22,1.3,,,,10,20,50,15,5,,,,,,,,,,,
2010,23,1.1,,,1,10,24,30,24,10,1,,,,,,,,,,
2010,24,1.2,,,,,25,50,25,,,,,,,,,,,,
2010,26,1.2,,,,10,25,40,20,5,,,,,,,,,,,
2010,29,1.6,,,,,10,40,50,,,,,,,,,,,,
2010,30,.9,,,,15,45,33,7,,,,,,,,,,,,
2010,31,1.2,,,,10,30,40,20,,,,,,,,,,,,
2010,32,.8,,1,5,20,33,25,11,4,1,,,,,,,,,,
2010,33,1,,,,,50,50,,,,,,,,,,,,,
2010,35,1.1,,,,,40,50,10,,,,,,,,,,,,
2010,36,1.4,,,,15,25,30,25,5,,,,,,,,,,,
2010,37,1.07,1,1,2,10,20,25,20,10,8,2,1,,,,,,,,
2010,38,1.4,,,,,10,60,30,,,,,,,,,,,,
2010,39,1.4,,,,5,10,65,15,5,,,,,,,,,,,
2010,41,1.2,,,,,,80,20,,,,,,,,,,,,
2010,42,1.3,,,,5,15,45,30,5,,,,,,,,,,,
2010,47,1.1,,,,5,15,35,25,15,5,,,,,,,,,,
2010,48,1.2,,,5,10,10,40,35,,,,,,,,,,,,
2010,52,1.3,,,2,8,21,29,23,12,4,1,,,,,,,,,
2010,54,1.4,,,,5,10,25,25,20,10,5,,,,,,,,,
2010,56,1.2,,,,,10,60,30,,,,,,,,,,,,
2010,57,1.3,,,,,,,,,,,,,,,,,,,
2010,58,.8,,,,22.3,50.9,26.8,,,,,,,,,,,,,
2010,59,1.4,,,,,,,,,,,,,,,,,,,
2010,61,1.6,,,,,,25,50,25,,,,,,,,,,,
2010,65,1.4,,,,,25,40,25,10,,,,,,,,,,,
2010,67,1.8,,,,,20,25,30,20,5,,,,,,,,,,
2010,68,.9,,,,15,35,35,15,,,,,,,,,,,,
2010,70,.7,,,,25,60,15,,,,,,,,,,,,,
2010,73,1.25,,,,15,35,40,10,,,,,,,,,,,,
2010,80,1.2,,.01,.34,4.91,24.2,41.09,24.2,4.91,.34,,,,,,,,,,
2010,82,1.3,,,,,,,,,,,,,,,,,,,
2010,84,1.3,0,2,7,12,23,29,22,5,0,0,0,0,,,,,,,
2010,85,1.4,,.04,.58,4.16,15.45,29.77,29.77,15.45,4.16,.58,.04,,,,,,,,
2010,88,1.3,,,2.5,10,20,35,20,10,2.5,,,,,,,,,,
2010,89,1.2,,,5,10,20,30,20,10,5,,,,,,,,,,
2010,90,1.3,,,,5,25,50,15,5,,,,,,,,,,,
2010,93,1.7,,,,,,10,75,15,,,,,,,,,,,
2010,94,1.3,,,2.5,10,17.5,35,20,10,5,,,,,,,,,,
2010,95,1.35738578,,,2,4,15,34,22,16,6,1,,,,,,,,,
2010,96,1.5,,,,,10,45,40,5,,,,,,,,,,,
2010,97,1,,,,5,40,50,5,,,,,,,,,,,,
2010,98,1.2,,,,20,25,35,15,5,,,,,,,,,,,
2010,99,1.2,,,,,20,80,,,,,,,,,,,,,
2010,101,1.5,,,,,20,40,40,,,,,,,,,,,,
2010,102,1.2,,,2.5,5,20,45,20,5,2.5,,,,,,,,,,
2010,105,1.2,,,,,20,55,15,10,,,,,,,,,,,
2010,107,1.5,,,.08,1.73,12.95,31.07,36.86,15.49,1.7,.12,,,,,,,,,
2010,108,1.4495875,.92,3.08,6.89,10.27,13.65,17.03,17.44,13.56,9.64,5.72,1.8,,,,,,,,
2010Dec,1,1.4,,1,3,12,20,25,20,12,5,2,,,,,,,,,
2010Dec,2,1.7,,,2,6,14,30,26,12,6,4,,,,,,,,,
2010Dec,4,1.5,,,5,5,10,20,35,20,5,,,,,,,,,,
2010Dec,7,.6,,,,,,,,,,,,,,,,,,,
2010Dec,8,1.6,,,2,5,14,25,32,18,4,,,,,,,,,,
2010Dec,10,1.3,.09,.6,2.91,9.23,19.16,25.88,22.78,13.07,4.88,1.19,.19,.02,,,,,,,
2010Dec,11,1.6,,,2.5,7.5,15,30,35,10,,,,,,,,,,,
2010Dec,14,.7,,,,,,,,,,,,,,,,,,,
2010Dec,15,1.4,,,,10,20,30,30,5,5,,,,,,,,,,
2010Dec,16,1.3,1,4,7,13,17,22,16,12,5,2,1,0,,,,,,,
2010Dec,18,1.1,,,,,,,,,,,,,,,,,,,
2010Dec,20,1.2,,,,10,25,35,25,5,,,,,,,,,,,
2010Dec,22,1.5,,,,5,10,35,40,10,,,,,,,,,,,
2010Dec,23,1.3,,,1,10,16,25,22,15,10,1,,,,,,,,,
2010Dec,24,1.4,,,,,15,35,35,15,,,,,,,,,,,
2010Dec,26,1.2,,,,10,22.5,35,22.5,10,,,,,,,,,,,
2010Dec,29,1.6,,,,,,20,50,30,,,,,,,,,,,
2010Dec,30,1,,,,,,,,,,,,,,,,,,,
2010Dec,31,1.6,,,,,15,30,45,10,,,,,,,,,,,
2010Dec,32,,,,,,,,,,,,,,,,,,,,
2010Dec,33,1.2,,,,,30,60,10,,,,,,,,,,,,
2010Dec,35,,,,,,,,,,,,,,,,,,,,
2010Dec,36,1.7,,,,,10,25,30,25,10,,,,,,,,,,
2010Dec,37,1.56,1,1,2,15,20,20,20,13,5,2,1,,,,,,,,
2010Dec,38,1.5,,,,,,10,60,30,,,,,,,,,,,
2010Dec,39,1.6,,,,,5,25,55,15,,,,,,,,,,,
2010Dec,41,1.4,,,,,,,,,,,,,,,,,,,
2010Dec,42,1.7,,,,,5,20,45,25,5,,,,,,,,,,
2010Dec,47,.9,,,3,12,25,20,18,12,8,2,,,,,,,,,
2010Dec,48,1.1,,,5,5,10,45,35,,,,,,,,,,,,
2010Dec,52,1.4,,2.5,5.5,12,15,22,16,13,9,5,,,,,,,,,
2010Dec,54,1.6,,,,5,10,20,30,20,10,5,,,,,,,,,
2010Dec,56,1.56,,,,,,20,70,10,,,,,,,,,,,
2010Dec,57,,,,,,,,,,,,,,,,,,,,
2010Dec,58,,,,,,,,,,,,,,,,,,,,
2010Dec,59,1.29,,,,,,,,,,,,,,,,,,,
2010Dec,61,,,,,,,,,,,,,,,,,,,,
2010Dec,65,1.7,,,,,,,,,,,,,,,,,,,
2010Dec,67,,,,,,,,,,,,,,,,,,,,
2010Dec,68,.3,,,15,40,30,15,,,,,,,,,,,,,
2010Dec,70,.4,,,,60,40,,,,,,,,,,,,,,
2010Dec,73,.7,,,,,,,,,,,,,,,,,,,
2010Dec,80,1.2,,,,,,,,,,,,,,,,,,,
2010Dec,82,1.4,,,,,,,,,,,,,,,,,,,
2010Dec,84,,,,,,,,,,,,,,,,,,,,
2010Dec,85,1.6,.9,1.37,3.84,7.65,12.46,16.56,17.96,15.9,11.49,6.78,3.26,1.83,,,,,,,
2010Dec,88,1.6,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2010Dec,89,1.7,,,,5,10,20,30,20,10,5,,,,,,,,,
2010Dec,90,1.5,,,,5,25,50,15,5,,,,,,,,,,,
2010Dec,93,2.3,,,,,,,15,60,25,,,,,,,,,,
2010Dec,94,1.3,,,2.5,5,20,40,17.5,10,5,,,,,,,,,,
2010Dec,95,1.83818067,,,,,5,22,41,16,10,5,1,,,,,,,,
2010Dec,96,1.8,,,,,5,25,40,20,10,,,,,,,,,,
2010Dec,97,1.1,,,1,7,35,45,11,1,,,,,,,,,,,
2010Dec,98,1.3,,,,10,15,40,30,5,,,,,,,,,,,
2010Dec,99,,,,,,,,,,,,,,,,,,,,
2010Dec,101,1.8,,,,,,40,60,,,,,,,,,,,,
2010Dec,102,1.1,,1,4,7.5,20,40,15,7.5,4,1,,,,,,,,,
2010Dec,105,1.04,,,,,25,45,25,5,,,,,,,,,,,
2010Dec,107,1.9,.05,.28,1.26,4.1,9.78,15.09,21.68,22.84,13.12,7.79,2.98,1.03,,,,,,,
2010Dec,108,1.79222,,,4.05,7.58,11.58,15.39,19.17,17.29,12.79,8.31,3.84,,,,,,,,
2011,1,1.7,,,2,5,13,25,30,15,8,2,,,,,,,,,
2011,2,1.8,,,2,6,12,24,26,12,8,6,4,,,,,,,,
2011,4,1.5,,,,5,15,25,35,15,5,,,,,,,,,,
2011,7,.8,,,,,,,,,,,,,,,,,,,
2011,8,1.8,,,3,4,12,21,28,19,9,3,1,,,,,,,,
2011,10,1.6,.02,.19,1.18,4.85,13.03,22.75,25.89,19.2,9.28,2.92,.6,.09,,,,,,,
2011,11,1.8,,,7.5,7.5,12.5,10,55,7.5,,,,,,,,,,,
2011,14,1.2,,,10,20,20,30,10,10,,,,,,,,,,,
2011,15,1.4,,,,5,10,40,30,15,,,,,,,,,,,
2011,16,2,0,1,2,4,9,14,20,25,15,8,2,0,,,,,,,
2011,18,1.75,,,,,,,,,,,,,,,,,,,
2011,20,1.4,,,,5,30,35,30,,,,,,,,,,,,
2011,22,1.6,,,,5,10,20,50,15,,,,,,,,,,,
2011,23,1.7,,,1,10,14,20,30,20,5,,,,,,,,,,
2011,24,1.3,,,,10,20,30,25,15,,,,,,,,,,,
2011,26,1.2,,,,10,20,40,20,10,,,,,,,,,,,
2011,29,1.6,,,,,10,40,50,,,,,,,,,,,,
2011,30,1.2,,,,3,27,45,25,,,,,,,,,,,,
2011,31,1.8,,,,,5,20,35,30,10,,,,,,,,,,
2011,32,1.3,,,1,7,20,30,23,12,6,1,,,,,,,,,
2011,33,1.5,,,,,20,30,30,20,,,,,,,,,,,
2011,35,,,,,,,,,,,,,,,,,,,,
2011,36,2,,,,,5,15,30,30,15,5,,,,,,,,,
2011,37,2.01,1,1,2,8,15,15,25,25,5,2,1,,,,,,,,
2011,38,1.5,,,,,,10,60,30,,,,,,,,,,,
2011,39,1.5,,,,,5,15,65,10,5,,,,,,,,,,
2011,41,1.5,,,,,,20,60,20,,,,,,,,,,,
2011,42,1.9,,,,,,5,45,35,15,,,,,,,,,,
2011,47,1.1,,,,5,17.5,30,25,17.5,5,,,,,,,,,,
2011,48,,,,,,,,,,,,,,,,,,,,
2011,52,.7,3,6,12,18,24,16,12,6,3,,,,,,,,,,
2011,54,2.1,,,,5,5,15,20,25,15,10,5,,,,,,,,
2011,56,1.8,,,,,,15,70,15,,,,,,,,,,,
2011,57,1.8,,,,,,,,,,,,,,,,,,,
2011,58,.6,,,5.6,35.8,44.4,14,.2,,,,,,,,,,,,
2011,59,1.6,,,,,,,,,,,,,,,,,,,
2011,61,,,,,,,,,,,,,,,,,,,,
2011,65,1.8,,,,5,10,20,30,20,15,,,,,,,,,,
2011,67,3,,,,,,5,10,15,20,25,15,10,,,,,,,
2011,68,.9,,,,15,35,35,15,,,,,,,,,,,,
2011,70,.8,,,,20,55,25,,,,,,,,,,,,,
2011,73,.75,,,,20,50,30,,,,,,,,,,,,,
2011,80,1.1,.08,.58,3.56,12.25,24.62,28.92,19.86,7.97,1.87,.25,.02,.02,,,,,,,
2011,82,1.4,,,,,,,,,,,,,,,,,,,
2011,84,1.7,1,1,1,3,10,20,25,20,12,4,2,1,,,,,,,
2011,85,1.6,.19,.53,2.22,6.18,12.71,19.37,21.85,18.24,11.27,5.16,1.74,.54,,,,,,,
2011,88,1.7,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,
2011,89,1.6,,,2.5,5,7.5,20,30,20,10,5,,,,,,,,,
2011,90,1.7,,,,,5,20,50,25,,,,,,,,,,,
2011,93,2,,,,,,5,40,55,,,,,,,,,,,
2011,94,1.2,,,5,10,20,35,17.5,10,2.5,,,,,,,,,,
2011,95,1.77041928,,,,,4,19,40,18,14,5,,,,,,,,,
2011,96,1.7,,,,,5,25,40,25,5,,,,,,,,,,
2011,97,1.4,,,2,8,25,45,16,4,,,,,,,,,,,
2011,98,1.3,,,5,10,15,35,25,10,,,,,,,,,,,
2011,99,1.5,,,,,,40,50,10,,,,,,,,,,,
2011,101,1.6,,,,,5,40,55,,,,,,,,,,,,
2011,102,.8,.5,2,5,20,30,25,10,5,2,.5,,,,,,,,,
2011,105,1.43,,,,,10,40,35,15,,,,,,,,,,,
2011,107,1.8,,.02,.24,1.92,8.54,18.63,29.85,26.93,10.15,3.2,.48,.04,,,,,,,
2011,108,1.8088825,,,2.85,7.21,11.11,15.19,19.14,17.59,13.18,8.79,4.39,.55,,,,,,,
2011Dec,1,1.8,,,,3,6,20,24,20,15,8,4,,,,,,,,
2011Dec,2,2,,,2,4,8,16,20,24,16,6,4,,,,,,,,
2011Dec,4,1.7,,,,5,10,20,30,20,15,,,,,,,,,,
2011Dec,7,1,,,,,,,,,,,,,,,,,,,
2011Dec,8,2,,1,3,5,10,16,19,22,15,5,3,1,,,,,,,
2011Dec,10,1.8,.22,.72,2.28,5.62,10.9,16.54,19.64,18.26,13.29,7.57,3.38,1.58,,,,,,,
2011Dec,11,2,,,7.5,7.5,12.5,10,30,30,2.5,,,,,,,,,,
2011Dec,14,1.4,,,,,,,,,,,,,,,,,,,
2011Dec,15,1.5,,,,10,15,30,35,5,5,,,,,,,,,,
2011Dec,16,2.3,0,1,2,5,8,12,18,22,18,9,4,1,,,,,,,
2011Dec,18,1.8,,,,,,,,,,,,,,,,,,,
2011Dec,20,1.5,,,,10,20,25,30,15,,,,,,,,,,,
2011Dec,22,1.7,,,,5,10,20,40,20,5,,,,,,,,,,
2011Dec,23,2,,,,1,5,15,28,30,15,5,1,,,,,,,,
2011Dec,24,1.3,,,,10,20,30,25,10,5,,,,,,,,,,
2011Dec,26,1.4,,,,10,22.5,32.5,25,10,,,,,,,,,,,
2011Dec,29,1.8,,,,,,30,50,20,,,,,,,,,,,
2011Dec,30,1.5,,,,,,,,,,,,,,,,,,,
2011Dec,31,1.9,,,,,,15,40,35,10,,,,,,,,,,
2011Dec,32,,,,,,,,,,,,,,,,,,,,
2011Dec,33,2,,,,,,20,30,30,20,,,,,,,,,,
2011Dec,35,,,,,,,,,,,,,,,,,,,,
2011Dec,36,2.2,,,,,5,25,30,30,10,,,,,,,,,,
2011Dec,37,1.89,1,1,2,8,15,15,25,25,5,2,1,,,,,,,,
2011Dec,38,1.5,,,,,,10,60,30,,,,,,,,,,,
2011Dec,39,1.3,,,,,10,65,15,10,,,,,,,,,,,
2011Dec,41,1.6,,,,,,,,,,,,,,,,,,,
2011Dec,42,2,,,,,,5,35,45,15,,,,,,,,,,
2011Dec,47,1.2,,2,3,12,18,25,18,15,5,2,,,,,,,,,
2011Dec,48,,,,,,,,,,,,,,,,,,,,
2011Dec,52,.5,5,9,13,20,22,12,9,6,3,1,,,,,,,,,
2011Dec,54,2.1,,,,5,5,15,25,25,15,5,5,,,,,,,,
2011Dec,56,2.15,,,,,,,30,60,10,,,,,,,,,,
2011Dec,57,,,,,,,,,,,,,,,,,,,,
2011Dec,58,,,,,,,,,,,,,,,,,,,,
2011Dec,59,1.96,,,,,,,,,,,,,,,,,,,
2011Dec,61,,,,,,,,,,,,,,,,,,,,
2011Dec,65,2.5,,,,,,,,,,,,,,,,,,,
2011Dec,67,,,,,,,,,,,,,,,,,,,,
2011Dec,68,1.4,,,,,15,35,35,15,,,,,,,,,,,
2011Dec,70,1.1,,,,,40,60,,,,,,,,,,,,,
2011Dec,73,,,,,,,,,,,,,,,,,,,,
2011Dec,80,1.1,,,,,,,,,,,,,,,,,,,
2011Dec,82,1.5,,,,,,,,,,,,,,,,,,,
2011Dec,84,,,,,,,,,,,,,,,,,,,,
2011Dec,85,1.7,1.22,1.54,3.92,7.25,11.32,14.88,16.49,15.4,12.12,8.04,4.49,3.33,,,,,,,
2011Dec,88,2,,,2.5,7.5,12.5,17.5,20,17.5,12.5,7.5,2.5,,,,,,,,
2011Dec,89,1.4,,,5,10,20,30,20,10,2.5,2.5,,,,,,,,,
2011Dec,90,1.7,,,,,5,20,50,25,,,,,,,,,,,
2011Dec,93,2,,,,,,5,40,50,5,,,,,,,,,,
2011Dec,94,1.2,,,2.5,7.5,20,35,22.5,10,2.5,,,,,,,,,,
