INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2009,107,1.8,.000339767313373152,.0573627369257035,2.21731069057886,16.8036820904331,45.5382813820213,31.3771076463459,3.80390193738711,.200160075209421,.00184984465106952,.00000382913410978958,,,
2009,108,1.967,,,,13,36,39,12,,,,,,
2009Sep,1,2.4,,,5,10,25,30,20,10,,,,,
2009Sep,2,,,,,6,22,36,22,14,,,,,
2009Sep,3,,,,,,,,,50,50,,,,
2009Sep,4,1.5,,,10,20,50,20,,,,,,,
2009Sep,5,2.5,,,,,20,30,30,20,,,,,
2009Sep,7,2,,,,,,,,,,,,,
2009Sep,8,1.8,,,5,23,40,27,5,,,,,,
2009Sep,10,2.2,.167678628779089,.810361267837101,3.78774421865472,11.0675006578422,21.0605490620639,26.1116967963651,21.096659172857,11.1054987540926,3.80727909014376,.985032351364479,,,
2009Sep,14,1.9,,,,,,,,,,,,,
2009Sep,15,2.3,,,,,20,40,30,5,5,,,,
2009Sep,16,1.7,0,0,0,20,33,25,12,6,3,1,,,
2009Sep,19,2.2,,,,,,,,,,,,,
2009Sep,20,1.8,,,10,20,40,25,5,,,,,,
2009Sep,22,1.8,,,10,15,50,15,10,,,,,,
2009Sep,23,2.5,,2,5,10,18,22,23,15,5,,,,
2009Sep,24,1.8,,,5,20,40,25,5,5,,,,,
2009Sep,26,1.4,,,,40,40,20,,,,,,,
2009Sep,29,2.3,,,,,,60,40,,,,,,
2009Sep,30,2.3,,,,,,,,,,,,,
2009Sep,31,2,,,,10,30,50,10,,,,,,
2009Sep,32,2.1,1,1,6,15,22,28,20,6,1,,,,
2009Sep,36,2.6,,,,,10,20,40,25,5,,,,
2009Sep,38,1.7,,,,20,60,20,,,,,,,
2009Sep,39,1.8,,,,10,60,30,,,,,,,
2009Sep,40,,,,,,,,,,,,,,
2009Sep,41,2,,,,,,,,,,,,,
2009Sep,42,1.8,,,,5,50,30,15,,,,,,
2009Sep,47,1.9,0,5,10,20,30,20,10,5,0,0,,,
2009Sep,48,2.1,,,,,,,,,,,,,
2009Sep,52,1.9,,,,,70,30,,,,,,,
2009Sep,54,2.4,,,,10,25,40,25,,,,,,
2009Sep,56,1.9,,,,20,65,15,,,,,,,
2009Sep,57,,,,,,,,,,,,,,
2009Sep,58,2.1,,,,,30,40,30,,,,,,
2009Sep,59,1.9,,,10,20,50,20,,,,,,,
2009Sep,60,2.2,,,,5,40,55,,,,,,,
2009Sep,61,,,,,,,,,,,,,,
