INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2013,1,1.8,,,,,,20,50,30,,,,,,,,,,,
2013,2,2.1,,,,,2,8,22,40,18,8,2,,,,,,,,
2013,3,1.75,2.5,2.5,7.5,7.5,10,17.5,25,17.5,2.5,2.5,2.5,2.5,,,,,,,
2013,4,1.7,,,,5,15,25,35,15,5,,,,,,,,,,
2013,6,1.5,,,,,,15,70,15,,,,,,,,,,,
2013,7,1.5,,,,,,,,,,,,,,,,,,,
2013,8,2,,,1,4,7,15,26,28,15,3,1,,,,,,,,
2013,15,1.8,,,,,,20,50,30,,,,,,,,,,,
2013,16,1.9,0,1,2,3,8,12,25,23,14,8,3,1,,,,,,,
2013,20,1.9,,,,,,25,60,15,,,,,,,,,,,
2013,22,1.8,,,,,,25,50,20,5,,,,,,,,,,
2013,23,1.9,,,,1,10,20,30,25,13,1,,,,,,,,,
2013,24,1.6,,,,2.5,10,27.5,32.5,15,10,2.5,,,,,,,,,
2013,26,2,,,,,,15,35,35,15,,,,,,,,,,
2013,30,1.8,,,,,,15,60,25,,,,,,,,,,,
2013,31,1.9,,,,,,10,50,30,10,,,,,,,,,,
2013,32,1.9,,,,,5,15,37,25,16,2,,,,,,,,,
2013,33,2.2,,,,,,,10,80,10,,,,,,,,,,
2013,36,2.3,,,,,5,10,20,35,20,5,5,,,,,,,,
2013,37,1.7,,,,,,5,48,44,3,,,,,,,,,,
2013,38,1.6,,,,,,10,60,30,,,,,,,,,,,
2013,39,1.8,,,,,10,15,60,10,5,,,,,,,,,,
2013,41,1.9,,,,,,20,70,10,,,,,,,,,,,
2013,42,2,,,,,5,15,30,40,10,,,,,,,,,,
2013,47,1.9,0,1,3,5,10,17,20,18,15,7,4,0,,,,,,,
2013,48,1.9,,,,,,,,,,,,,,,,,,,
2013,49,2,,,,5,5,20,25,20,10,10,5,,,,,,,,
2013,52,1.8,0,0,0,0,0,8,72,19,1,0,0,0,,,,,,,
2013,57,1.8,,,,,,,,,,,,,,,,,,,
2013,63,1.9,,,,,5,20,45,20,8,2,,,,,,,,,
2013,67,2,,,,,5,10,20,30,20,10,5,,,,,,,,
2013,68,1.7,,,,,10,25,35,25,5,,,,,,,,,,
2013,70,1.5,,,,,,20,80,,,,,,,,,,,,
2013,72,1.6,,,,,,,,,,,,,,,,,,,
2013,82,1.8,,,,,,,,,,,,,,,,,,,
2013,84,1.9,0,0,0,0,0,2,44,39,15,0,0,0,,,,,,,
2013,85,1.6033154439,.015642504,.1496571533,.9917851509,4.273983945,11.9874754587,21.8976518403,26.0630374259,20.2145671227,10.2149637341,3.3615296961,.7198645816,.1098413874,,,,,,,
2013,89,2.5,,,,,2.5,2.5,15,25,30,20,5,,,,,,,,
2013,91,1,0,0,0,20,35,35,10,0,0,0,0,0,,,,,,,
2013,92,1.7,.0000022936,.0004185948,.0284571639,.7268887259,7.0644495832,22.8167384303,38.7260904166,25.3725034647,4.695498243,.5491858627,.0195059246,.0002612967,,,,,,,
2013,93,2,,,,,,5,35,55,5,,,,,,,,,,
2013,94,2.1,,,,2,5,12,26,28,15,8,4,,,,,,,,
2013,95,1.95375,0,0,0,0,5.25,12.5,34.5,28,13.5,6.25,0,0,,,,,,,
2013,96,1.6,,,,,10,25,40,20,5,,,,,,,,,,
2013,98,1.5,,,,,10,30,40,15,5,,,,,,,,,,
2013,99,1.9,,,,,,10,60,30,,,,,,,,,,,
2013,103,2,,,,,5,15,25,35,15,5,,,,,,,,,
2013,104,1.9,0,0,0,0,0,20,35,30,15,0,0,0,,,,,,,
2013,105,1.7,,,,,5,25,65,5,,,,,,,,,,,
2013,106,1.5,,,,,10,25,35,20,10,,,,,,,,,,
2013,107,1.7,.0000022936,.0004185948,.0284571639,.7268887259,7.0644495832,22.8167384303,38.7260904166,25.3725034647,4.695498243,.5491858627,.0195059246,.0002612967,,,,,,,
