INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2015,1,.2,,,25,70,5,,,,,,,,,,,,,,
2015,2,.2,,10,35,40,10,5,,,,,,,,,,,,,
2015,3,.2,5,10,20,35,20,5,2.5,2.5,,,,,,,,,,,
2015,4,.1,5,10,30,35,15,5,,,,,,,,,,,,,
2015,5,-.2,5,25,45,15,5,3,2,,,,,,,,,,,,
2015,6,0,,10,40,45,5,,,,,,,,,,,,,,
2015,7,.9,,,,,,,,,,,,,,,,,,,
2015,14,.5,,,,,,,,,,,,,,,,,,,
2015,15,.6,,,10,30,40,15,5,,,,,,,,,,,,
2015,16,.2,4,12,19,22,18,11,7,4,2,1,0,0,,,,,,,
2015,20,-.5,5,35,40,20,0,0,,,,,,,,,,,,,
2015,22,-.2,,15,40,30,15,,,,,,,,,,,,,,
2015,23,-.1,5,15,35,30,15,,,,,,,,,,,,,,
2015,24,-.1,5,20,25,25,20,5,,,,,,,,,,,,,
2015,29,.2,,,40,40,20,,,,,,,,,,,,,,
2015,31,.8,,,10,25,50,15,,,,,,,,,,,,,
2015,32,.3,1,5,21,34,30,8,1,,,,,,,,,,,,
2015,35,.3,,,,80,20,,,,,,,,,,,,,,
2015,36,.2,0,10,30,50,10,0,0,0,0,0,0,0,,,,,,,
2015,37,-.2,,9,59,27,5,,,,,,,,,,,,,,
2015,39,0,,,30,50,20,,,,,,,,,,,,,,
2015,41,.6,,,,20,70,10,,,,,,,,,,,,,
2015,42,.1,,,40,50,10,,,,,,,,,,,,,,
2015,45,.25,,,20,50,30,,,,,,,,,,,,,,
2015,47,.3,0,10,35,45,10,0,0,0,0,0,0,0,,,,,,,
2015,48,.6,,,5,20,75,,,,,,,,,,,,,,
2015,49,-.1,,,,,,,,,,,,,,,,,,,
2015,52,-.4,1,23,55,12,5,3,1,0,0,0,0,0,,,,,,,
2015,54,.5,,,10,40,40,10,,,,,,,,,,,,,
2015,57,.5,,,,,,,,,,,,,,,,,,,
2015,61,.7,,,10,35,50,5,,,,,,,,,,,,,
2015,67,.5,2,5,15,32,25,15,5,1,0,0,0,0,,,,,,,
2015,68,.3,,,20,50,30,,,,,,,,,,,,,,
2015,70,.5,,,,45,55,,,,,,,,,,,,,,
2015,80,.9,0,0,.3921568627,11.3725490196,54.5098039216,29.4117647059,4.3137254902,0,0,0,0,0,,,,,,,
2015,82,.2,1,4,10,80,4,1,,,,,,,,,,,,,
2015,84,0,5,18,25,30,20,2,0,0,0,0,0,0,,,,,,,
2015,85,.0537802059,6.1978645732,12.9705490563,22.7086193148,25.9055038097,19.2576545485,9.3268028502,2.9414625674,.6036308921,.0805290165,.0069766715,.0003920807,.0000146191,,,,,,,
2015,88,0,5,12,23,25,20,10,5,,,,,,,,,,,,
2015,89,.7,,2.5,15,20,30,20,10,2.5,,,,,,,,,,,
2015,90,.6,,,,20,60,20,,,,,,,,,,,,,
2015,92,.2547233075,1.1161258056,7.3506614898,23.6710514806,35.1056152043,24.0196959957,7.2612663752,1.3745159591,.0988979509,.0021237488,.0000456932,.0000002959,.0000000009,,,,,,,
2015,93,.7,,,7.5,17.5,57.5,15,2.5,,,,,,,,,,,,
2015,94,.2,5,10,26,28,14,8,4,2,1.5,1,.5,,,,,,,,
2015,95,.6425,0,4.8,10.3,22.6,33.1,16.7,8.1,4.4,0,0,0,0,,,,,,,
2015,96,.25,,5,20,35,30,10,,,,,,,,,,,,,
2015,97,.2513053124,,,,,,,,,,,,,,,,,,,
2015,98,-.3,10,15,40,20,10,5,,,,,,,,,,,,,
2015,101,.1,,5,25,60,10,,,,,,,,,,,,,,
2015,102,-.3,5,30,45,20,,,,,,,,,,,,,,,
2015,103,.3,,5,20,45,20,10,,,,,,,,,,,,,
2015,104,.4,0,5,20,40,30,5,0,0,0,0,0,0,,,,,,,
2015,105,.6,0,0,0,30,70,0,0,0,0,0,0,0,,,,,,,
2015,107,.2547233075,1.1161258056,7.3506614898,23.6710514806,35.1056152043,24.0196959957,7.2612663752,1.3745159591,.0988979509,.0021237488,.0000456932,.0000002959,.0000000009,,,,,,,
2015,110,.1,.0482496876,1.7366848815,25.6371130154,54.1758495006,17.583226422,.814079492,.0047936851,.0000033155,.0000000003,0,0,0,,,,,,,
2015,111,,,,,,,,,,,,,,,,,,,,
2015,112,.5,,,10,25,40,15,10,,,,,,,,,,,,
2015,114,.2,,4,20,60,15,1,,,,,,,,,,,,,
2015,115,.3,6.1501503272,8.1317490664,17.4734548395,22.9665273111,21.4495044317,14.2342282593,6.7109233644,2.2472449125,.5342979678,.0901554102,.0107909364,.0009731735,,,,,,,
2015Dec,1,.4,,,5,50,35,10,,,,,,,,,,,,,
2015Dec,2,.5,,,12,36,34,13,5,,,,,,,,,,,,
2015Dec,3,-.25,7.5,22.5,35,22.5,5,2.5,2.5,2.5,,,,,,,,,,,
2015Dec,4,1,,,5,10,30,35,15,5,,,,,,,,,,,
2015Dec,5,.3,1,9,25,30,20,10,5,,,,,,,,,,,,
2015Dec,6,.6,,,20,35,45,,,,,,,,,,,,,,
2015Dec,7,,,,,,,,,,,,,,,,,,,,
2015Dec,14,.7,,,,,,,,,,,,,,,,,,,
2015Dec,15,.9,,,10,15,35,20,15,5,,,,,,,,,,,
2015Dec,16,.5,1,6,12,19,22,18,10,6,3,2,1,0,,,,,,,
2015Dec,20,0,5,10,25,30,20,10,,,,,,,,,,,,,
2015Dec,22,.5,,,15,30,35,20,,,,,,,,,,,,,
2015Dec,23,.7,5,10,20,25,30,10,,,,,,,,,,,,,
2015Dec,24,1.3,,,3,12,20,25,20,11,9,,,,,,,,,,
2015Dec,29,.4,,,30,50,20,,,,,,,,,,,,,,
2015Dec,31,.9,,,,25,45,25,5,,,,,,,,,,,,
2015Dec,32,,,,,,,,,,,,,,,,,,,,
2015Dec,35,,,,,,,,,,,,,,,,,,,,
2015Dec,36,.3,0,0,30,60,10,0,0,0,0,0,0,0,,,,,,,
2015Dec,37,.4,,1,24,47,28,,,,,,,,,,,,,,
2015Dec,39,.8,,,15,30,45,10,,,,,,,,,,,,,
2015Dec,41,,,,,,,,,,,,,,,,,,,,
2015Dec,42,.3,,,30,40,30,,,,,,,,,,,,,,
2015Dec,45,,,,,,,,,,,,,,,,,,,,
2015Dec,47,1.3,,,,,,,,,,,,,,,,,,,
2015Dec,48,.6,,,5,20,75,,,,,,,,,,,,,,
2015Dec,49,.3,,,,,,,,,,,,,,,,,,,
2015Dec,52,.4,0,0,10,41,36,10,1,1,1,0,0,0,,,,,,,
2015Dec,54,.9,,,10,30,45,15,,,,,,,,,,,,,
2015Dec,57,1,,,,,,,,,,,,,,,,,,,
2015Dec,61,1.2,,,,20,35,40,5,,,,,,,,,,,,
2015Dec,67,,,,,,,,,,,,,,,,,,,,
2015Dec,68,.5,,,10,40,35,15,0,0,,,,,,,,,,,
2015Dec,70,,,,,,,,,,,,,,,,,,,,
2015Dec,80,,,,,,,,,,,,,,,,,,,,
2015Dec,82,.5,1,2,5,30,40,15,2,1,1,1,1,1,,,,,,,
2015Dec,84,,,,,,,,,,,,,,,,,,,,
2015Dec,85,.6387424543,4.8866459021,7.0182432957,12.180320118,16.921446573,18.8182158769,16.7527471477,11.9386542911,6.8103964315,3.1096687227,1.1364472344,.3323830833,.0948313236,,,,,,,
2015Dec,88,.9,,6,13,24,25,19,9,4,,,,,,,,,,,
2015Dec,89,1.8,,,2.5,5,10,15,22.5,20,17.5,5,2.5,,,,,,,,
2015Dec,90,.8,,,,20,60,20,,,,,,,,,,,,,
2015Dec,92,.8373932513,1.8267463064,4.5745642473,10.6297176434,18.0198212745,22.289417222,18.3738632498,14.0125120002,7.3489374247,2.11383016,.6631880709,.1275543181,.0198480827,,,,,,,
2015Dec,93,1.8,,,,,2.5,12.5,65,12.5,7.5,,,,,,,,,,
2015Dec,94,.7,4,6,12,18,27,16,6,4,3,2,1.5,.5,,,,,,,
2015Dec,95,1.1485,0,0,4.5,10.9,23.8,28.6,19.7,8.4,4.1,0,0,0,,,,,,,
2015Dec,96,.75,,,5,20,35,25,10,5,,,,,,,,,,,
2015Dec,97,.6981444557,,,,,,,,,,,,,,,,,,,
2015Dec,98,.7,,,10,25,35,25,5,,,,,,,,,,,,
2015Dec,101,.5,,,,,,,,,,,,,,,,,,,
2015Dec,102,.6,,,5,30,45,20,,,,,,,,,,,,,
2015Dec,103,1.3,,,,10,35,40,15,,,,,,,,,,,,
2015Dec,104,,,,,,,,,,,,,,,,,,,,
2015Dec,105,1.4,0,0,0,0,5,55,40,0,0,0,0,0,,,,,,,
2015Dec,107,.8373932513,1.8267463064,4.5745642473,10.6297176434,18.0198212745,22.289417222,18.3738632498,14.0125120002,7.3489374247,2.11383016,.6631880709,.1275543181,.0198480827,,,,,,,
2015Dec,110,.3,5.7914974525,8.0235215793,17.609512823,23.3894548383,21.7872870556,14.2325951655,6.5191280204,2.0930971936,.4708739464,.0741851165,.0081804756,.0006663333,,,,,,,
2015Dec,111,,,,,,,,,,,,,,,,,,,,
2015Dec,112,.9,,5,10,20,30,20,10,5,,,,,,,,,,,
2015Dec,114,1.5,,,2,7,10,40,40,1,,,,,,,,,,,
2015Dec,115,1.2,.4526712206,1.1834231087,4.514055998,10.9782898114,18.966838301,23.2825669314,20.3083338258,12.5864707362,5.5417471155,1.7329317309,.3847208808,.0679503397,,,,,,,
2016,1,.8,,,,20,45,30,5,,,,,,,,,,,,
2016,2,.7,,,12,32,36,15,5,,,,,,,,,,,,
