INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2008,70,1.9,,,,,52,48,,,,,,,
2008,72,2,0,0,0,10,37,42,11,0,0,,,,
2008,73,,,,,,45,50,5,,,,,,
2008,76,2.1,.577227153887047,2.12607084066803,6.49732073341381,13.9530915442389,21.0625500862204,22.222534800794,17.4846065408951,10.0658942515563,6.01070404832648,,,,
2008,80,2,.0648530961201432,.548424078239018,3.72208380114039,13.5003220509654,26.9822819962236,29.7553286239996,18.1086420603658,6.07608965827128,1.24197463467483,,,,
2008,82,1.7,,,,20,55,25,,,,,,,
2008,84,1.9,0,0,0,12,36,34,15,3,0,,,,
2008,85,1.8,,,,5,60,35,,,,,,,
2008,88,1.8,,,5,10,30,25,20,10,,,,,
2008,90,1.7,0,0,0,10,80,10,0,0,0,,,,
2008,92,2.1,.000153232999995403,.00776101999976717,.375127749988746,5.60762799983177,26.8452299991946,41.9149999987426,21.4770999993557,3.57869999989264,.193299999994201,,,,
2008,93,2,,,,,50,45,5,,,,,,
2008,94,1.9,,,5,12.5,40,25,12.5,5,,,,,
2008,95,1.9,0,0,3,12,40,34,9,2,0,,,,
2008,96,2,,,,5,30,50,15,,,,,,
2008,97,1.9,1,3,5,15,30,25,12,7,2,,,,
2008,98,2,,,,5,40,45,10,,,,,,
2008,99,1.8,,,,10,50,30,10,,,,,,
2008,100,2.2,,,,5,22.5,50,17.5,5,,,,,
2008Mar,1,2,,,,10,30,30,20,10,,,,,
2008Mar,2,1.9,,,4,14,40,36,6,,,,,,
2008Mar,3,1.9,,,,10,50,40,,,,,,,
2008Mar,4,2.4,,,,,20,65,15,,,,,,
2008Mar,5,1.8,,,,30,40,25,5,,,,,,
2008Mar,7,2.1,,,,,,,,,,,,,
2008Mar,8,2,,,,2,42,50,6,,,,,,
2008Mar,10,2.2,.000541695305389389,.0153728760716065,.450207606887543,5.01380676712304,21.9453775484676,38.1168631648324,26.3821592156824,7.25591823868684,.81975288694317,,,,
2008Mar,11,1.8,,,,,70,25,5,,,,,,
2008Mar,14,,,,,,,,,,,,,,
2008Mar,15,1.8,,,5,10,45,30,10,,,,,,
2008Mar,16,1.9,0,0,2,19,34,31,11,2,1,,,,
2008Mar,19,1.8,,,,,75,25,,,,,,,
2008Mar,20,2,,,,10,40,40,10,,,,,,
2008Mar,22,1.7,0,0,0,5,70,25,,,,,,,
2008Mar,23,1.6,,3,10,22,30,22,10,3,,,,,
2008Mar,24,1.7,,,,30,40,30,,,,,,,
2008Mar,26,1.8,,,,20,40,30,10,,,,,,
2008Mar,29,,,,,,,,,,,,,,
2008Mar,30,2.2,,,,,20,80,,,,,,,
2008Mar,31,2.1,,,,,30,60,10,,,,,,
2008Mar,32,,1,5,10,16,27,27,12,2,,,,,
2008Mar,33,2.1,,,,,40,60,,,,,,,
2008Mar,36,2.3,,,,,20,50,30,,,,,,
2008Mar,37,2.1,,,,,45,55,,,,,,,
2008Mar,38,1.8,,,,20,45,35,,,,,,,
2008Mar,39,2.1,,,,,15,65,20,,,,,,
2008Mar,40,,,,,,,,,,,,,,
2008Mar,41,1.8,,,,,,,,,,,,,
2008Mar,42,1.9,,,,5,50,40,5,,,,,,
2008Mar,45,,,,,,,,,,,,,,
2008Mar,47,2.06,0,2,5,13,20,38,17,5,0,,,,
2008Mar,48,1.9,0,0,0,5,80,15,0,0,0,,,,
2008Mar,52,2.1,,,,,20,80,,,,,,,
2008Mar,54,2.3,,,,10,40,40,10,,,,,,
2008Mar,56,2,,,,,30,65,5,,,,,,
2008Mar,57,,,,,,,,,,,,,,
2008Mar,58,,,,,,,,,,,,,,
2008Mar,59,2.1,,,,5,30,55,10,,,,,,
2008Mar,60,1.7,,,,5,40,45,10,,,,,,
2008Mar,61,2.4,,,,5,40,40,15,,,,,,
2008Mar,62,1.9,,,,5,50,40,5,,,,,,
2008Mar,67,2,,,,10,25,30,25,10,,,,,
2008Mar,68,,,,,,,,,,,,,,
2008Mar,70,2,,,,,40,60,,,,,,,
2008Mar,72,2,0,0,1,12,34,39,13,1,0,,,,
2008Mar,73,,,,,,,,,,,,,,
2008Mar,76,2,,,,,,,,,,,,,
2008Mar,80,2.2,,,,,,,,,,,,,
