INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,
2001,35,2.2,0,0,0,0,20,60,20,0,0,0,,
2001,36,2.2,0,0,0,10,35,45,10,0,0,0,,
2001,37,2,0,0,0,0,50,50,0,0,0,0,,
2001,38,2.2,0,0,0,0,10,90,0,0,0,0,,
2001,39,2.1,0,0,0,0,25,70,5,0,0,0,,
2001,40,2,0,0,0,0,40,40,20,0,0,0,,
2001,41,2,0,0,0,0,40,60,0,0,0,0,,
2001,42,2.1,0,0,0,0,35,65,0,0,0,0,,
2001,45,2.1,0,0,0,0,20,75,5,0,0,0,,
2001,46,2.93,0,0,0,0,.07,6.87,52.44,38.09,2.52,.01,,
2001,48,1.9,0,0,0,5,50,40,5,0,0,0,,
2001,50,2,0,0,0,10,50,40,0,0,0,0,,
2001,52,1.8,0,0,5,20,40,30,5,0,0,0,,
2001,53,2,0,0,0,0,40,60,0,0,0,0,,
2001,54,1.7,0,0,0,10,50,30,10,0,0,0,,
2001,55,2.1,0,.1,1.9,12.1,33.7,38.9,12.3,1,0,0,,
2001,56,1.8,0,0,0,5,45,35,10,5,0,0,,
2001,57,1.8,0,0,0,20,60,20,0,0,0,0,,
2001,59,2,0,0,0,10,40,30,20,0,0,0,,
2001,60,1.7,0,0,0,10,60,30,0,0,0,0,,
2001,61,1.7,0,0,0,25,60,15,0,0,0,0,,
2001,62,2,0,0,0,0,10,50,30,10,0,0,,
2001,64,2,1,1,3,15,30,30,15,3,1,1,,
2001,65,2,0,0,0,0,20,60,20,0,0,0,,
2001,67,2,0,0,0,10,40,40,10,0,0,0,,
2001,70,2.2,0,0,0,0,10,70,20,0,0,0,,
2001,71,1.8,0,0,5,15,53,15,7,5,0,0,,
2001,72,2.2,0,1,4,10,20,25,20,15,4,1,,
2001,73,2.3,0,0,0,0,30,65,5,0,0,0,,
2001,76,2.4,0,0,0,10,15,40,25,10,0,0,,
2001,85,2,0,0,0,0,39,52,9,0,0,0,,
2001,87,2.1,0,0,0,5,35,35,20,5,0,0,,
2001,89,2.2,0,0,0,0,25,50,25,0,0,0,,
2001,90,1.8,0,0,0,0,95,5,0,0,0,0,,
2001,91,1.7,0,0,.999000999,24.2757242757,58.8411588412,15.4845154845,.3996003996,0,0,0,,
2001,92,2.04,0,0,1.4262756127,9.5419847328,28.5958216151,36.3398955404,19.6163117718,4.4797107272,0,0,,
2001,93,2,0,0,0,10,40,40,10,0,0,0,,
2001,94,1.9,0,0,0,20,50,30,0,0,0,0,,
2001,95,2.1,0,0,0,8,30,40,17,4,1,0,,
2001,96,2.1,0,0,0,5,25,40,20,8,2,0,,
2001Sep,1,1.9,0,0,2,20,25,25,20,5,3,0,,
2001Sep,2,2.5,0,0,0,0,0,60,40,0,0,0,,
2001Sep,3,,0,0,0,0,50,50,0,0,0,0,,
2001Sep,4,1.5,0,0,0,25,50,25,0,0,0,0,,
2001Sep,5,1.9,0,0,5,10,60,20,5,0,0,0,,
2001Sep,6,2.5,0,0,0,0,20,30,40,10,0,0,,
2001Sep,7,1.8,,,,,,,,,,,,
2001Sep,9,2,0,0,0,0,30,70,0,0,0,0,,
2001Sep,10,2.4,0,0,0,0,20,50,30,0,0,0,,
2001Sep,11,2,0,0,0,0,45,50,5,0,0,0,,
2001Sep,14,,0,0,0,30,70,0,0,0,0,0,,
2001Sep,15,2,0,0,0,5,40,50,5,0,0,0,,
2001Sep,16,1.7,0,1,3,10,45,25,10,5,1,0,,
2001Sep,17,1.7,0,0,10,20,40,25,5,0,0,0,,
2001Sep,18,1.6,0,0,10,20,35,25,10,0,0,0,,
2001Sep,19,1.5,0,0,0,25,75,0,0,0,0,0,,
2001Sep,20,1.8,0,0,0,0,75,25,0,0,0,0,,
2001Sep,22,.8,5,20,30,25,10,5,3,1,1,0,,
2001Sep,23,1.8,0,0,5,20,50,20,5,0,0,0,,
2001Sep,24,1.8,0,0,0,5,55,35,5,0,0,0,,
2001Sep,26,1.6,0,0,0,30,40,30,0,0,0,0,,
2001Sep,28,1.5,,,,,,,,,,,,
2001Sep,29,1.3,0,0,10,70,20,0,0,0,0,0,,
2001Sep,30,1.8,0,0,0,0,42,58,0,0,0,0,,
2001Sep,31,1.8,0,0,0,10,65,25,0,0,0,0,,
2001Sep,32,1.9,0,0,0,15,35,30,15,5,0,0,,
2001Sep,33,2.4,0,0,0,0,0,80,15,5,0,0,,
2001Sep,34,2.1,0,0,0,0,10,85,5,0,0,0,,
2001Sep,35,2,0,0,0,0,20,50,20,10,0,0,,
2001Sep,36,2.2,0,0,0,5,10,35,40,10,0,0,,
2001Sep,37,2,0,0,0,0,50,50,0,0,0,0,,
2001Sep,38,2,0,0,0,0,50,50,0,0,0,0,,
2001Sep,39,1.7,0,0,0,15,53,30,2,0,0,0,,
2001Sep,40,1.6,0,0,0,10,50,30,10,0,0,0,,
2001Sep,41,1.8,0,0,0,0,80,20,0,0,0,0,,
2001Sep,42,1.7,,,,,,,,,,,,
2001Sep,45,,,,,,,,,,,,,
2001Sep,46,2.93,0,0,0,0,0,0,79.8,20.2,0,0,,
2001Sep,48,1.6,0,0,0,30,50,20,0,0,0,0,,
2001Sep,50,1.5,0,0,0,25,50,25,0,0,0,0,,
2001Sep,52,1.7,0,0,5,20,40,30,5,0,0,0,,
2001Sep,53,1.6,0,0,0,20,70,10,0,0,0,0,,
2001Sep,54,1.6,0,0,0,10,50,30,10,0,0,0,,
2001Sep,55,2,.3,1.9,7.5,19.4,31.3,28.9,9.6,1.1,0,0,,
2001Sep,56,1.6,0,0,0,10,50,30,10,0,0,0,,
2001Sep,57,1.6,0,0,0,40,50,10,0,0,0,0,,
2001Sep,59,1.4,0,0,10,20,40,20,10,0,0,0,,
2001Sep,60,1.7,0,0,0,10,60,30,0,0,0,0,,
2001Sep,61,1.4,0,0,0,55,45,0,0,0,0,0,,
2001Sep,62,,,,,,,,,,,,,
2001Sep,64,2,1,1,3,15,30,30,15,3,1,1,,
2001Sep,65,1.9,0,0,0,0,30,50,20,0,0,0,,
2001Sep,67,2.2,0,0,0,10,40,40,10,0,0,0,,
2001Sep,70,2.1,0,0,0,0,25,70,5,0,0,0,,
2001Sep,71,1.5,0,5,10,20,47,10,5,3,0,0,,
2001Sep,72,2,1,3,6,15,20,22,18,10,4,1,,
2001Sep,73,2,0,0,0,0,20,70,10,0,0,0,,
2001Sep,76,2.1,0,0,5,10,25,35,15,10,0,0,,
