INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2009,1,1.3,1,8,30,35,20,5,1,,,,,,
2009,2,.8,4,16,26,24,14,12,4,,,,,,
2009,3,1,,10,40,50,,,,,,,,,
2009,4,.5,5,35,60,,,,,,,,,,
2009,5,1,,10,40,40,10,,,,,,,,
2009,7,.4,,,,,,,,,,,,,
2009,8,.7,10,26,40,17,7,,,,,,,,
2009,10,1.05,1.79,9.68,30.53,36.76,17.63,3.35,.25,.01,,,,,
2009,11,1.025,,5,40,40,15,,,,,,,,
2009,14,.7,,30,50,20,,,,,,,,,
2009,15,1.25,,,15,45,35,5,,,,,,,
2009,16,.5,2,24,38,28,5,2,1,,,,,,
2009,18,.25,30,35,25,10,,,,,,,,,
2009,20,.5,10,40,45,5,,,,,,,,,
2009,22,.9,5,15,40,30,10,,,,,,,,
2009,23,1,5,20,25,25,20,5,,,,,,,
2009,24,.7,10,20,40,20,10,,,,,,,,
2009,26,.8,5,30,40,25,,,,,,,,,
2009,28,.4,11,27,25,20,10,5,2,,,,,,
2009,29,,,,50,50,,,,,,,,,
2009,32,.9,12,18,25,22,12,8,2,1,,,,,
2009,33,1.6,,,,20,80,,,,,,,,
2009,35,1.2,,,20,70,10,,,,,,,,
2009,36,1.1,5,10,25,40,20,,,,,,,,
2009,37,.2,28,45,25,2,,,,,,,,,
2009,38,.8,,5,50,40,5,,,,,,,,
2009,39,1.2,,5,30,40,20,5,,,,,,,
2009,41,1.3,,,30,70,,,,,,,,,
2009,42,1.1,,,30,40,20,10,,,,,,,
2009,47,1.2,,,10,20,25,25,15,5,,,,,
2009,48,1.3,,,,,,,,,,,,,
2009,52,.6,19,24,28,18,8,3,,,,,,,
2009,56,1.4,,,25,60,15,,,,,,,,
2009,57,1.4,,,,,,,,,,,,,
2009,58,1,,,,,,,,,,,,,
2009,60,1.2,,,20,45,30,5,,,,,,,
2009,61,1.3,,5,30,40,20,5,,,,,,,
2009,65,.8,20,30,40,10,,,,,,,,,
2009,67,.5,25,25,30,20,,,,,,,,,
2009,68,1,,20,40,40,,,,,,,,,
2009,70,.6,,35,55,10,,,,,,,,,
2009,72,.5,,,,,,,,,,,,,
2009,73,,5,10,10,30,45,,,,,,,,
2009,82,1.1,,10,20,60,10,,,,,,,,
2009,84,.7,5,16,33,23,12,7,4,,,,,,
2009,85,.5,20.2327,23.1487,31.3695,18.5684,5.69919999999999,.904400000000005,.0738999999999934,.00310000000000032,.000100000000002876,,,,
2009,88,.5,10,20,40,20,10,,,,,,,,
2009,89,1.1,,10,40,40,10,,,,,,,,
2009,90,.7,10,30,50,10,,,,,,,,,
2009,91,.5,15,20,50,10,5,,,,,,,,
2009,93,1,,,50,50,,,,,,,,,
2009,94,.7,5,22.5,55,15,2.5,,,,,,,,
2009,95,.7,11,28,42,18,1,,,,,,,,
2009,96,1.1,,,30,55,15,,,,,,,,
2009,97,.7,10,20,50,10,10,,,,,,,,
2009,98,.5,20,25,30,20,5,,,,,,,,
2009,99,1.4,,,20,60,20,,,,,,,,
2009,100,.6,,10,65,20,5,,,,,,,,
2009,101,.5,20,30,40,10,,,,,,,,,
2009,103,.9,5,15,40,30,5,5,,,,,,,
2009,105,.9,,20,70,10,,,,,,,,,
2009,107,.9,.988151461857,14.0238564752,45.2054441539,32.0658380169,7.3895949289,.325406036,.001703418316,.000005506925,.000000002002,0,,,
2009,108,1.3,,,7.4,91.8,.8,,,,,,,,
2009Dec,1,1.3,5,15,23,27,20,8,2,,,,,,
2009Dec,2,1,5,14,23,22,16,10,6,4,,,,,
2009Dec,3,1,,,40,50,10,,,,,,,,
2009Dec,4,1,,,50,50,,,,,,,,,
2009Dec,5,.8,,15,50,25,10,,,,,,,,
2009Dec,7,.7,,,,,,,,,,,,,
2009Dec,8,1.6,,,12,27,33,20,8,,,,,,
2009Dec,10,1.7,1.17,3.6,11.07,21.06,26.11,21.1,11.11,3.81,.84,.13,,,
2009Dec,11,1.125,,5,25,50,20,,,,,,,,
2009Dec,14,1,,,,,,,,,,,,,
2009Dec,15,1.5,,,15,35,35,10,5,,,,,,
2009Dec,16,1.8,1,5,9,15,28,18,11,7,5,1,,,
2009Dec,18,0,,,,,,,,,,,,,
2009Dec,20,.8,10,30,40,15,5,,,,,,,,
2009Dec,22,1.6,5,10,15,20,30,15,5,,,,,,
2009Dec,23,2.3,,,5,15,20,25,20,10,5,,,,
2009Dec,24,1.1,,10,25,40,20,5,,,,,,,
2009Dec,26,1.3,,10,25,35,30,,,,,,,,
2009Dec,28,1.3,7,12,22,27,18,11,3,,,,,,
2009Dec,29,,,,60,40,,,,,,,,,
2009Dec,32,1.2,6,15,20,24,18,10,4,2,1,,,,
2009Dec,33,1.8,,,,10,60,30,,,,,,,
2009Dec,35,,,,,,,,,,,,,,
2009Dec,36,.9,5,10,35,35,15,,,,,,,,
2009Dec,37,.3,30,40,25,5,,,,,,,,,
2009Dec,38,1.9,,,,20,60,20,,,,,,,
2009Dec,39,1.9,,,5,20,40,30,5,,,,,,
2009Dec,41,1.5,,,,,,,,,,,,,
2009Dec,42,1.5,,,,30,50,20,,,,,,,
2009Dec,47,1.8,,,10,15,25,25,20,5,,,,,
2009Dec,48,1.6,,,,,,,,,,,,,
2009Dec,52,1,8,15,24,28,17,6.5,1,.5,,,,,
2009Dec,56,1.7,,,,10,60,30,,,,,,,
