INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2001,1,2.2,0,0,0,5,15,60,15,5,0,,,,
2001,2,2.4,0,0,0,0,0,60,40,0,0,,,,
2001,3,2.1,0,0,0,0,40,50,10,0,0,,,,
2001,4,2.4,0,0,0,0,10,70,20,0,0,,,,
2001,5,2.1,0,0,0,0,40,60,0,0,0,,,,
2001,7,2.2,,,,,,,,,,,,,
2001,9,2.3,0,0,0,0,20,70,10,0,0,,,,
2001,10,2.3,0,0,0,0,10,60,30,0,0,,,,
2001,11,2.2,0,0,0,0,20,70,10,0,0,,,,
2001,14,2,0,0,0,0,30,70,0,0,0,,,,
2001,15,2.1,0,0,0,0,35,55,10,0,0,,,,
2001,17,2.5,0,0,0,0,5,35,45,15,0,,,,
2001,18,2,0,0,0,10,35,45,10,0,0,,,,
2001,19,2.3,0,0,0,0,0,90,10,0,0,,,,
2001,22,2.4,0,0,0,8,20,35,28,6,3,,,,
2001,23,2.4,0,0,0,0,0,50,50,0,0,,,,
2001,24,2.2,0,0,0,0,10,60,30,0,0,,,,
2001,26,2.5,0,0,0,0,5,35,50,10,0,,,,
2001,28,2.2,0,0,0,0,24.7524752475,59.4059405941,15.8415841584,0,0,,,,
2001,29,2.3,0,0,0,0,20,70,10,0,0,,,,
2001,30,2.5,0,0,0,0,0,60,40,0,0,,,,
2001,31,2.5,0,0,0,0,0,45,55,0,0,,,,
2001,32,2.4,0,0,0,0,20,40,30,10,0,,,,
2001,33,2.3,0,0,0,0,0,80,20,0,0,,,,
2001,35,2.3,0,0,0,0,10,80,10,0,0,,,,
2001,36,2.6,0,0,0,0,5,40,50,5,0,,,,
2001,37,2.2,0,0,0,0,0,100,0,0,0,,,,
2001,38,2.3,0,0,0,0,0,70,30,0,0,,,,
2001,39,2.3,0,0,0,0,2,70,28,0,0,,,,
2001,41,2.4,0,0,0,0,0,50,50,0,0,,,,
2001,42,2.2,0,0,0,0,10,70,20,0,0,,,,
2001,45,2.1,0,0,0,0,15,80,5,0,0,,,,
2001,46,2.73,0,0,0,0,.5600560056,20.5320532053,61.2361236124,17.2817281728,.3900390039,,,,
2001,47,2.4,0,0,0,0,5,70,25,0,0,,,,
2001,48,2.4,0,0,0,0,20,60,20,0,0,,,,
2001,49,2.1,0,0,0,0,5,90,5,0,0,,,,
2001,52,1.9,0,0,0,10,40,40,10,0,0,,,,
2001,53,1.9,0,0,0,0,70,30,0,0,0,,,,
