INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2011,1,2.8,,,,,,,,10,80,10,,,,,,,,,
2011,2,2.5,,,,,,,6,40,50,4,,,,,,,,,
2011,3,2.8,0,0,0,1,1,3,5,23,40,20,5,2,,,,,,,
2011,4,2.5,,,,0,0,0,10,30,50,10,0,0,,,,,,,
2011,5,2.4,,,,,,,15,45,35,5,,,,,,,,,
2011,7,2,,,,,,,,,,,,,,,,,,,
2011,8,2.7,,,,,,,7,18,40,25,10,,,,,,,,
2011,14,2.4,,,,,,,10,40,30,20,,,,,,,,,
2011,15,2.3,,,,,,,10,65,25,,,,,,,,,,
2011,16,2.8,0,0,0,3,4,8,10,19,28,23,5,0,,,,,,,
2011,20,2.6,,,,,,,,40,55,5,,,,,,,,,
2011,22,2.6,,,,,,,10,30,45,15,,,,,,,,,
2011,23,2.3,,,,,1,10,20,35,20,10,4,,,,,,,,
2011,24,2.3,,,,,,,20,40,20,10,10,,,,,,,,
2011,26,2.6,,,,,,,5,20,40,30,5,,,,,,,,
2011,29,2.4,,,,,,,10,50,40,,,,,,,,,,
2011,31,2.4,,,,,,,10,60,30,,,,,,,,,,
2011,32,2.1,,,,,1,4,23,46,22,3,1,,,,,,,,
2011,33,2.5,,,,,,,,50,50,,,,,,,,,,
2011,37,2.9,,,,,,,,8,55,32,5,,,,,,,,
2011,39,2.6,,,,,,,,20,65,15,,,,,,,,,
2011,41,2.5,,,,,,,,40,60,,,,,,,,,,
2011,42,2.4,,,,,,5,15,40,35,5,,,,,,,,,
2011,47,2.5,0,0,2,5,10,12,15,16,16,12,9,3,,,,,,,
2011,48,2,,,,,,10,20,50,20,,,,,,,,,,
2011,49,2.6,,,,,,,5,10,50,20,10,5,,,,,,,
2011,52,2.9,,,,,,,,5,50,40,5,,,,,,,,
2011,54,2.7,,,,,,10,15,15,25,20,15,,,,,,,,
2011,56,2.8,0,0,0,0,0,0,0,10,70,20,0,0,,,,,,,
2011,57,2.5,,,,,,,,,,,,,,,,,,,
2011,67,3,,,,,,,5,20,25,30,20,,,,,,,,
2011,68,2.3,,,,,,,20,45,25,10,,,,,,,,,
2011,70,2.3,,,,,,,5,65,30,,,,,,,,,,
