INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
2000,1,1.8,,,,5,80,15,,,,
2000,2,1.5,,,10,35,45,10,,,,
2000,3,1.7,,,,10,80,10,,,,
2000,4,1.9,,,,,55,40,5,,,
2000,5,1.8,,,,10,85,5,,,,
2000,7,2,,,,,,,,,,
2000,9,1.9,,,,,60,40,,,,
2000,10,1.8,,,5,35,50,10,,,,
2000,11,1.5,,,,10,80,10,,,,
2000,13,2.4,,,,,35,40,20,5,,
2000,14,1.5,,,,50,50,,,,,
2000,15,2,,,,5,50,40,5,,,
2000,16,1.6,,,5,20,50,20,5,,,
2000,23,1.8,,,,,70,30,,,,
2000,24,1.75,,,,20,50,30,,,,
2000,26,1.8,,,,,60,40,,,,
2000,28,1.7,,,,20,70,10,,,,
2000,29,1.6,,,,,100,,,,,
2000,30,1.8,,,,,75,25,,,,
2000,32,1.8,,,,20,55,25,,,,
2000,33,2.2,,,,,5,80,15,,,
2000,35,2,,,,5,30,40,25,,,
2000,36,1.6,,,10,30,60,,,,,
2000,37,1.8,,,,,70,30,,,,
2000,38,2,,,,,50,50,,,,
2000,39,1.6,,,,13,70,17,,,,
2000,40,1.8,,,,,50,30,15,5,,
2000,41,1.8,,,,20,60,20,,,,
2000,42,1.8,,,,,80,20,,,,
2000,44,2,,,5,10,30,30,20,5,,
2000,45,1.8,,,,,80,20,,,,
2000,46,1.56,,,2,39,53,6,,,,
2000,47,1.7,,,,12,80,8,,,,
2000,48,1.8,,,,20,60,20,,,,
2000,49,1.7,,,,,,,,,,
2000,50,1.8,,,,,75,25,,,,
2000,53,1.7,,,,5,80,15,,,,
2000,54,1.7,,,,20,60,20,,,,
2000,55,1.7,,,,11,70.5,18.2,.3,,,
2000,57,1.7,,,,,85,10,5,,,
2000,61,1.7,,,,20,60,20,,,,
2000,62,1.6,,,,10,80,10,,,,
2000,64,1.7,1,1,7,18,44,17,8,2,2,
2000,65,1.9,,,,10,60,30,,,,
2000,66,2.05,,,1,5,35,45,10,4,,
2000,67,1.7,,,,,100,,,,,
2000,70,1.7,,,,35,45,20,,,,
2000,71,1.5,,5,10,30,40,10,5,,,
2000,72,1.5,,1,9,30,35,20,4,1,,
2000,73,1.7,,,,5,80,15,,,,
2000,76,1.7,,5,10,15,40,15,10,5,,
2000,85,1.6,,,,10,45,25,15,5,,
2000,87,1.75,,,,5,80,15,,,,
2000,89,1.9,,,,20,50,20,10,,,
2000,90,1.7,,,,5,85,10,,,,
2000,91,1.1,.3003003,6.40640641,33.43343343,44.04404404,14.61461461,1.2012012,0,0,,
2000,92,1.9,0,.13019529,2.14321482,13.61041562,34.18127191,34.18127191,13.61041562,2.14321482,,
2000,93,1.6,,,,10,80,10,,,,
2000,94,1.7,,,,20,60,20,,,,
2000,95,1.5,,2,15,32,35,14,2,,,
