INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2010,1,1.5,,,,,2,45,50,3,,,,,,,,,,,
2010,2,1.6,,,,,,30,60,10,,,,,,,,,,,
2010,3,1.5,,,,,,25,50,25,,,,,,,,,,,
2010,4,1.5,,,,,,45,55,,,,,,,,,,,,
2010,5,1.6,,,,,,30,70,,,,,,,,,,,,
2010,7,1.5,,,,,,,,,,,,,,,,,,,
2010,8,1.5,,,,,,15,85,,,,,,,,,,,,
2010,14,1.5,,,,,,,100,,,,,,,,,,,,
2010,15,1.5,,,,,,40,60,,,,,,,,,,,,
2010,16,1.5,0,2,3,7,12,22,31,15,4,3,1,0,,,,,,,
2010,20,1.5,,,,,,30,70,,,,,,,,,,,,
2010,22,1.5,0,,,,,15,85,,,,,,,,,,,,
2010,23,1.5,,,,,,40,60,,,,,,,,,,,,
2010,24,1.6,,,,,5,30,50,15,,,,,,,,,,,
2010,26,1.5,,,,,,45,55,,,,,,,,,,,,
2010,28,1.5,,,,,5,15,60,15,5,,,,,,,,,,
2010,29,1.5,,,,,,50,50,,,,,,,,,,,,
2010,30,1.5,,,,,,50,50,,,,,,,,,,,,
2010,31,1.6,,,,,,40,50,10,,,,,,,,,,,
2010,32,1.5,,,,,1,46,52,1,,,,,,,,,,,
2010,33,1.5,,,,,,50,50,,,,,,,,,,,,
2010,35,1.4,,,,,,70,30,,,,,,,,,,,,
2010,37,1.5,,,,,,25,75,,,,,,,,,,,,
2010,38,1.5,,,,,,10,80,10,,,,,,,,,,,
2010,39,1.5,,,,,,25,70,5,,,,,,,,,,,
2010,41,1.5,,,,,,20,80,,,,,,,,,,,,
2010,42,1.4,,,,,10,45,40,5,,,,,,,,,,,
2010,47,1.5,0,1,5,10,15,19,20,17,8,5,0,0,,,,,,,
2010,48,1.4,,,,,5,70,25,,,,,,,,,,,,
2010,52,1.6,,,,,5,32,45,17,1,,,,,,,,,,
2010,54,1.5,,,,5,10,25,30,20,10,,,,,,,,,,
2010,56,1.6,0,0,0,0,5,15,75,5,0,0,0,0,,,,,,,
2010,57,1.4,,,,,,,,,,,,,,,,,,,
2010,58,.3,,,,,,,,,,,,,,,,,,,
2010,61,1.5,,,,,,25,75,,,,,,,,,,,,
2010,65,1.3,,,,,10,60,30,,,,,,,,,,,,
2010,67,1.5,,,,,5,15,40,20,10,5,5,,,,,,,,
2010,68,1.4,,,,,5,50,45,,,,,,,,,,,,
2010,70,1.5,,,,,,,,,,,,,,,,,,,
2010,73,1.8,,,,,,,100,,,,,,,,,,,,
2010,80,1.4,0,0,0,.0000000018,.0856192987,63.539277848,36.3687721425,.006330709,0,0,0,0,,,,,,,
2010,82,1.6,,,,,,,,,,,,,,,,,,,
2010,84,1.4,0,0,0,0,0,51,49,0,0,0,0,0,,,,,,,
2010,85,1.6,0,0,0,0,.0000000001,2.2750131947,97.589997002,.1349898032,0,0,0,0,,,,,,,
2010,89,1.5,,,,,5,45,45,5,,,,,,,,,,,
2010,93,1.5,,,,,,35,65,,,,,,,,,,,,
2010,94,1.5,,,,,10,35,40,10,5,,,,,,,,,,
2010,95,1.525,0,0,0,1,6,36,43,12,2,0,0,0,,,,,,,
2010,96,1.5,,,,,,30,70,,,,,,,,,,,,
2010,97,1.5,,,,,,,,,,,,,,,,,,,
2010,98,1.5,,,,,10,30,45,15,,,,,,,,,,,
2010,99,1.5,,,,,,30,70,,,,,,,,,,,,
2010,101,1.6,,,,,5,45,50,,,,,,,,,,,,
2010,102,1.5,,,,,,15,85,,,,,,,,,,,,
2010,103,1.5,,,,,,20,70,10,,,,,,,,,,,
2010,104,1.4,0,0,0,0,0,60,40,0,0,0,0,0,,,,,,,
2010,105,1.5,,,,,,45,55,,,,,,,,,,,,
2010,107,1.6,0,0,0,0,0,.00815389,99.99184611,0,0,0,0,0,,,,,,,
2010,108,1.565,,,,,5.13,29.91,44.44,19.84,.68,,,,,,,,,,
2010,109,1.59,1,1,3,5,10,17,35,18,5,3,1,1,,,,,,,
2010,110,1.4,0,0,0,0,0,50,50,0,0,0,0,0,,,,,,,
2011,1,1.7,,,,5,8,20,30,20,10,4,2,1,,,,,,,
2011,2,1.9,,,,,,10,40,40,10,,,,,,,,,,
2011,3,1.7,,,,,,30,60,10,,,,,,,,,,,
2011,4,1.5,,,,,15,35,35,15,,,,,,,,,,,
2011,5,1.7,,,,,20,20,60,,,,,,,,,,,,
2011,7,1.4,,,,,,,,,,,,,,,,,,,
2011,8,1.7,,,3,4,11,19,29,19,10,3,2,,,,,,,,
2011,14,1.9,,,,,,,60,40,,,,,,,,,,,
2011,15,1.6,,,,,,40,50,10,,,,,,,,,,,
2011,16,1.8,0,2,3,6,13,17,22,16,11,8,2,0,,,,,,,
2011,20,1.7,,,,,,40,55,5,,,,,,,,,,,
2011,22,1.6,,,,,,30,65,5,,,,,,,,,,,
2011,23,1.7,,,,5,15,25,30,20,5,,,,,,,,,,
2011,24,1.7,,,,,10,20,40,20,10,,,,,,,,,,
2011,26,1.6,,,,,5,35,45,15,,,,,,,,,,,
2011,28,1.5,,,,5,5,15,40,20,10,5,,,,,,,,,
2011,29,1.3,,,,,,60,40,,,,,,,,,,,,
2011,30,1.3,,,,,20,50,30,,,,,,,,,,,,
2011,31,1.4,,,,5,30,40,20,5,,,,,,,,,,,
2011,32,1.4,,,1,6,17,29,29,15,2,1,,,,,,,,,
2011,33,1.5,,,,,10,40,40,10,,,,,,,,,,,
2011,35,1.6,,,,,,40,60,,,,,,,,,,,,
2011,37,1.7,,,,,,10,80,10,,,,,,,,,,,
2011,38,1.4,,,,,20,60,20,,,,,,,,,,,,
2011,39,1.6,,,,,,25,50,15,10,,,,,,,,,,
2011,41,1.7,,,,,,10,80,10,,,,,,,,,,,
2011,42,1.7,,,,,5,15,45,30,5,,,,,,,,,,
2011,47,1.5,1,2,3,7,12,20,22,18,10,5,0,0,,,,,,,
2011,48,1.1,,,5,5,25,55,10,,,,,,,,,,,,
2011,52,1.6,,,1,4,12,24,31,18,8,2,,,,,,,,,
2011,54,1.6,,,5,10,10,20,25,20,10,,,,,,,,,,
2011,56,1.5,0,0,0,0,5,20,60,15,0,0,0,0,,,,,,,
2011,57,1.5,,,,,,,,,,,,,,,,,,,
2011,58,.3,,,,,,,,,,,,,,,,,,,
2011,61,1.6,,,,,10,30,40,20,,,,,,,,,,,
2011,65,1,,,,,20,60,20,,,,,,,,,,,,
2011,67,1.6,,,,,,10,40,20,15,10,5,,,,,,,,
2011,68,1.4,,,,,15,40,35,10,,,,,,,,,,,
2011,70,.8,,,,,,,,,,,,,,,,,,,
2011,73,1.25,,,,,25,50,25,,,,,,,,,,,,
2011,80,1.5,.0001414996,.0060130702,.17845498,2.2758716803,12.6850120319,31.1236374894,33.76670175,16.2059438806,3.4278609996,.3173814113,.0127586608,.0002225463,,,,,,,
2011,82,1.6,,,,,,,,,,,,,,,,,,,
2011,84,1.6,0,0,0,4,10,20,33,20,10,2,1,0,,,,,,,
2011,85,1.7,.0369078454,.1651059036,1.0204335165,3.985680676,10.6573974516,19.5174979396,24.4876092356,21.0506721465,12.3979751584,5.001389482,1.3813543213,.2979763235,,,,,,,
2011,89,1.6,,,5,10,20,25,20,10,5,5,,,,,,,,,
2011,93,1.8,,,,,,15,50,35,,,,,,,,,,,
2011,94,1.2,,,5,12.5,22.5,30,15,7.5,5,2.5,,,,,,,,,
2011,95,1.679,0,0,0,3.7,10.3,15.4,40.7,18.9,9,2,0,0,,,,,,,
2011,96,1.8,,,,,5,25,45,20,5,,,,,,,,,,
2011,97,1.7,,,,,,,,,,,,,,,,,,,
2011,98,1.2,,,,10,20,35,25,10,,,,,,,,,,,
2011,99,1.3,,,,,10,80,10,,,,,,,,,,,,
2011,101,1.4,,,,,,60,40,,,,,,,,,,,,
2011,102,1.2,,,,,10,50,30,10,,,,,,,,,,,
