INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2001,1,1.9,0,0,0,15,50,30,5,0,0,,,,
2001,2,2.4,0,0,0,0,0,70,30,0,0,,,,
2001,3,2,0,0,0,0,50,40,10,0,0,,,,
2001,4,2.1,0,0,0,0,16.6666666667,66.6666666667,16.6666666667,0,0,,,,
2001,5,2,0,0,0,0,45,55,0,0,0,,,,
2001,7,2,,,,,,,,,,,,,
2001,9,2.2,0,0,0,0,20,80,0,0,0,,,,
2001,10,2.1,0,0,0,0,30,40,30,0,0,,,,
2001,11,1.9,0,0,0,10,50,40,0,0,0,,,,
2001,14,2,0,0,0,0,60,40,0,0,0,,,,
2001,15,2.1,0,0,0,5,35,55,5,0,0,,,,
2001,16,1.7,0,0,5,10,40,30,10,5,0,,,,
2001,17,1.8,0,0,0,0,30,55,15,0,0,,,,
2001,18,1.9,0,0,0,10,45,35,10,0,0,,,,
2001,19,2,0,0,0,0,25,75,0,0,0,,,,
2001,20,2.1,0,0,0,0,0,90,10,0,0,,,,
2001,22,1.9,1,4,10,20,30,20,10,3,2,,,,
2001,23,2.3,0,0,0,0,20,70,10,0,0,,,,
2001,24,2,0,0,0,0,42.8571428571,52.380952381,4.7619047619,0,0,,,,
2001,26,2.25,0,0,0,10,30,35,20,5,0,,,,
2001,29,1.8,0,0,0,5,80,15,0,0,0,,,,
2001,30,2.1,0,0,0,0,42.8571428571,52.380952381,4.7619047619,0,0,,,,
2001,31,2.1,0,0,0,0,30,70,0,0,0,,,,
2001,32,2.3,0,0,0,10,30,35,20,5,0,,,,
2001,33,2.5,0,0,0,0,0,20,80,0,0,,,,
2001,34,2.1,0,0,0,0,10,80,10,0,0,,,,
2001,35,2,0,0,0,10,40,40,10,0,0,,,,
2001,36,2.2,0,0,0,10,35,45,10,0,0,,,,
2001,37,1.9,0,0,0,0,70,30,0,0,0,,,,
2001,38,2.2,0,0,0,0,10,80,10,0,0,,,,
2001,39,2,0,0,0,0,33,65,2,0,0,,,,
2001,41,2.1,0,0,0,0,20,80,0,0,0,,,,
2001,42,1.8,0,0,0,10,70,20,0,0,0,,,,
2001,45,2.1,0,0,0,0,15,80,5,0,0,,,,
2001,48,2.1,0,0,0,5,40,50,5,0,0,,,,
2001,49,1.4,0,10,15,40,20,10,5,0,0,,,,
2001,50,1.6,0,0,0,25,50,25,0,0,0,,,,
2001,53,1.7,0,0,0,30,60,10,0,0,0,,,,
2001,54,1.9,0,0,0,10,60,30,0,0,0,,,,
2001,55,2.1,0,0,0,0,16.1,82.7,1.2,0,0,,,,
2001,56,1.7,0,0,0,15,45,35,5,0,0,,,,
2001,57,2,0,0,0,0,60,40,0,0,0,,,,
2001,59,2,0,0,5,20,50,20,5,0,0,,,,
2001,61,1.9,0,0,0,20,60,20,0,0,0,,,,
2001,63,2,0,0,0,0,50,50,0,0,0,,,,
2001,64,1.8,1,1,3,20,30,25,15,3,2,,,,
2001,67,2.4,0,0,0,0,10,50,40,0,0,,,,
2001,68,2.1,1,3,8,10,15,35,15,10,3,,,,
2001,70,2.1,0,0,0,0,30,50,20,0,0,,,,
2001,73,1.9,0,0,0,0,50,45,5,0,0,,,,
2001,82,2.1,1,2,5,10,20,25,20,10,7,,,,
2001,85,2.1,0,0,0,0,25,70,5,0,0,,,,
2001,87,1.8,0,5,15,55,20,5,0,0,0,,,,
2001,89,2.2,0,0,0,0,25,50,25,0,0,,,,
2001,90,2,0,0,0,0,10,90,0,0,0,,,,
2001,91,1.8,0,0,.1,2.2,20.4,46.5,26.8,3.9,.1,,,,
2001,92,1.87,0,.1601922307,2.4529435322,14.7577092511,35.0720865038,33.1898277934,12.5050060072,1.8622346816,0,,,,
2001,93,1.8,0,0,0,0,75,20,5,0,0,,,,
2001,94,1.2,0,0,10,60,30,0,0,0,0,,,,
2001,95,2,0,0,2,12,33,37,13,3,0,,,,
2001,96,2.3,0,0,0,0,25,45,25,5,0,,,,
2001Dec,1,1.7,0,0,5,25,40,25,5,0,0,,,,
2001Dec,2,2.3,0,0,0,0,0,80,20,0,0,,,,
2001Dec,3,1.9,0,0,0,0,60,40,0,0,0,,,,
2001Dec,4,1.7,0,0,15,60,25,0,0,0,0,,,,
2001Dec,5,1.5,0,0,0,10,60,30,0,0,0,,,,
2001Dec,7,1.7,,,,,,,,,,,,,
2001Dec,9,1.9,0,0,0,0,60,40,0,0,0,,,,
2001Dec,10,1.6,0,0,0,20,50,30,0,0,0,,,,
2001Dec,11,1.7,0,0,0,20,60,20,0,0,0,,,,
2001Dec,14,1.5,,,,,,,,,,,,,
2001Dec,15,2,0,0,0,4.7619047619,47.619047619,42.8571428571,4.7619047619,0,0,,,,
2001Dec,16,1.5,0,5,10,20,30,20,10,5,0,,,,
2001Dec,17,1.2,0,0,20,40,25,15,0,0,0,,,,
2001Dec,18,,,,,,,,,,,,,,
2001Dec,19,1.7,0,0,0,0,100,0,0,0,0,,,,
2001Dec,20,1.9,0,0,0,0,0,75,25,0,0,,,,
2001Dec,22,1.5,2,12,20,30,25,8,2,1,0,,,,
2001Dec,23,1.8,0,0,0,20,60,20,0,0,0,,,,
2001Dec,24,1.5,0,0,0,35,50,10,5,0,0,,,,
2001Dec,26,1.8,0,0,5,20,30,25,15,5,0,,,,
2001Dec,29,1.4,0,0,10,70,20,0,0,0,0,,,,
