INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2002,1,2.1,0,0,0,0,30,50,20,0,0,,,,
2002,2,2.2,0,0,0,0,1,98,1,0,0,,,,
2002,3,2.1,0,0,0,0,30,70,0,0,0,,,,
2002,4,2.2,0,0,0,0,5,85,10,0,0,,,,
2002,5,,0,0,0,0,10,90,0,0,0,,,,
2002,7,2.2,,,,,,,,,,,,,
2002,10,2.21900257,.15449171,.61021776,3.16696402,9.80991013,19.7879798,26.0054602,22.2709779,12.42728811,5.76671037,,,,
2002,11,2.3,0,0,0,0,0,90,10,0,0,,,,
2002,14,2.1,0,0,0,0,0,100,0,0,0,,,,
2002,15,2.2,0,0,0,0,10,90,0,0,0,,,,
2002,16,2.1,0,0,1,5,40,45,8,1,0,,,,
2002,17,2.2,0,0,0,0,10,85,5,0,0,,,,
2002,19,2,0,0,0,0,0,100,0,0,0,,,,
2002,20,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,22,2.2,0,0,0,0,10,75,15,0,0,,,,
2002,24,2.2,0,0,0,0,20,60,20,0,0,,,,
2002,26,2.3,0,0,0,0,2.5,95,2.5,0,0,,,,
2002,28,2.2,0,0,0,0,5,70,25,0,0,,,,
2002,29,2.2,0,0,0,0,10,85,5,0,0,,,,
2002,30,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,31,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,32,2.2,0,0,0,0,5,90,5,0,0,,,,
2002,33,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,35,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,36,2.2,0,0,0,0,35,45,15,5,0,,,,
2002,37,2.3,0,0,0,0,0,100,0,0,0,,,,
2002,41,2.2,0,0,0,0,0,100,0,0,0,,,,
2002,42,2.2,0,0,0,0,5,95,0,0,0,,,,
2002,45,2,0,0,0,0,55,45,0,0,0,,,,
2002,47,2.2,0,0,0,0,0,95,5,0,0,,,,
2002,48,2.2,0,0,0,0,5,90,5,0,0,,,,
2002,49,2.2,0,0,0,0,0,95,5,0,0,,,,
2002,52,2.2,0,0,0,0,20,80,0,0,0,,,,
2002,53,2.3,0,0,0,0,0,70,30,0,0,,,,
2002,54,2.4,0,0,0,0,5,85,10,0,0,,,,
2002,56,2.2,0,0,0,0,7,90,3,0,0,,,,
2002,59,2.3,0,0,0,0,20,75,5,0,0,,,,
2002,60,2.2,0,0,0,0,10,80,10,0,0,,,,
