INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2004,1,1.5,,,5,30,30,20,10,5,,,,,
2004,2,1.5,0,1,7,28,30,24,8,2,0,,,,
2004,4,1.8,,,,20,60,20,,,,,,,
2004,7,1.7,,,,,,,,,,,,,
2004,9,1.8,,,,,70,30,,,,,,,
2004,11,1.7,,,,20,70,10,,,,,,,
2004,14,1.5,,,,40,60,,,,,,,,
2004,15,1.7,,,,20,50,20,10,,,,,,
2004,16,1.8,0,2,14,18,23,20,15,5,3,,,,
2004,17,1.5,,10,20,30,30,10,,,,,,,
2004,18,1.5,2,2,10,15,50,15,3,2,1,,,,
2004,20,1.8,,,,5,80,15,,,,,,,
2004,22,1.8,0,0,5,20,50,25,0,0,0,,,,
2004,23,1.8,,,,10,45,35,10,,,,,,
2004,24,1.7,,,5,25,45,20,5,,,,,,
2004,26,1.7,,,,30,40,30,,,,,,,
2004,28,1.8,,,,10,50,25,10,5,,,,,
2004,29,1.6,,,,20,70,10,,,,,,,
2004,30,1.8,,,,,85,15,,,,,,,
2004,31,1.8,,,,10,60,30,,,,,,,
2004,32,1.9,,,5,15,35,30,10,5,,,,,
2004,33,,,,,,40,60,,,,,,,
2004,35,2.1,,,,,20,80,,,,,,,
2004,38,1.6,,,,,60,40,,,,,,,
2004,39,1.8,,,5,20,40,25,10,,,,,,
2004,41,1.8,,,,10,80,10,,,,,,,
2004,42,1.9,,,,5,55,40,,,,,,,
2004,45,1.8,,,,,100,,,,,,,,
2004,47,1.9,,,,,75,25,,,,,,,
2004,48,1.6,,,,10,80,10,,,,,,,
2004,49,1.8,,,10,20,40,30,,,,,,,
2004,50,1.8,,,,,80,20,,,,,,,
2004,53,1.9,,,,,65,35,,,,,,,
2004,54,1.7,,,,10,40,40,10,,,,,,
2004,56,1.8,,,,10,55,30,5,,,,,,
2004,57,1.8,,,,,,,,,,,,,
2004,59,1.7,,,,25,50,25,,,,,,,
2004,60,1.7,,,10,20,40,20,10,,,,,,
2004,61,1.9,,,,10,40,30,20,,,,,,
2004,63,1.7,,,,10,70,20,,,,,,,
2004,65,,,,,20,70,10,,,,,,,
2004,67,1.9,,,5,20,30,25,15,5,,,,,
2004,68,1.7,1,2,10,18,39,23,4,2,1,,,,
2004,70,1.7,,,,,60,40,,,,,,,
2004,71,1.9,1,3,6,20,35,22,10,2,1,,,,
2004,73,1.7,,,,20,60,20,,,,,,,
2004,76,1.6,,,5,20,50,20,5,,,,,,
2004,80,1.7,.01199127,.33397944,4.91111524,24.19791693,41.08999424,24.19791693,4.91111524,.33815767,.00781304,,,,
2004,82,1.5,,,5,30,30,25,10,,,,,,
2004,84,1.8,0,0,5,24,47,22,2,0,0,,,,
2004,85,1.8,,,,20,70,10,,,,,,,
2004,88,1.7,,5,15,20,30,15,10,5,,,,,
2004,89,1.7,,,,15,50,35,,,,,,,
2004,90,1.9,0,0,5,15,60,15,5,0,0,,,,
2004,91,1.9,0,0,.1,9,53.9,34.7,2.3,0,0,,,,
2004,92,1.6,.06872009,.75103079,7.25588795,26.38205617,38.11709447,21.94529682,5.01379927,.45019993,.0159145,,,,
2004,93,1.9,,,,,60,40,,,,,,,
2004,94,2.3,,,,10,25,30,25,10,,,,,
2004,95,1.6,0,0,0,35,45,20,0,0,0,,,,
2004,96,1.9,,,,7,51,32,10,,,,,,
2004,97,1.8,,,5,10,75,10,,,,,,,
2004Dec,1,1.5,,,10,20,25,20,15,10,,,,,
2004Dec,2,1.6,0,1,7,27,30,25,8,2,0,,,,
2004Dec,4,1.8,,,,20,60,20,,,,,,,
2004Dec,7,1.6,,,,,,,,,,,,,
2004Dec,9,1.8,,,,10,60,30,,,,,,,
2004Dec,11,1.5,,,,50,50,,,,,,,,
2004Dec,14,1.5,,,,50,50,,,,,,,,
2004Dec,15,1.5,,,,30,45,20,5,,,,,,
2004Dec,16,1.9,0,2,10,19,24,22,15,5,3,,,,
2004Dec,17,1,5,15,20,35,20,5,,,,,,,
2004Dec,18,2,2,2,10,15,50,15,3,2,1,,,,
2004Dec,20,1.6,,,,10,80,10,,,,,,,
2004Dec,22,1.7,0,0,5,20,50,25,0,0,0,,,,
2004Dec,23,1.8,,,5,15,40,30,10,,,,,,
2004Dec,24,1.7,,,5,25,45,20,5,,,,,,
2004Dec,26,1.5,,,10,25,30,25,10,,,,,,
2004Dec,28,1.7,,,,15,35,35,10,5,,,,,
2004Dec,29,1.3,,,,20,70,10,,,,,,,
2004Dec,30,1.8,,,,,80,20,,,,,,,
2004Dec,31,1.6,,,,30,55,15,,,,,,,
2004Dec,32,1.8,,,5,15,35,30,10,5,,,,,
2004Dec,33,,,,,,28,72,,,,,,,
2004Dec,35,2,,,,,30,70,,,,,,,
2004Dec,38,1.5,,,,,60,40,,,,,,,
2004Dec,39,1.9,,,5,15,30,30,15,5,,,,,
2004Dec,41,1.8,,,,,,,,,,,,,
2004Dec,42,1.8,,,,5,60,35,,,,,,,
2004Dec,45,,,,,,,,,,,,,,
2004Dec,47,1.9,,,,,80,20,,,,,,,
2004Dec,48,,,,,,,,,,,,,,
2004Dec,49,1.7,,,10,20,40,30,,,,,,,
2004Dec,50,1.8,,,,,75,25,,,,,,,
2004Dec,53,1.8,,,,,70,30,,,,,,,
2004Dec,54,1.6,,,,20,40,30,10,,,,,,
2004Dec,56,1.7,,,,10,45,35,10,,,,,,
2004Dec,57,,,,,,,,,,,,,,
2004Dec,59,1.3,,,,55,35,10,,,,,,,
2004Dec,60,1.4,,5,15,35,30,15,0,,,,,,
2004Dec,61,2,,,,10,40,40,10,,,,,,
2004Dec,63,1.5,,,,,,,,,,,,,
2004Dec,65,,,,,20,80,,,,,,,,
2004Dec,67,2,,,,,,,,,,,,,
2004Dec,68,,,,,,,,,,,,,,
2004Dec,70,1.6,,,,20,70,10,,,,,,,
2004Dec,71,1.8,3,5,8,22,25,22,8,5,2,,,,
2004Dec,73,1.8,,,,,,,,,,,,,
2004Dec,76,1.1,,5,20,40,25,10,,,,,,,
2004Dec,80,1.7,,,,,,,,,,,,,
2004Dec,82,1.3,,,,,,,,,,,,,
2004Dec,84,1.7,0,1,5,30,40,23,1,0,0,,,,
2004Dec,85,1.8,,,5,25,60,10,,,,,,,
2004Dec,88,1.7,,5,15,20,30,15,10,5,,,,,
2004Dec,89,1.7,,,,20,40,30,10,,,,,,
2004Dec,90,2,0,0,5,20,60,12,3,0,0,,,,
2004Dec,91,2,0,0,.6012024,9.91983968,39.47895792,39.47895792,9.91983968,.6012024,0,,,,
2004Dec,92,1.5,1.60622002,4.19792004,13.76406014,24.75170025,27.29480027,18.45820018,7.65210008,1.94290002,.332099,,,,
2004Dec,93,1.9,,,,,60,40,,,,,,,
2004Dec,94,2.1,,,,10,25,30,25,10,,,,,
2004Dec,95,1.6,0,0,4,34,40,19,3,0,0,,,,
2004Dec,96,1.8,,,,10,51,32,7,,,,,,
2004Dec,97,1.8,,5,5,10,65,10,5,,,,,,
2005,1,1.7,2,3,5,25,25,25,10,5,,,,,
2005,2,1.9,0,2,8,18,26,26,16,4,0,,,,
2005,4,1.8,,,,10,60,30,,,,,,,
2005,7,1.6,,,,,,,,,,,,,
2005,9,1.8,,,,,70,30,,,,,,,
2005,11,1.6,,,,30,60,10,,,,,,,
2005,14,1.7,,,,20,70,10,,,,,,,
2005,15,1.5,,,,20,60,15,5,,,,,,
2005,16,1.9,0,0,8,15,23,21,19,10,4,,,,
2005,17,1.1,5,10,20,30,20,10,5,,,,,,
2005,18,1.5,2,2,10,15,50,15,3,2,1,,,,
2005,20,1.8,,,,10,80,10,,,,,,,
2005,22,1.9,0,5,10,20,40,20,5,0,0,,,,
2005,23,2,,,,10,35,45,10,,,,,,
2005,24,1.7,,5,10,15,35,25,10,,,,,,
2005,26,1.6,,,5,27.5,35,27.5,5,,,,,,
2005,28,2,,,,10,35,40,10,5,,,,,
2005,29,1.5,,,,25,60,15,,,,,,,
2005,30,2.1,,,,,30,70,,,,,,,
2005,31,1.7,,,,25,50,25,,,,,,,
2005,32,1.9,,,5,15,35,30,10,5,,,,,
2005,33,,,,,,35,65,,,,,,,
2005,35,,,,,,,,,,,,,,
2005,38,1.7,,,,,60,40,,,,,,,
2005,39,1.8,,,10,20,30,25,10,5,,,,,
2005,41,1.8,,,,10,80,10,,,,,,,
2005,42,1.7,,,,30,50,20,,,,,,,
2005,45,1.8,,,,,100,,,,,,,,
2005,47,1.7,,,,20,60,20,,,,,,,
2005,48,,,,,,,,,,,,,,
2005,49,2,,,5,10,20,30,20,10,5,,,,
2005,50,2,,,,,50,50,,,,,,,
2005,53,1.7,,,,,70,30,,,,,,,
2005,54,1.5,,,,10,40,40,10,,,,,,
2005,56,1.7,,,,10,45,35,10,,,,,,
2005,57,1.7,,,,,,,,,,,,,
2005,59,1.6,,,,22,50,28,,,,,,,
2005,60,1.6,,5,15,30,25,15,10,0,,,,,
2005,61,2.1,,,,10,40,40,10,,,,,,
2005,63,1.6,,,,30,60,10,,,,,,,
2005,65,,,,,15,60,25,,,,,,,
2005,67,2,,5,10,15,25,30,10,5,,,,,
