INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2009,1,1,,,,1,2,8,42,42,5,,,,,,,,,,,,,
2009,3,.7,,,,,10,40,50,,,,,,,,,,,,,,,
2009,4,.5,,,,,,50,50,,,,,,,,,,,,,,,
2009,5,.2,,,,5,15,60,15,5,,,,,,,,,,,,,,
2009,7,.5,,,,,,,,,,,,,,,,,,,,,,
2009,8,.4,,,,,20,40,33,7,,,,,,,,,,,,,,
2009,10,.3575,.00016217,.00850761,1.28479649,7.16949468,24.24948095,35.08728336,24.00687656,6.94856152,1.18569137,.0580418,.00109557,.00000789,.00000002,.00000001,,,,,,,,
2009,14,.2,,,,,30,50,20,,,,,,,,,,,,,,,
2009,15,.7,,,,,5,15,60,20,,,,,,,,,,,,,,
2009,16,.3,,,2,7,19,33,21,13,4,1,,,,,,,,,,,,
2009,19,0,,,10,15,25,25,15,10,,,,,,,,,,,,,,
2009,20,.6,,,,,10,40,45,5,,,,,,,,,,,,,,
2009,22,.4,,,,5,20,40,25,10,,,,,,,,,,,,,,
2009,23,.4,,,,5,15,35,25,15,5,,,,,,,,,,,,,
2009,24,.5,,,,,20,30,30,20,,,,,,,,,,,,,,
2009,26,.2,,,,5,35,35,20,5,,,,,,,,,,,,,,
2009,29,.5,,,,,20,40,40,,,,,,,,,,,,,,,
2009,31,.5,,,,,10,30,50,10,,,,,,,,,,,,,,
2009,32,.4,,3,5,12,20,25,20,10,5,,,,,,,,,,,,,
2009,33,0,,,,,50,50,,,,,,,,,,,,,,,,
2009,35,.5,,,,,,50,50,,,,,,,,,,,,,,,
2009,36,,,,,20,35,25,15,5,,,,,,,,,,,,,,
2009,37,.5,,,,,5,38,57,,,,,,,,,,,,,,,
2009,38,.5,,,,,,,60,40,,,,,,,,,,,,,,
2009,39,.2,,,,10,30,35,20,5,,,,,,,,,,,,,,
2009,41,.4,,,,,20,60,20,,,,,,,,,,,,,,,
2009,42,.6,,,,,,20,60,20,,,,,,,,,,,,,,
2009,47,.4,,,5,10,10,25,20,15,10,5,0,,,,,,,,,,,
2009,52,0,,,,20,35,40,5,,,,,,,,,,,,,,,
2009,54,.6,,,,10,20,35,35,,,,,,,,,,,,,,,
2009,56,.5,,,,,,35,60,5,,,,,,,,,,,,,,
2009,57,.6,,,,,,,,,,,,,,,,,,,,,,
2009,58,.6,,,,,,,,,,,,,,,,,,,,,,
2009,60,.8,,,,,,10,80,10,,,,,,,,,,,,,,
2009,61,.3,,,,5,15,45,30,5,,,,,,,,,,,,,,
2009,65,.4,,,,,25,50,25,,,,,,,,,,,,,,,
2009,70,.7,,,,,,40,60,,,,,,,,,,,,,,,
2009,72,.5,,,,,,,,,,,,,,,,,,,,,,
2009,82,.5,,,,,8,30,51,11,,,,,,,,,,,,,,
2009,85,.3,0,.00020494,0,.13480107,8.986074,53.93501,34.6689,2.2627,.0123,0,0,0,0,.00000999,,,,,,,,
2009,88,.5,,,,,10,25,35,20,10,,,,,,,,,,,,,
2009,90,.4,,,,,10,70,20,,,,,,,,,,,,,,,
2009,93,.7,,,,,,10,90,,,,,,,,,,,,,,,
2009,94,.5,,,,,7.5,30,50,12.5,,,,,,,,,,,,,,
2009,95,.4,,1,3,8,23,40,16,8,1,,,,,,,,,,,,,
2009,96,.5,,,,,5,45,45,5,,,,,,,,,,,,,,
2009,98,.4,,,,10,25,40,20,5,,,,,,,,,,,,,,
2009,101,.8,,,,,,30,50,20,0,,,,,,,,,,,,,
2009,102,.6,,,,,,40,60,,,,,,,,,,,,,,,
2009,103,.5,,,,5,10,30,40,10,5,,,,,,,,,,,,,
2009,107,,,,,,.92055131,33.80006124,59.47603181,5.78303386,.02031987,.0000019,0,0,.00000001,,,,,,,,,
2009,108,.8732,,,,,,11.1,80.03,8.87,,,,,,,,,,,,,,
2010,1,1.5,,,,,5,10,15,30,30,10,,,,,,,,,,,,
2010,3,1,,,,,10,10,40,40,,,,,,,,,,,,,,
2010,4,1,,,,,,,40,60,,,,,,,,,,,,,,
2010,5,1,,,,,,10,40,40,10,,,,,,,,,,,,,
2010,7,.8,,,,,,,,,,,,,,,,,,,,,,
2010,8,1.3,,,,,2,12,24,28,24,8,2,,,,,,,,,,,
2010,10,.86,.00685761,.13875069,2.4781804,6.46160868,12.24472909,21.93446559,24.53844017,19.66406669,9.28781679,2.61915803,.43855676,.15954234,.02592075,.00190641,,,,,,,,
2010,14,.8,,,,10,20,20,30,10,10,,,,,,,,,,,,,
2010,15,1.3,,,,,,10,15,40,30,5,,,,,,,,,,,,
2010,16,1.2,,,1,4,6,11,18,25,17,10,5,2,1,,,,,,,,,
2010,19,1.2,,,,5,5,15,15,20,15,10,10,5,,,,,,,,,,
2010,20,.7,,,,5,15,30,40,10,,,,,,,,,,,,,,
2010,22,1.3,,,,3,5,12,25,40,10,5,,,,,,,,,,,,
2010,23,1.5,,,,,5,10,15,20,25,20,5,,,,,,,,,,,
2010,24,1.8,,,,,,,5,35,30,25,5,,,,,,,,,,,
2010,26,1,,,,2.5,10,15,30,27.5,15,,,,,,,,,,,,,
2010,29,1,,,,,,,40,60,,,,,,,,,,,,,,
2010,31,1.5,,,,,,10,20,40,20,10,,,,,,,,,,,,
2010,32,-.1,3,6,11,18,20,18,13,6,4,1,,,,,,,,,,,,
2010,33,3,,,,,,,,,,10,40,40,10,,,,,,,,,
2010,35,1,,,,,,,50,50,,,,,,,,,,,,,,
2010,36,,,,,5,10,30,25,15,10,5,,,,,,,,,,,,
2010,37,1.3,,,,,,,10,49,38,3,,,,,,,,,,,,
2010,38,1.4,,,,,,,20,60,20,,,,,,,,,,,,,
2010,39,1.3,,,,,5,10,20,30,25,10,,,,,,,,,,,,
2010,41,1,,,,,,,20,60,20,,,,,,,,,,,,,
2010,42,1.3,,,,,,,10,50,35,5,,,,,,,,,,,,
2010,47,1.1,,,0,5,7,10,17,25,20,11,5,,,,,,,,,,,
2010,52,.5,,,,,10,30,50,10,,,,,,,,,,,,,,
2010,54,1.5,,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2010,56,1.6,,,,,,,,20,60,20,,,,,,,,,,,,
2010,57,1.3,,,,,,,,,,,,,,,,,,,,,,
2010,58,-.1,,,,,,,,,,,,,,,,,,,,,,
