INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2013,1,1.5,,,,,,20,80,,,,,,,,,,,,
2013,2,1.4,,,,,,60,40,,,,,,,,,,,,
2013,3,1.2,,,,,,,,,,,,,,,,,,,
2013,4,1.4,,,,5,15,35,25,15,5,,,,,,,,,,
2013,5,1.4,,,5,10,20,25,25,10,5,,,,,,,,,,
2013,6,1.5,,,,,,40,60,,,,,,,,,,,,
2013,7,1.2,,,,,,,,,,,,,,,,,,,
2013,8,1.5,,,,,,47,53,,,,,,,,,,,,
2013,14,1.4,,,,,,,,,,,,,,,,,,,
2013,15,1.5,,,,,,25,75,,,,,,,,,,,,
2013,16,1.4,0,0,0,2,11,36,34,9,6,2,0,0,,,,,,,
2013,20,1.5,,,,,,45,55,,,,,,,,,,,,
2013,22,1.4,,,,,,70,30,,,,,,,,,,,,
2013,23,1.5,,,,,,45,55,,,,,,,,,,,,
2013,24,1.5,,,,5,14.5,28,30,15,5,2.5,,,,,,,,,
2013,26,1.5,,,,,5,45,45,5,,,,,,,,,,,
2013,29,1.4,,,,,10,60,30,,,,,,,,,,,,
2013,31,1.3,,,,,,70,30,,,,,,,,,,,,
2013,32,1.4,,,,1,15,42,32,9,1,,,,,,,,,,
2013,35,1.5,,,,,,40,60,,,,,,,,,,,,
2013,37,1.5,,,,,,40,60,,,,,,,,,,,,
2013,38,1.5,,,,,,10,80,10,,,,,,,,,,,
2013,39,1.4,,,,,,80,20,,,,,,,,,,,,
2013,41,1.5,,,,,,10,70,20,,,,,,,,,,,
2013,45,1.6,,,,,,12,88,,,,,,,,,,,,
2013,47,1.4,0,0,0,0,15,70,15,0,0,0,0,0,,,,,,,
2013,48,1.5,,,,,,45,55,,,,,,,,,,,,
2013,52,1.5,0,0,1,1,9,35,40,12,1,1,0,0,,,,,,,
2013,54,1.4,,,,,5,50,45,,,,,,,,,,,,
2013,57,1.6,,,,,,,,,,,,,,,,,,,
2013,58,1.6,,,,,1,48,50,1,,,,,,,,,,,
2013,67,.8,.5,1,3,5,8,20,31.5,15,8,5,2,1,,,,,,,
2013,68,1.5,,,,,15,30,40,15,,,,,,,,,,,
2013,70,1.5,,,,,,40,60,,,,,,,,,,,,
2013,82,1.5,,,,,,,,,,,,,,,,,,,
2013,84,1.5,0,0,0,0,0,48,52,0,0,0,0,0,,,,,,,
2013,85,1.4968494169,0,0,0,0,.0000007203,25.1909094091,74.8083494055,.0007404651,0,0,0,0,,,,,,,
2013,89,1.4,,,,5,10,40,30,10,5,,,,,,,,,,
2013,91,1.5,0,0,0,0,2.5,45,50,2.5,0,0,0,0,,,,,,,
2013,92,1.4143050566,0,0,0,0,0,80.3073803622,19.6926196378,0,0,0,0,0,,,,,,,
2013,93,1.6,,,,,,35,60,5,,,,,,,,,,,
2013,94,1.4,,,,1,3,50,40,6,,,,,,,,,,,
2013,95,1.35,0,0,0,5,14,45,22,10,4,0,0,0,,,,,,,
2013,96,1.5,,,,,5,44,46,5,,,,,,,,,,,
2013,98,1.4,,,,,,65,35,,,,,,,,,,,,
2013,99,1.4,,,,,,60,40,,,,,,,,,,,,
2013,101,1.4,,,,,5,90,5,,,,,,,,,,,,
2013,103,1.5,,,,,,40,60,,,,,,,,,,,,
2013,104,1.5,0,0,0,0,10,35,50,5,0,0,0,0,,,,,,,
2013,107,1.4143050566,0,0,0,0,0,80.3073803622,19.6926196378,0,0,0,0,0,,,,,,,
2013,110,1.5,0,0,0,0,.0000298906,35.2707807093,64.6854453809,.0437440192,0,0,0,0,,,,,,,
2013,111,1.4,,,,,,100,,,,,,,,,,,,,
2013,112,1.5,,,,,10,25,40,15,10,,,,,,,,,,
