INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,
1999,1,1.2,,,5,90,5,,,,,
1999,2,1.2,,,15,70,15,,,,,
1999,3,1.1,,,20,80,,,,,,
1999,4,1.1,,,,100,,,,,,
1999,5,1.1,,,10,90,,,,,,
1999,7,.9,,,,,,,,,,
1999,9,1.1,,,10,90,,,,,,
1999,11,1,,,40,60,,,,,,
1999,14,1,,,,100,,,,,,
1999,16,1.1,,,10,80,10,,,,,
1999,19,1.1,,,,100,,,,,,
1999,23,1.1,,,,100,,,,,,
1999,24,1.1,,,10,80,10,,,,,
1999,26,1.1,,,,100,,,,,,
1999,28,1.1,,,2,96,2,,,,,
1999,30,1.1,,,,100,,,,,,
1999,31,1.1,,,,,,,,,,
1999,32,1.1,,,10,90,,,,,,
1999,33,1.2,,,,85,10,5,,,,
1999,35,1.1,,,5,95,,,,,,
1999,36,1.2,,,30,70,,,,,,
1999,37,1.1,,,,100,,,,,,
1999,38,1.1,,,,100,,,,,,
1999,39,1.2,,,,100,,,,,,
1999,40,1.1,,,,100,,,,,,
1999,41,1.1,,,,100,,,,,,
1999,42,1.2,,,,100,,,,,,
1999,45,1.2,,,,100,,,,,,
1999,46,1.05,,,8,92,,,,,,
1999,47,1.1,,,,100,,,,,,
1999,49,1.5,,,,50,50,,,,,
1999,52,1.3,,,10,50,40,,,,,
1999,53,1.1,,,10,80,10,,,,,
1999,54,1,,,20,50,30,,,,,
1999,55,1.1,,.1001001,27.12712713,66.46646647,6.30630631,,,,,
1999,57,1.2,,,,95,5,,,,,
1999,59,1.2,,,10,80,10,,,,,
1999,61,1.1,,,,100,,,,,,
1999,62,1.2,,,5,90,5,,,,,
1999,63,1.1,,,5,95,,,,,,
1999,64,1.2,,,7,85,8,,,,,
1999,65,.7,,,70,30,,,,,,
1999,67,1.1,,,,70,30,,,,,
1999,70,1.1,,,,80,20,,,,,
1999,72,1.1,,,15,80,5,,,,,
1999,73,1.2,,,,100,,,,,,
1999,76,1.1,,5,25,50,15,5,,,,
1999,85,1,,,,,,,,,,
1999,87,1.5,,,5,35,60,,,,,
1999,88,1.1,,,5,95,,,,,,
1999,89,1.1,,,,100,,,,,,
1999,90,1,,,5,95,,,,,,
1999,91,1.35,,,.4,87.2,12.4,,,,,
1999,92,1.11,,,4.01,95.21,.78,,,,,
1999,93,1.2,,,5,90,5,,,,,
1999,94,1.2,,,,60,40,,,,,
1999,95,1.2,,,22.22222222,65.65656566,12.12121212,,,,,
2000,1,1.8,,,5,20,50,20,5,,,
2000,2,1.4,,5,10,40,30,10,5,,,
2000,3,1.5,,,10,40,40,10,,,,
2000,4,1.8,,,,40,60,,,,,
2000,5,1.5,,,,30,70,,,,,
2000,7,1.2,,,,,,,,,,
2000,9,1.3,,,10,80,10,,,,,
2000,11,1.3,,,,80,15,5,,,,
2000,14,1.5,,,,50,50,,,,,
2000,16,1.5,1,5,16,35,35,5,1,1,1,
2000,19,1.6,,,,25,75,,,,,
2000,23,1.7,,,,20,70,10,,,,
2000,24,1.5,,,15,35,35,10,5,,,
2000,26,1.7,,,,20,70,10,,,,
2000,28,1.4,,,5,45,35,15,,,,
2000,30,1.6,,,,10,90,,,,,
2000,31,1.6,,,,,,,,,,
2000,32,1.7,,,5,25,55,15,,,,
2000,33,1.7,,,,,70,20,10,,,
2000,35,1.6,,,10,30,50,10,,,,
2000,36,1.5,,,10,45,45,,,,,
2000,37,1.9,,,,,70,30,,,,
2000,38,1.7,,,,5,90,5,,,,
2000,39,1.6,,,,30,55,15,,,,
2000,40,1.5,,,5,50,35,10,,,,
2000,41,1.5,,,,20,75,5,,,,
2000,42,1.6,,,,10,80,10,,,,
2000,45,1.5,,,,50,50,,,,,
2000,46,1.07,,3.03030303,38.38383838,51.51515152,7.07070707,,,,,
2000,47,1.4,,,5,45,45,5,,,,
2000,49,1.2,,5,15,60,15,5,,,,
2000,52,1.8,,,10,30,50,10,,,,
2000,53,1.6,,,,10,70,20,,,,
2000,54,1.5,,,10,40,40,10,,,,
2000,55,1.7,1.20361083,4.21263791,9.02708124,26.47943831,27.48244734,20.46138415,8.52557673,2.20661986,.40120361,
2000,57,1.7,,,,20,80,,,,,
2000,59,1.7,,,,10,60,30,,,,
2000,61,1.6,,,,20,60,20,,,,
2000,62,1.6,,,,10,85,5,,,,
2000,63,1.5,,,,20,70,10,,,,
2000,64,1.6,1,1,7,20,42,17,8,2,2,
2000,65,1.6,,,,35,65,,,,,
2000,67,1.6,,,,20,70,10,,,,
2000,70,1.5,,,,10,80,10,,,,
2000,72,1.5,1,4,10,25,30,20,8,2,,
2000,73,1.6,,,,25,70,5,,,,
2000,76,1.5,,1,10,35,35,15,4,,,
2000,85,1.5,,,,,,,,,,
2000,87,1.5,,,5,20,50,25,,,,
2000,88,1.3,,,15,55,20,10,,,,
2000,89,1.6,,,,30,50,20,,,,
2000,90,1.3,,,,75,25,,,,,
2000,91,1,2.3023023,13.61361361,34.13413413,34.13413413,13.61361361,2.1021021,.1001001,0,,
2000,92,1.65,0,.74088907,6.65798959,24.0989187,36.97436924,24.0989187,6.65798959,.77092511,,
2000,93,1.4,,,5,40,50,5,,,,
2000,94,1.6,,,,40,60,,,,,
