INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2008,5,3.9,,,,,,,,10,80,10,,,
2008,7,3.7,,,,,,,,,,,,,
2008,8,3.7,,,,,,,,25,60,15,,,
2008,10,3.5,,,,,,,5,10,60,25,,,
2008,14,3.5,0,0,0,0,0,.05,1,17,65,16.9,,,
2008,15,3.5,,,,,,,,30,70,,,,
2008,16,3.8,0,0,0,0,0,2,10,25,35,28,,,
2008,19,3.6,,,,,,,10,30,50,10,,,
2008,20,3.8,,,,,,,,10,60,30,,,
2008,23,3.6,,,,,,,5,35,55,5,,,
2008,24,3.5,,,,,,,,40,60,,,,
2008,26,3.8,,,,,,,,20,65,15,,,
2008,28,3.5,,,,.5,5,8,15,27.5,27,17,,,
2008,29,3.5,,,,,,,,20,60,20,,,
2008,30,3.8,,,,,,,,5,85,10,,,
2008,31,3.4,,,,,,,20,60,15,5,,,
2008,32,3.3,,,,,,2,22,38,28,10,,,
2008,33,3,,,,,,,50,50,,,,,
2008,35,2.5,,,,,,50,40,10,,,,,
2008,37,3.6,,,,,,,,40,60,,,,
2008,38,3.8,,,,,,,,,70,30,,,
2008,41,3.4,,,,,,,,60,40,,,,
2008,42,3.4,,,,,,,20,50,30,,,,
2008,45,3.5,,,,,,,,60,40,,,,
2008,47,3.6,0,0,0,0,5,10,20,30,35,0,,,
2008,48,3.5,,,,,,,,45,55,,,,
2008,52,3.7,,,,,,,,10,85,5,,,
2008,54,3.7,,,,,,,,25,50,25,,,
2008,56,3.54095821296891,0,0,0,0,0,0,0,22,70,8,,,
2008,57,3.4,,,,,,,,,,,,,
2008,58,3.5,0,0,0,0,0,0,0,0,100,0,,,
2008,59,3.6,,,,,,,,,,,,,
2008,60,3.7,,,,,,,,5,90,5,,,
2008,61,3.4,,,,,,,10,40,40,10,,,
2008,63,3.7,0,0,0,0,0,0,0,20,70,10,,,
2008,70,3.7,,,,,,,,25,75,,,,
2008,72,3.6,,,,,,,,20,70,10,,,
2008,73,4,,,,,,,10,10,70,10,,,
2008,76,3.6,.000000000000000000000000000000000000000000000000000291230353487754,.0000000000000000000000000000000000000102182359825307,.00000000000000000000000000349802203343465,.0000000000000000118082939406597,.000000000400485629160329,.000141647667950147,.6,34.3,39.5,25.6,,,
2008,82,3.8,,,,,,,,12,70,18,,,
2008,84,3.6,0,0,0,0,0,0,0,20,70,10,,,
2008,88,3.7,,,,,,,10,20,40,30,,,
2008,89,3.5,,,,,,,15,30,40,15,,,
2008,90,3.6,0,0,0,0,0,0,0,40,60,0,,,
2008,93,3.6,,,,,,,,30,70,,,,
2008,94,3.9,,,,,,,10,45,45,,,,
2008,95,3.7,0,0,0,0,0,0,0,40,60,0,,,
2008,96,3.6,,,,,,,,10,75,15,,,
2008,97,3.7,0,0,0,0,0,0,0,20,60,20,,,
2008,98,3.5,,,,,,,10,35,45,10,,,
2008,100,3.7,,,,,,,,10,70,20,,,
2008,101,3.6,0,0,0,0,0,0,5,35,50,10,,,
2008,102,3.7,,,,,,,,5,90,5,,,
2008,103,3.5,,,,,,,,20,70,10,,,
2008,104,3.3,0,0,0,0,0,0,20,40,30,10,,,
2008,107,3.6,0,0,8.405112026235180000000000000000000000000000000000000000000000000000000000000000000000000000000E-109,.0000000000000000000000000000000000000000000000000000000000000000000000472850501896251,.0000000000000000000000000000000000000000273808510473365,.000000000000000000170200841399378,.0000127302750731882,19.5157195967405,80.4547695536843,.0294981193000643,,,
2008,108,3.6,,,,,,,,13,87,,,,
2009,5,2.7,,,,,,15,65,10,10,,,,
2009,7,2.8,,,,,,,,,,,,,
2009,8,2.6,,,,,5,35,40,15,5,,,,
2009,10,2.4,,,,5,15,50,25,5,,,,,
2009,14,2.9,,,,,,,,,,,,,
2009,15,2.6,,,,,,35,45,15,5,,,,
2009,16,2.9,0,0,0,5,8,22,28,18,12,7,,,
2009,19,2.4,,,,,25,50,15,10,,,,,
2009,20,2.9,,,,,10,20,30,20,10,10,,,
2009,23,2.7,,,3,5,15,22,30,18,5,2,,,
2009,24,2.1,,,,,35,45,20,,,,,,
2009,26,2.5,,,,,15,35,40,10,,,,,
2009,28,2.4,,2,5,7,15,30,20,13,5,3,,,
2009,29,3.1,,,,,,,30,50,20,,,,
2009,30,2.7,,,,,,10,80,10,,,,,
2009,31,2.3,,,,,15,60,15,10,,,,,
2009,32,2.8,,,1,7,17,20,25,20,8,2,,,
2009,33,2.8,,,,,,20,40,40,,,,,
2009,35,2.3,,,,,,80,20,,,,,,
2009,37,2.5,,,,,10,40,40,10,,,,,
2009,38,2.6,,,,,,10,60,30,,,,,
2009,41,2.5,,,,,,30,70,,,,,,
2009,42,2.5,,,,,10,35,50,5,,,,,
2009,45,2.5,,,,,10,30,30,20,10,,,,
2009,47,2.4,0,0,10,15,20,30,20,5,0,0,,,
2009,48,2.9,,,,,,5,60,35,,,,,
2009,52,2.9,,,,,,,75,25,,,,,
2009,54,3.1,,,,,,,30,50,20,,,,
2009,56,2.1558447796558,0,0,0,0,15,70,15,0,0,0,,,
2009,57,2.4,,,,,,,,,,,,,
2009,58,2.9,0,0,0,0,0,6.09999999999999,52.5,40.3,1.1,0,,,
2009,59,2.1,,,,,,,,,,,,,
2009,60,2.5,,,,,5,15,60,15,5,,,,
2009,61,2.3,,,,5,20,50,20,5,,,,,
2009,63,2.9,0,0,0,0,20,20,30,30,0,0,,,
2009,70,2.5,,,,,,15,65,20,,,,,
2009,72,2.5,,,2,10,15,18,23,15,10,7,,,
2009,73,3,,,,,,,10,40,40,10,,,
2009,76,1.9,1.26860066094021,3.69888967744219,9.46229480799673,17.2708786367068,22.4575943541702,21.0437453592186,14.3173763464564,7.09641653219252,2.9,.5,,,
2009,82,2.5,,,,,5,35,55,5,,,,,
2009,84,2.7,0,0,0,0,2,20,40,22,11,5,,,
2009,88,2.6,,,,5,10,15,25,20,15,10,,,
2009,89,2.5,,,,,,15,40,30,15,,,,
2009,90,2.1,0,0,0,0,40,40,20,0,0,0,,,
2009,93,2.5,,,,,,40,55,5,,,,,
2009,94,2.4,,,,,17.5,30,42.5,10,,,,,
2009,95,2.5,0,0,0,0,15,34,37,12,2,0,,,
2009,96,2.4,,,,,10,50,30,10,,,,,
2009,97,2.5,0,0,0,5,10,25,30,15,10,5,,,
2009,98,2.1,,,,5,20,40,30,5,,,,,
2009,100,2.4,,,,5,15,50,25,5,,,,,
2009,101,2.8,0,0,0,0,5,30,50,10,5,0,,,
2009,102,2.6,,,,,10,15,50,20,5,,,,
2009,103,2.3,,,,,20,50,20,10,,,,,
2009,104,2.9,0,0,0,0,15,30,40,15,0,0,,,
2009,107,2.3,0,.0000916513957344954,.0283932518236107,1.67014546900097,19.6277186810782,48.8714919528987,26.6248249332435,3.10384753124389,.0731559250413794,.000330549944105307,,,
2009,108,2.6,,,,,,31,68,1,,,,,
2009Jun,5,2.5,,,,,15,20,50,15,,,,,
2009Jun,7,2.6,,,,,,,,,,,,,
2009Jun,8,2.3,,,,,15,40,30,10,5,,,,
2009Jun,10,2.3,,,,5,15,50,20,10,,,,,
2009Jun,14,3.2,,,,,,,,,,,,,
2009Jun,15,2.4,,,,,20,35,30,10,5,,,,
2009Jun,16,2.9,0,0,0,5,8,22,28,18,12,7,,,
2009Jun,19,2.7,,,,,,,,,,,,,
2009Jun,20,2.8,,,,,10,20,30,25,10,5,,,
2009Jun,23,2.4,,2,5,15,18,25,20,10,5,,,,
2009Jun,24,1.7,,,,20,60,20,,,,,,,
2009Jun,26,2.3,,,,,30,40,30,,,,,,
2009Jun,28,2.5,,2,5,7,15,25,23,15,5,3,,,
2009Jun,29,3.1,,,,,,,30,50,20,,,,
2009Jun,30,2.6,,,,,,20,75,5,,,,,
2009Jun,31,2.2,,,,,20,40,30,10,,,,,
2009Jun,32,2.2,,1,1,7,17,20,25,20,7,2,,,
2009Jun,33,2.9,,,,,,10,40,50,,,,,
2009Jun,35,,,,,,,,,,,,,,
2009Jun,37,2.3,,,,,10,70,20,,,,,,
2009Jun,38,2.3,,,,,,60,40,,,,,,
2009Jun,41,2.5,,,,,,,,,,,,,
2009Jun,42,2.4,,,,,25,50,25,,,,,,
2009Jun,45,,,,,,,,,,,,,,
2009Jun,47,2.1,0,2,5,10,20,30,20,10,3,0,,,
2009Jun,48,2.8,,,,,,20,50,30,,,,,
2009Jun,52,2.8,,,,,,5,80,15,,,,,
2009Jun,54,2.8,,,,,,25,50,25,,,,,
2009Jun,56,2,0,0,0,0,15,75,10,0,0,0,,,
2009Jun,57,,,,,,,,,,,,,,
2009Jun,58,,,,,,,,,,,,,,
2009Jun,59,1.54,,,,,,,,,,,,,
2009Jun,60,2.3,,,,,20,60,20,,,,,,
2009Jun,61,2,,,5,15,30,30,15,5,,,,,
2009Jun,63,3.1,0,0,0,0,0,10,20,50,20,0,,,
2009Jun,70,2.2,,,,,15,80,5,,,,,,
2009Jun,72,2.5,,,2,10,15,18,23,15,10,7,,,
2009Jun,73,,,,,,,,,,,,,,
2009Jun,76,1.7,1.9,3.9,10.1,17.2708786367068,24.2,19.2,13.3,6.9,2.7,.5,,,
