INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2007,1,2,,,,5,30,45,15,5,,,,,
2007,2,1.8,,,2,15,42,37,4,,,,,,
2007,3,2.1,,,,,40,40,20,,,,,,
2007,4,2,,,,,30,60,10,,,,,,
2007,5,2.1,,,,5,40,50,5,,,,,,
2007,7,1.8,,,,,,,,,,,,,
2007,10,2.1,.283168854786597,.993175442804239,4.58328779222508,12.5463770833753,22.3691240354425,25.9862325758302,19.6720240647744,9.7024114019466,3.86419874881503,,,,
2007,11,1.9,,,,,50,45,5,,,,,,
2007,14,1.9,,,,,50,50,,,,,,,
2007,15,1.9,,,,5,55,35,5,,,,,,
2007,16,2.1,0,0,2,10,28,38,19,2,1,,,,
2007,18,2,,,,10,40,40,10,,,,,,
2007,19,1.9,,,,,60,40,,,,,,,
2007,20,1.8,,,,20,55,25,,,,,,,
2007,22,1.9,0,0,0,5,50,40,5,,,,,,
2007,23,1.8,,,5,20,35,25,10,5,,,,,
2007,24,1.91708839740516,,,,10,50,30,10,,,,,,
2007,26,1.8,,,,15,45,30,10,,,,,,
2007,28,1.7,,,5,20,40,20,10,5,,,,,
2007,30,2.1,,,,,20,80,,,,,,,
2007,31,2.1,0,0,.5,1.5,40,55,2.5,.5,0,,,,
2007,32,2,1,4,10,15,25,30,12,2,1,,,,
2007,33,2,,,,,50,50,,,,,,,
2007,35,2.1,,,,,20,70,10,,,,,,
2007,36,2.3,,,,,20,50,30,,,,,,
2007,37,2.1,,,,,30,70,,,,,,,
2007,38,2,,,,,40,45,15,,,,,,
2007,39,2.3,,,,5,10,50,25,10,,,,,
2007,40,2,,,,,10,90,,,,,,,
2007,41,,,,,,35,65,,,,,,,
2007,42,2.1,,,,,40,55,5,,,,,,
2007,45,2.1,,,,,20,60,20,,,,,,
2007,47,2,0,1,5,10,35,45,4,0,0,,,,
2007,48,2,,,,,,,,,,,,,
2007,52,2.1,,,,,30,70,,,,,,,
2007,54,1.9,,,,20,50,30,,,,,,,
2007,56,2.1,,,,,30,65,5,,,,,,
2007,57,2.1,,,,,,,,,,,,,
2007,58,1.8,0,0,0,18.2,47.5,34.2,.1,0,0,,,,
2007,59,1.9,,,,5,50,45,,,,,,,
2007,60,2.1,,,,5,45,45,5,,,,,,
2007,61,2.2,,,,0,35,50,15,,,,,,
2007,63,1.8,,,,10,75,10,5,,,,,,
2007,67,2,,,,10,25,30,25,10,,,,,
2007,68,2,1,3,8,10,25,31,18,3,1,,,,
2007,70,2,,,,,40,60,,,,,,,
2007,72,2.1,0,0,0,10,35,45,10,0,0,,,,
2007,73,2.1,,,,,45,55,,,,,,,
2007,76,1.96968275507603,.0000932586373576694,.0185283387177412,.917884331107916,11.6860689935133,39.5948280166461,37.0871172909215,9.93036156010513,.749568342735074,.0155498676159049,,,,
2007,82,2,0,0,0,0,49,51,0,0,0,,,,
2007,84,2.2,0,0,0,0,33,43,22,2,0,,,,
2007,85,1.8,,,,10,70,20,,,,,,,
2007,88,1.9,,,,5,35,30,20,10,,,,,
2007,89,2,,,,,25,40,35,,,,,,
2007,90,1.9,0,0,0,20,70,10,0,0,0,,,,
2007,91,1.6,0,0,0,0,40,35,15,10,0,,,,
2007,92,1.7,.0000054796,.0024232604,.61853726,16.804034,55.9766,25.1631,1.4265,.0087999999999977,0,,,,
2007,93,2.2,,,,,20,60,20,,,,,,
2007,94,2.1,,,,10,30,35,20,5,,,,,
2007,95,2.2,0,0,0,0,27,56,17,0,0,,,,
2007,97,1.8,1,1,3,20,60,10,4,1,,,,,
2007,98,2.1,,,,,30,55,15,,,,,,
2007,99,2,,,,10,25,55,10,,,,,,
2007,100,2.2,,,,5,20,50,20,5,,,,,
2007Dec,1,2,,,,10,30,30,20,10,,,,,
2007Dec,2,1.9,,,4,14,40,36,6,,,,,,
2007Dec,3,2,,,,10,30,40,20,,,,,,
2007Dec,4,1.9,,,,10,25,55,10,,,,,,
2007Dec,5,2,,,,20,30,40,10,,,,,,
2007Dec,7,1.5,,,,,,,,,,,,,
2007Dec,10,2.1,.25551906415251,.915007153936176,4.30940272729891,12.0524634697761,21.9539044416807,26.0558728018433,20.151708104342,10.154304207534,4.15181802943636,,,,
2007Dec,11,1.9,,,,,60,35,5,,,,,,
2007Dec,14,,,,,,,,,,,,,,
2007Dec,15,1.8,,,,10,55,30,5,,,,,,
2007Dec,16,1.9,0,0,2,11,35,30,19,2,1,,,,
2007Dec,18,2,,,,,,,,,,,,,
2007Dec,19,1.8,,,,,75,25,,,,,,,
2007Dec,20,1.8,,,,20,55,25,,,,,,,
2007Dec,22,1.9,0,0,0,5,50,40,5,,,,,,
2007Dec,23,1.9,,3,10,20,30,24,10,3,,,,,
2007Dec,24,2.03279259973932,,,,,45,45,10,,,,,,
2007Dec,26,2,,,,10,40,40,10,,,,,,
2007Dec,28,1.9,,,,10,35,30,20,5,,,,,
2007Dec,30,2.1,,,,,30,70,,,,,,,
2007Dec,31,2.2,0,0,.5,2,30,60,7,.5,0,,,,
2007Dec,32,1.9,1,5,10,21,30,25,7,1,,,,,
2007Dec,33,2,,,,,50,50,,,,,,,
2007Dec,35,2.1,,,,,20,70,10,,,,,,
2007Dec,36,2.3,,,,,20,50,30,,,,,,
2007Dec,37,2,,,,,50,50,,,,,,,
2007Dec,38,2.2,,,,,40,45,15,,,,,,
2007Dec,39,2.6,,,,0,10,35,45,10,,,,,
2007Dec,40,,,,,,,,,,,,,,
2007Dec,41,,,,,,,,,,,,,,
2007Dec,42,2,,,,,35,60,5,,,,,,
2007Dec,45,,,,,,,,,,,,,,
2007Dec,47,2.2,0,2,5,13,23,35,17,5,0,,,,
2007Dec,48,2,,,,,,,,,,,,,
2007Dec,52,2.2,,,,,20,80,,,,,,,
2007Dec,54,2,,,,20,30,50,,,,,,,
2007Dec,56,2.2,,,,,30,65,5,,,,,,
2007Dec,57,,,,,,,,,,,,,,
2007Dec,58,,,,,,,,,,,,,,
2007Dec,59,2.1,,,,5,40,50,5,,,,,,
2007Dec,60,2.3,,,,,40,50,10,,,,,,
2007Dec,61,2.3,,,,0,35,50,15,,,,,,
2007Dec,63,1.9,,,,10,70,15,5,,,,,,
2007Dec,67,2,,,,10,25,30,25,10,,,,,
2007Dec,68,,,,,,,,,,,,,,
2007Dec,70,1.9,,,,,55,45,,,,,,,
2007Dec,72,2.1,0,0,1,12,34,39,13,1,0,,,,
2007Dec,73,,,,,,,,,,,,,,
2007Dec,76,2.15406467928749,,,,,,,,,,,,,
2007Dec,82,2,0,0,,0,49,51,0,0,0,,,,
2007Dec,84,2.1,0,0,0,10,30,40,15,5,0,,,,
2007Dec,85,1.9,,,5,15,50,25,5,,,,,,
2007Dec,88,2.4,,,,5,15,35,30,10,5,,,,
2007Dec,89,1.9,,,,10,40,35,15,,,,,,
2007Dec,90,2.2,0,0,0,0,30,70,0,0,0,,,,
2007Dec,91,1.9,0,0,0,0,40,40,10,10,0,,,,
2007Dec,92,1.9,.00974966,.15374134,2.331699,13.84941,33.6554,33.6554,13.8494,2.33169999999999,.163500000000005,,,,
2007Dec,93,2.2,,,,,20,60,20,,,,,,
2007Dec,94,2.4,,,,2,20,45,27,6,,,,,
2007Dec,95,2.1,0,0,1,8,29,44,18,0,0,,,,
2007Dec,97,1.8,1,1,3,20,60,10,4,1,,,,,
2007Dec,98,2.3,,,,5,20,40,30,5,,,,,
2007Dec,99,1.9,,,,10,55,25,10,,,,,,
2007Dec,100,2.3,,,1,4,22.5,45,22.5,4,1,,,,
2008,1,2,,,,5,25,40,20,10,,,,,
2008,2,1.9,,,4,14,37,37,8,,,,,,
2008,3,1.9,,,,10,40,40,10,,,,,,
2008,4,2.4,,,,,20,50,30,,,,,,
2008,5,1.8,,,,20,50,30,,,,,,,
2008,7,1.7,,,,,,,,,,,,,
2008,10,2,.448322627011832,1.42794749682622,6.00162167655952,14.8853406789587,24.0486235527335,25.3167687982003,17.3671475033531,7.76133953364227,2.74288813271458,,,,
2008,11,1.8,,,,5,75,20,,,,,,,
2008,14,1.7,,,,20,60,20,,,,,,,
2008,15,1.7,,,,10,60,25,5,,,,,,
2008,16,1.8,0,0,2,25,35,25,10,2,1,,,,
2008,18,2,,,,,,,,,,,,,
2008,19,2,,,,,50,50,,,,,,,
2008,20,1.9,,,10,20,30,30,10,,,,,,
2008,22,1.8,0,0,0,10,60,20,10,,,,,,
2008,23,1.6,1,3,10,22,27,20,10,5,2,,,,
2008,24,1.70924841487945,,,5,25,45,15,10,,,,,,
2008,26,1.8,,,,12.5,42.5,32.5,12.5,,,,,,
2008,28,1.7,,,5,25,30,30,6,4,,,,,
2008,30,1.8,,,,,70,30,,,,,,,
2008,31,1.9,0,0,.5,2.5,55,40,1.5,.5,0,,,,
2008,32,1.8,1,5,10,15,27,23,15,3,1,,,,
2008,33,1.8,,,,,80,20,,,,,,,
2008,35,2,,,,,30,60,10,,,,,,
2008,36,2.4,,,,,15,50,35,,,,,,
2008,37,2,,,,,50,50,,,,,,,
2008,38,1.8,,,,,45,40,15,,,,,,
2008,39,2.2,,,,5,30,45,15,5,,,,,
2008,40,,,,,,,,,,,,,,
2008,41,,,,,,60,40,,,,,,,
2008,42,2,,,,,30,65,5,,,,,,
