INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2008,1,2.6,,,,,5,20,60,15,,,,,
2008,2,2.9,,,,,,12,40,35,13,,,,
2008,4,3.1,,,,,,,35,65,,,,,
2008,7,3.1,,,,,,,,,,,,,
2008,8,3.2,,,,,,,15,50,35,,,,
2008,10,3,.0000000990121873378769,.00000988442783178556,.00132542629344146,.0673847983456044,1.32161968275293,10.1166332809387,30.5670581115565,36.7404353228451,21.1855333938276,,,,
2008,14,3.1,,,,,,,40,60,,,,,
2008,15,2.8,,,,,,5,65,30,,,,,
2008,16,3.1,0,0,1,4,6,11,25,30,23,,,,
2008,22,2.9,0,0,0,0,0,20,45,35,,,,,
2008,23,3.2,0,0,0,0,0,0,25,50,25,,,,
2008,24,3,,,,,,,40,60,,,,,
2008,26,3.4,,,,,,5,25,40,30,,,,
2008,28,3.3,,,.5,4.5,8,15,24,30,18,,,,
2008,29,3.1,,,,,,,10,60,30,,,,
2008,30,3,,,,,,,25,75,,,,,
2008,32,3,0,0,0,2,5,15,26,32,20,,,,
2008,33,3.3,,,,,,,,90,10,,,,
2008,35,2.3,,,,,,80,20,,,,,,
2008,37,3.1,,,,,,10,30,60,,,,,
2008,38,3.2,,,,,,,,60,40,,,,
2008,39,3.2,,,,,,,10,85,5,,,,
2008,41,3.2,,,,,,,30,70,,,,,
2008,42,3,,,,,,15,35,45,5,,,,
2008,45,2.8,,,,,,,80,20,,,,,
2008,47,3,0,0,2,8,19,30,31,10,0,,,,
2008,48,2.9,0,0,0,0,0,0,80,20,,,,,
2008,52,3.1,,,,,,,20,80,,,,,
2008,54,3.1,,,,,,,50,50,,,,,
2008,57,3,,,,,,,,,,,,,
2008,59,3.2,,,,,,,20,60,20,,,,
2008,60,3,,,,,,,40,60,,,,,
2008,61,2.7,,,,,,20,50,30,,,,,
2008,63,3,,,,,,,10,75,15,,,,
2008,67,3,,,,,,10,20,40,30,,,,
2008,68,2.6,,,,,,5,80,15,,,,,
2008,73,2.6,,,,,,50,45,5,,,,,
2008,76,2.8,.0000000000350858932386198,.000000135175409391467,.000118649087591848,.0241088215524912,1.16252257176715,13.7762830910064,41.5812546294673,34.4228730272369,9.03283907467164,,,,
