INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2005,1,2.2,,,,3,27,40,25,5,,,,,
2005,5,2,,,,,45,55,,,,,,,
2005,7,1.9,,,,,,,,,,,,,
2005,9,1.9,,,,,60,40,,,,,,,
2005,11,2,,,,,50,50,,,,,,,
2005,14,2.1,,,,,20,80,,,,,,,
2005,16,2,0,0,8,17,24,19,18,10,4,,,,
2005,17,2,,,5,10,35,35,10,5,,,,,
2005,18,2,,,,,,,,,,,,,
2005,19,2,,,,,50,50,,,,,,,
2005,20,2,,,,,10,90,,,,,,,
2005,23,1.9,,,,1,50,48,1,,,,,,
2005,24,2.1,,,,,35,45,20,,,,,,
2005,26,2.1,,,,,40,60,,,,,,,
2005,28,2,,,,,30,50,20,,,,,,
2005,30,2,,,,,20,80,,,,,,,
2005,31,2.1,,,,,10,90,,,,,,,
2005,32,2,,,,5,20,50,20,5,,,,,
2005,33,2.5,,,,,,50,50,,,,,,
2005,35,2.1,,,,,20,80,,,,,,,
2005,37,2.1,,,,,35,65,,,,,,,
2005,38,2.2,,,,,10,90,,,,,,,
2005,39,2.2,,,,,15,70,15,,,,,,
2005,41,2.1,,,,,20,80,,,,,,,
2005,42,2,,,,,45,55,,,,,,,
2005,45,2.1,,,,,10,80,10,,,,,,
2005,47,2.1,0,0,0,0,12,80,8,0,0,,,,
2005,48,2,,,,,,,,,,,,,
2005,50,1.9,,,,,75,25,,,,,,,
2005,52,2,,,,,40,60,,,,,,,
2005,54,2,,,,10,40,50,,,,,,,
2005,56,2,0,0,0,0,10,84,5,1,0,,,,
2005,57,2,,,,,,,,,,,,,
2005,59,2.1,,,,,,70,30,,,,,,
2005,60,1.9,,,,10,50,30,10,,,,,,
2005,63,1.9,,,,,60,40,,,,,,,
2005,70,2,,,,,40,60,,,,,,,
2005,72,2.1,,,,,30,70,,,,,,,
2005,73,2,,,,,40,60,,,,,,,
2005,76,2,,,,4.54545455,40.90909091,50,4.54545455,,,,,,
2005,80,2.3,0,0,.00000294,.03198655,7.95647397,64.66968759,26.89027266,.45138349,.0001928,,,,
2005,82,1.9,,,,,,,,,,,,,
