INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2003,3,2,0,0,0,10,40,40,10,0,0,,,,
2003,4,1.8,,,,,70,30,,,,,,,
2003,5,2,,,,5,35,60,,,,,,,
2003,7,1.8,,,,,,,,,,,,,
2003,9,2.2,,,,,30,60,10,,,,,,
2003,11,1.9,,,,20,60,20,,,,,,,
2003,14,2.1,,,,,25,75,,,,,,,
2003,16,2.1,0,2,10,18,22,24,16,5,3,,,,
2003,17,2,,,5,15,35,35,10,,,,,,
2003,20,1.8,,,,,100,,,,,,,,
2003,22,2,0,0,0,10,40,40,10,,,,,,
2003,23,1.9,,,,10,40,35,15,,,,,,
2003,24,1.9,,,,15,40,40,5,,,,,,
2003,26,1.9,,,,,60,40,,,,,,,
2003,29,2,,,,,10,75,15,,,,,,
2003,30,2,,,,,50,50,,,,,,,
2003,31,2.2,,,,,35,65,,,,,,,
2003,32,2.3,,,,5,30,45,15,5,,,,,
2003,33,2.2,,,,,20,50,20,10,,,,,
2003,35,2.2,,,,,,100,,,,,,,
2003,37,1.9,,,,,60,40,,,,,,,
2003,41,2.2,,,,,10,80,10,,,,,,
2003,47,2.1,,,,,35,65,,,,,,,
2003,48,2.2,,,,,15,80,5,,,,,,
2003,50,1.8,,,,,75,25,,,,,,,
2003,52,1.9,,,,5,55,40,,,,,,,
2003,53,2,,,,,30,70,,,,,,,
2003,54,1.9,,,,20,40,30,10,,,,,,
2003,56,1.9,,,,,60,32,8,,,,,,
2003,57,2.1,,,,,,,,,,,,,
2003,59,1.9,0,0,0,15,55,20,10,,,,,,
2003,60,2,,,5,17.5,30,27.5,17.5,2.5,,,,,
2003,62,1.5,,,,15,70,15,,,,,,,
2003,63,1.9,,,,,55,45,,,,,,,
2003,67,2.3,,,,5,10,50,30,5,,,,,
2003,68,1.8,1,1,4,15,39,25,10,4,1,,,,
2003,71,1.8,0,0,5,20,40,30,5,0,0,,,,
2003,72,2,,,1,25,31,31,10,2,,,,,
2003,73,1.5,,,,30,60,10,,,,,,,
2003,76,1.8,,,2,15,60,20,3,,,,,,
2003,80,1.7,.00000157,.00386145,.88143894,20.5744564,57.08048328,20.5744564,.88143894,.00386145,.00000157,,,,
2003,82,2,,,,10,25,45,15,5,,,,,
2003,84,2,0,0,0,1,40,43,15,1,0,,,,
2003,85,2.2,,,,,20,70,10,,,,,,
2003,87,2,,,,15,30,40,15,,,,,,
2003,89,2.2,,,,,35,50,15,,,,,,
2003,90,2.2,,,,,10,90,,,,,,,
2003,91,2.2,0,.2004008,2.00400802,9.91983968,24.8496994,32.26452906,21.74348697,7.61523046,1.40280561,,,,
2003,92,2.2,0,.0003401,.05737129,2.21740237,20.38861943,46.48612431,26.84904245,3.87109355,.1300065,,,,
2003,93,2,,,,,35,65,,,,,,,
2003,94,2,,,,10,25,30,25,10,,,,,
2003,95,1.8,0,0,5,27,40,21,7,0,0,,,,
2003,96,2.3,,,,,30,45,20,5,,,,,
2004,3,1.6,0,0,10,30,40,20,0,0,0,,,,
2004,4,1.3,,,5,55,35,5,,,,,,,
2004,5,1.7,,,,,80,20,,,,,,,
2004,7,1,,,,,,,,,,,,,
2004,9,2.1,,,,,40,50,10,,,,,,
2004,11,1.6,,,,20,60,20,,,,,,,
2004,14,1.5,,,,30,60,10,,,,,,,
2004,16,1.8,0,2,12,20,23,20,15,5,3,,,,
2004,17,1.4,,5,10,30,30,20,5,,,,,,
2004,20,1.8,,,,,100,,,,,,,,
2004,22,1.5,0,5,10,25,45,10,5,,,,,,
2004,23,1.5,,5,15,30,30,15,5,,,,,,
2004,24,1.5,,,15,25,45,10,5,,,,,,
2004,26,1.6,,,5,25,40,25,5,,,,,,
2004,29,1.8,,,,25,70,5,,,,,,,
2004,30,1.9,,,,,55,45,,,,,,,
2004,31,1.9,,,,10,50,40,,,,,,,
2004,32,1.9,,,5,15,35,30,10,5,,,,,
2004,33,2,,,,,50,50,,,,,,,
2004,35,,,,,,,,,,,,,,
2004,37,2,,,,,50,50,,,,,,,
2004,41,1.8,,,,,70,30,,,,,,,
2004,47,1.7,,,,20,80,,,,,,,,
2004,48,1.9,,,,5,80,15,,,,,,,
2004,50,1.6,,,,,90,10,,,,,,,
2004,52,1.3,,,10,40,30,20,,,,,,,
2004,53,1.9,,,,,60,40,,,,,,,
2004,54,1.5,,,10,30,40,20,,,,,,,
2004,56,1.6,,,2,15,62,15,5,1,,,,,
2004,57,1.8,,,,,,,,,,,,,
2004,59,1.5,,,10,40,40,10,,,,,,,
2004,60,1.6,,5,10,25,30,15,10,5,,,,,
2004,62,1.5,,,,10,60,30,,,,,,,
2004,63,1.6,,,,20,50,30,,,,,,,
2004,67,2.5,,,,5,10,25,30,20,10,,,,
2004,68,1.6,1,3,10,20,39,20,4,2,1,,,,
2004,71,1.4,0,7,13,30,25,15,7,3,0,,,,
2004,72,1.6,5,6,11,18,20,16,11,8,5,,,,
2004,73,1,,5,15,60,20,,,,,,,,
2004,76,1,,2.5,30,40,20,5,2,.5,,,,,
2004,80,1.2,.63699648,6.1142758,24.16617466,38.16510612,24.16617466,6.1142758,.61259958,.02402981,.00036709,,,,
2004,82,1.4,,,10,40,30,15,5,,,,,,
2004,84,1.8,0,0,2,16,40,31,10,1,0,,,,
2004,85,1.8,,,,10,60,25,5,,,,,,
2004,87,1.4,,,15,35,30,15,5,,,,,,
2004,89,1.8,,,,20,40,30,10,,,,,,
2004,90,1.7,,,,5,90,5,,,,,,,
2004,91,2.2,0,0,.4,5.6,26.8,41.9,21.5,3.6,.2,,,,
2004,92,1.8,.50641872,1.7686609,7.65237783,18.45883606,27.29575535,24.75256634,13.76458176,4.69076418,1.11003885,,,,
2004,93,1.8,,,,5,70,25,,,,,,,
2004,94,2.2,,,,10,25,30,25,10,,,,,
