INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2009,1,.4,,,,,5,50,45,,,,,,,,,,,,,,,
2009,3,.4,,,,,,60,40,,,,,,,,,,,,,,,
2009,4,.3,,,,,10,80,10,,,,,,,,,,,,,,,
2009,5,0,,,,,20,70,10,,,,,,,,,,,,,,,
2009,7,.1,,,,,,,,,,,,,,,,,,,,,,
2009,8,.3,,,,,,90,10,,,,,,,,,,,,,,,
2009,10,.255,,,,,.11,97.27,2.62,,,,,,,0,,,,,,,,
2009,14,.2,,,,,,,,,,,,,,,,,,,,,,
2009,15,.3,,,,,,80,20,,,,,,,,,,,,,,,
2009,16,.2,,,2,7,19,33,21,13,4,1,,,,,,,,,,,,
2009,20,.3,,,,,,85,15,,,,,,,,,,,,,,,
2009,22,.2,,,,,5,85,10,,,,,,,,,,,,,,,
2009,23,.3,,,,,,70,30,,,,,,,,,,,,,,,
2009,29,.2,,,,,30,60,10,,,,,,,,,,,,,,,
2009,31,.2,,,,,10,45,35,10,,,,,,,,,,,,,,
2009,33,.2,,,,,10,90,,,,,,,,,,,,,,,,
2009,35,.4,,,,,,70,30,,,,,,,,,,,,,,,
2009,37,.2,,,,,2,96,2,,,,,,,,,,,,,,,
2009,38,.3,,,,,,70,30,,,,,,,,,,,,,,,
2009,39,.3,,,,,,90,10,,,,,,,,,,,,,,,
2009,40,.3,,,,,,100,,,,,,,,,,,,,,,,
2009,41,.2,,,,,,90,10,,,,,,,,,,,,,,,
2009,42,.3,,,,,10,55,30,5,,,,,,,,,,,,,,
2009,48,.3,0,0,0,10,10,50,20,10,0,0,0,0,0,0,,,,,,,,
2009,49,.2,,,,5,10,70,10,5,,,,,,,,,,,,,,
2009,50,.4,,,,,,90,10,,,,,,,,,,,,,,,
2009,52,.3,0,2,5,12,18,30.8,18,8,6,.2,0,0,,,,,,,,,,
2009,54,.3,,,,,10,70,20,,,,,,,,,,,,,,,
2009,57,.2,,,,,,,,,,,,,,,,,,,,,,
2009,58,.6,,,,,,,,,,,,,,,,,,,,,,
2009,59,.2,,,,,15,70,15,,,,,,,,,,,,,,,
2009,61,.2,,,,,30,45,25,,,,,,,,,,,,,,,
2009,63,.3,,,,,2,90,8,,,,,,,,,,,,,,,
2009,65,.4,,,,,,70,30,,,,,,,,,,,,,,,
2009,68,.3,,,,,20,40,40,,,,,,,,,,,,,,,
2009,70,.4,,,,,,90,10,,,,,,,,,,,,,,,
2009,73,.3,,,,,40,55,5,,,,,,,,,,,,,,,
2009,82,.4,,,,,,,,,,,,,,,,,,,,,,
2009,84,.2,,,,,10,70,20,,,,,,,,,,,,,,,
2009,88,.3,,,2.5,7.5,20,40,20,7.5,2.5,,,,,,,,,,,,,
2009,89,.3,,,,,5,60,30,5,,,,,,,,,,,,,,
2009,90,.3,,,,,,85,15,,,,,,,,,,,,,,,
2009,91,.2,,,,,10,80,10,,,,,,,,,,,,,,,
2009,93,.3,,,,,10,70,20,,,,,,,,,,,,,,,
2009,94,.3,,,,,5,80,10,5,,,,,,,,,,,,,,
2009,95,.4306952,,,,,4,66,27,3,,,,,,,,,,,,,,
2009,96,.3,,,,,,65,35,,,,,,,,,,,,,,,
2009,97,.3,,,,,,,,,,,,,,,,,,,,,,
2009,98,.3,,,,,10,70,20,,,,,,,,,,,,,,,
2009,99,.3,,,,,,80,20,,,,,,,,,,,,,,,
2009,101,.3,,,,,,75,25,,,,,,,,,,,,,,,
2009,102,.3,,,,,2,90,8,,,,,,,,,,,,,,,
2009,103,.3,,,,,15,70,15,,,,,,,,,,,,,,,
2009,104,.3,,,,,,40,30,20,10,,,,,,,,,,,,,
2009,106,.2,0,0,0,0,0,100,,,,,,,,,,,,,,,,
2009,107,.3,,,,,,100,,,,,,,,,,,,,,,,
2009,108,.265,,,2.7,12.24,22.1,31.09,23.13,8.74,,,,,,,,,,,,,,
2010,1,.8,,,,3,10,20,35,20,10,2,,,,,,,,,,,,
2010,3,.8,,,,,,20,40,30,10,,,,,,,,,,,,,
2010,4,1.2,,,,,5,10,10,60,10,5,,,,,,,,,,,,
2010,5,1.2,,,,,,5,30,60,5,,,,,,,,,,,,,
2010,7,.6,,,,,,,,,,,,,,,,,,,,,,
2010,8,1.3,,,,,2,9,23,29,26,9,2,,,,,,,,,,,
2010,10,1.30175,,.01,.08,.59,2.9,9.2,19.13,25.88,22.81,13.1,4.9,1.19,.19,.02,,,,,,,,
2010,14,.5,,,,,,,,,,,,,,,,,,,,,,
2010,15,1.25,,,,,,10,15,40,35,0,,,,,,,,,,,,
2010,16,1.2,,,1,4,6,11,18,25,17,10,5,2,1,,,,,,,,,
2010,20,1.1,,,,,,15,30,40,15,,,,,,,,,,,,,
2010,22,1.2,,,,,5,10,25,40,20,,,,,,,,,,,,,
2010,23,1,,,,,5,10,20,25,20,15,5,,,,,,,,,,,
2010,29,1.3,,,,,,10,20,60,10,,,,,,,,,,,,,
2010,31,.8,,,,,,20,40,25,10,5,,,,,,,,,,,,
2010,33,.8,,,,,,10,80,10,,,,,,,,,,,,,,
2010,35,.8,,,,,,20,70,10,,,,,,,,,,,,,,
2010,37,1.1,,,,,,2,10,50,36,2,,,,,,,,,,,,
2010,38,1.3,,,,,,,20,60,20,,,,,,,,,,,,,
2010,39,1.5,,,,,,,15,45,35,5,,,,,,,,,,,,
2010,40,1.2,,,,,,,,90,10,,,,,,,,,,,,,
2010,41,.9,,,,,,,60,40,,,,,,,,,,,,,,
2010,42,1.2,,,,,,5,20,45,25,5,,,,,,,,,,,,
2010,48,1.2,0,0,0,0,5,10,10,40,35,0,0,0,0,0,,,,,,,,
2010,49,1,,,,2.5,2.5,5,25,40,15,5,2.5,2.5,,,,,,,,,,
2010,50,1.7,,,,,,,,30,70,,,,,,,,,,,,,
2010,52,1.1,0,.2,1,3,6,11,25.7,33,19,.8,.3,,,,,,,,,,,
2010,54,1.5,,,,,,5,15,30,40,10,,,,,,,,,,,,
2010,57,1.1,,,,,,,,,,,,,,,,,,,,,,
2010,58,1.4,,,,,,,,,,,,,,,,,,,,,,
2010,59,1,,,,,,10,30,45,15,,,,,,,,,,,,,
2010,61,1.4,,,,,,10,20,40,25,5,,,,,,,,,,,,
2010,63,1.2,,,,,,5,25,60,10,,,,,,,,,,,,,
2010,65,1.2,,,,,,,25,50,25,,,,,,,,,,,,,
2010,68,.8,,,,,,20,50,30,,,,,,,,,,,,,,
2010,70,.7,,,,,,35,65,,,,,,,,,,,,,,,
2010,73,1,,,,,20,20,20,30,10,,,,,,,,,,,,,
2010,82,1.3,,,,,,,,,,,,,,,,,,,,,,
2010,84,1.3,,,,3,10,14,20,28,20,5,,,,,,,,,,,,
2010,88,1.3,,,,,2.5,10,22.5,30,22.5,10,2.5,,,,,,,,,,,
