INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2004,1,1.7,,,5,20,30,30,10,5,,,,,
2004,2,1.6,0,1,5,23,35,30,5,1,0,,,,
2004,3,1.7,0,0,5,30,30,30,5,0,0,,,,
2004,4,1.8,,,,,70,30,,,,,,,
2004,5,,,,,,70,30,,,,,,,
2004,7,1.75,,,,,,,,,,,,,
2004,9,1.8,,,,,70,30,,,,,,,
2004,10,1.73089597,1.05033989,2.7484483,9.59730224,19.55751717,25.96578465,22.46468181,12.66380228,4.64964974,1.30247392,,,,
2004,11,1.8,,,,10,70,20,,,,,,,
2004,14,1.7,,,,20,70,10,,,,,,,
2004,15,1.75,,,,10,60,20,10,,,,,,
2004,16,1.8,0,2,14,17,23,21,15,5,3,,,,
2004,17,1.6,,,5,30,40,20,5,,,,,,
2004,20,1.8,,,,,90,10,,,,,,,
2004,22,1.8,0,0,5,20,50,25,0,0,0,,,,
2004,23,1.8,,,,,60,40,,,,,,,
2004,24,1.8,,,5,15,50,25,5,,,,,,
2004,26,1.8,,,,20,60,20,,,,,,,
2004,28,1.9,,,5,20,40,30,5,,,,,,
2004,29,1.7,,,,10,80,10,,,,,,,
2004,30,1.8,,,,,85,15,,,,,,,
2004,31,1.8,,,,5,70,25,,,,,,,
2004,32,1.8,,,5,15,35,30,10,5,,,,,
2004,33,1.8,,,,,70,30,,,,,,,
2004,35,1.9,,,,,60,40,,,,,,,
2004,36,2,,,,5,25,45,25,,,,,,
2004,37,1.9,,,,,60,40,,,,,,,
2004,38,1.7,,,,,55,45,,,,,,,
2004,39,1.9,,,,15,40,35,10,,,,,,
2004,40,1.7,,,,,100,,,,,,,,
2004,41,1.5,,,,20,70,10,,,,,,,
2004,42,1.8,,,,5,55,40,,,,,,,
2004,45,1.8,,,,,100,,,,,,,,
2004,47,1.8,,,,,80,20,,,,,,,
2004,48,1.9,,,,,50,50,,,,,,,
2004,50,1.5,,,,50,50,,,,,,,,
2004,52,1.7,,,,10,65,25,,,,,,,
2004,54,1.8,,,,10,60,30,,,,,,,
2004,56,1.8,,,,10,70,20,,,,,,,
2004,57,1.7,,,,,,,,,,,,,
2004,59,1.7,,,5,25,50,15,5,,,,,,
2004,60,1.8,,,5,15,50,25,5,,,,,,
2004,61,1.8,,,,10,40,40,10,,,,,,
2004,62,1.5,,,,20,70,10,,,,,,,
2004,63,1.7,,,,20,70,10,,,,,,,
2004,67,1.9,,,5,20,30,25,15,5,,,,,
2004,68,1.7,1,2,10,18,39,23,4,2,1,,,,
2004,70,1.7,,,,,100,,,,,,,,
2004,71,1.9,1,3,6,20,35,22,10,2,1,,,,
2004,73,1.7,,,,20,60,20,,,,,,,
2004,76,1.8,,,2.5,20,50,25,2.5,,,,,,
2004,80,1.6,.00120494,.11889365,4.19088663,30.29695513,47.61332565,16.53579075,1.22463133,.01825963,.00005,,,,
2004,82,1.7,,,8,12,60,12,8,,,,,,
2004,85,2,,,,,30,70,,,,,,,
2004,88,1.7,,,10,15,45,25,5,,,,,,
2004,89,1.8,,,,15,50,35,,,,,,,
2004,90,1.8,0,0,5,15,55,20,5,0,0,,,,
2004,91,1.9,,0,0,2.3,66.9,30.7,.1,0,0,,,,
2004,92,2.1,0,.03,.79,7.26,26.38,38.12,21.95,5.01,.46,,,,
2004,93,1.8,,,,,80,20,,,,,,,
2004,94,1.9,,,10,25,30,25,10,,,,,,
2004,95,1.7,0,0,0,17,56,27,0,0,0,,,,
2004,96,2.1,,,,,25,70,5,,,,,,
2004,97,1.8,,,,15,80,5,,,,,,,
2005,1,1.8,,,3,7,25,25,25,10,5,,,,
2005,2,2,0,3,7,12,28,28,18,4,0,,,,
2005,3,2,0,0,5,15,30,30,15,5,0,,,,
2005,4,1.9,,,,,60,40,,,,,,,
2005,5,,,,,10,65,25,,,,,,,
2005,7,1.5,,,,,,,,,,,,,
2005,9,1.8,,,,,70,30,,,,,,,
2005,10,1.78008688,.88113964,2.406416,8.74323663,18.58457856,25.73601413,23.22403609,13.65556286,5.22993972,1.53907637,,,,
2005,11,1.7,,,,20,70,10,,,,,,,
2005,14,1.6,,,10,30,50,10,,,,,,,
2005,15,1.6,,,,20,60,15,5,,,,,,
2005,16,1.6,0,0,8,15,23,21,19,10,4,,,,
2005,17,1.5,,5,15,20,30,20,10,,,,,,
