INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,
2001,91,1.5,0,.999001,24.27572428,58.84115884,15.48451548,.3996004,0,0,0,,,
2001,93,1.6,0,0,0,35,40,20,5,0,0,,,
2001,94,1.3,0,0,0,50,50,0,0,0,0,,,
2001,95,1.8,0,0,5,23,35,26,9,2,0,,,
2001,96,2,0,0,0,5,30,40,15,8,2,,,
2001Jun,1,2,0,0,1,14,30,30,20,4,1,,,
2001Jun,3,1.9,0,0,0,0,60,40,0,0,0,,,
2001Jun,4,1.8,0,0,0,10,50,40,0,0,0,,,
2001Jun,5,1.7,0,0,0,10,80,10,0,0,0,,,
2001Jun,7,2,,,,,,,,,,,,
2001Jun,9,2,0,0,0,0,50,50,0,0,0,,,
2001Jun,10,1.9,0,0,0,0,20,50,30,0,0,,,
2001Jun,11,1.6,0,0,0,30,60,10,0,0,0,,,
2001Jun,14,1.7,0,0,0,10,80,10,0,0,0,,,
2001Jun,15,2,0,0,0,5,50,40,5,0,0,,,
2001Jun,17,1.6,0,0,10,20,40,25,5,0,0,,,
2001Jun,19,1.8,0,0,0,0,75,25,0,0,0,,,
2001Jun,20,1.8,0,0,0,0,70,30,0,0,0,,,
2001Jun,22,1,3,6,30,30,20,5,3,2,1,,,
2001Jun,26,1.9,0,0,0,10,40,40,10,0,0,,,
2001Jun,28,,0,0,5,20,50,20,5,0,0,,,
2001Jun,29,,,,,,,,,,,,,
2001Jun,30,1.6,0,0,0,15,80,5,0,0,0,,,
2001Jun,31,1.5,,,,,,,,,,,,
2001Jun,32,1.8,0,0,0,10,45,35,10,0,0,,,
2001Jun,33,2.1,0,0,0,0,10,80,10,0,0,,,
2001Jun,35,2,0,0,0,0,30,50,20,0,0,,,
2001Jun,36,2.2,0,0,5,10,40,35,10,0,0,,,
2001Jun,37,2.2,0,0,0,0,50,50,0,0,0,,,
2001Jun,39,2.1,0,0,0,5,35,55,5,0,0,,,
2001Jun,41,1.8,0,0,0,10,60,30,0,0,0,,,
