INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2002,1,1.8,0,0,15,25,35,20,5,0,0,,,,
2002,2,2,0,0,0,0,30,40,30,0,0,,,,
2002,3,1.6,0,0,0,30,60,10,0,0,0,,,,
2002,4,1.4,0,0,5,40,50,5,0,0,0,,,,
2002,7,1.75,,,,,,,,,,,,,
2002,10,1.4,0,0,0,20,70,10,0,0,0,,,,
2002,11,1.2,0,0,20,60,20,0,0,0,0,,,,
2002,14,1.6,0,0,20,30,40,10,0,0,0,,,,
2002,15,1.8,0,0,0,10,60,25,5,0,0,,,,
2002,16,1.9,2.5,5,10,15,25,20,15,5,2.5,,,,
2002,17,1.8,0,0,5,20,40,20,10,5,0,,,,
2002,20,1.5,0,0,0,50,50,0,0,0,0,,,,
2002,22,1.5,2,5,10,30,35,10,5,3,0,,,,
2002,26,1.7,0,0,10,30,45,15,0,0,0,,,,
2002,28,1.9,0,0,0,40,50,10,0,0,0,,,,
2002,29,1.7,0,0,0,15,75,10,0,0,0,,,,
2002,30,1.7,0,0,0,15,70,15,0,0,0,,,,
2002,31,1.6,,,,,,,,,,,,,
2002,32,1.6,0,0,10,20,35,25,10,0,0,,,,
2002,33,1.5,0,0,0,50,50,0,0,0,0,,,,
2002,35,1.9,0,0,0,0,70,30,0,0,0,,,,
2002,36,2.3,0,0,0,0,25,40,30,5,0,,,,
2002,37,1.8,0,0,0,0,80,20,0,0,0,,,,
2002,39,2.1,0,0,0,0,30,65,5,0,0,,,,
2002,40,1.5,0,0,0,0,90,10,0,0,0,,,,
2002,41,1.8,0,0,0,10,70,20,0,0,0,,,,
2002,42,1.5,0,0,0,40,50,10,0,0,0,,,,
2002,47,1.8,0,0,0,0,50,40,10,0,0,,,,
2002,48,1.5,0,0,0,30,40,20,10,0,0,,,,
2002,50,1.6,0,0,0,0,50,50,0,0,0,,,,
2002,52,1.2,0,0,15,40,30,10,5,0,0,,,,
2002,53,1.5,0,0,0,50,50,0,0,0,0,,,,
2002,54,1.7,0,0,0,10,50,40,0,0,0,,,,
2002,56,1.6,0,0,0,30,50,20,0,0,0,,,,
2002,57,1.8,0,0,0,5,85,10,0,0,0,,,,
2002,59,1.3,5,10,15,25,30,10,5,0,0,,,,
2002,61,1.3,0,0,10,50,35,5,0,0,0,,,,
2002,62,1.75,0,0,5,20,70,5,0,0,0,,,,
2002,63,1.6,0,0,0,30,60,10,0,0,0,,,,
2002,64,1.9,,,,,,,,,,,,,
2002,65,1.8,0,0,0,10,30,40,20,0,0,,,,
2002,68,1.7,1,1,3,15,60,15,3,1,1,,,,
2002,72,1.6,0,0,10,25,35,20,10,0,0,,,,
2002,73,1.8,0,0,0,0,95,5,0,0,0,,,,
2002,76,2,0,.5,4,10,25,37.5,15,8,0,,,,
2002,80,1.7,.00000114,.00326279,.82597124,20.39700224,57.54752517,20.43244935,.79052413,.00326279,.00000114,,,,
2002,84,1.8,0,0,0,15,50,25,10,0,0,,,,
2002,85,1.8,0,0,0,20,50,30,0,0,0,,,,
2002,87,1.5,0,0,15,35,35,15,0,0,0,,,,
2002,89,1.7,0,0,0,25,50,25,0,0,0,,,,
2002,90,1.9,0,0,0,0,90,10,0,0,0,,,,
2002,91,2,.00002871,.00881575,.61212353,9.94401592,39.43504478,39.43501611,9.94401592,.61212353,.00881575,,,,
2002,92,1.8,0,.255518,3.337492,17.59239,36.8095,30.5669,10.1166,1.3216,0,,,,
2002,93,1.8,0,0,0,10,70,20,0,0,0,,,,
2002,94,2,0,0,0,0,30,50,20,0,0,,,,
2002,95,1.5,0,1,14,33,32,16,4,0,0,,,,
2002,96,1.8,0,0,0,10,50,35,5,0,0,,,,
2002Dec,1,1.9,0,0,5,15,30,30,15,5,0,,,,
2002Dec,2,2,0,0,0,0,30,40,30,0,0,,,,
2002Dec,3,1.7,0,0,0,20,60,20,0,0,0,,,,
2002Dec,4,1.7,0,0,0,20,60,20,0,0,0,,,,
2002Dec,7,1.5,,,,,,,,,,,,,
2002Dec,10,,,,,,,,,,,,,,
2002Dec,11,1.2,0,0,15,65,20,0,0,0,0,,,,
2002Dec,14,1.5,0,0,10,40,40,10,0,0,0,,,,
2002Dec,15,1.75,0,0,0,10,60,25,5,0,0,,,,
2002Dec,16,1.9,2.5,5,10,15,25,20,15,5,2.5,,,,
2002Dec,17,1.5,0,0,5,30,40,20,5,0,0,,,,
2002Dec,20,1.2,0,0,0,75,25,0,0,0,0,,,,
2002Dec,22,1.6,0,5,10,30,35,10,5,3,2,,,,
2002Dec,26,1.5,0,0,15,35,35,15,0,0,0,,,,
2002Dec,28,1.9,0,0,0,15,70,15,0,0,0,,,,
2002Dec,29,1.7,0,0,0,15,75,10,0,0,0,,,,
2002Dec,30,,,,,,,,,,,,,,
2002Dec,31,1.7,,,,,,,,,,,,,
2002Dec,32,1.6,0,0,10,20,35,25,10,0,0,,,,
2002Dec,33,1.7,0,0,0,10,80,10,0,0,0,,,,
2002Dec,35,2.1,0,0,0,0,30,60,10,0,0,,,,
2002Dec,36,1.9,0,0,0,5,40,30,20,5,0,,,,
2002Dec,37,2,0,0,0,0,50,50,0,0,0,,,,
2002Dec,39,2.3,0,0,0,5,10,50,30,5,0,,,,
2002Dec,40,1.5,0,0,0,0,100,0,0,0,0,,,,
2002Dec,41,1.8,,,,,,,,,,,,,
2002Dec,42,1.7,0,0,0,15,70,15,0,0,0,,,,
2002Dec,47,1.9,0,0,0,0,50,40,10,0,0,,,,
2002Dec,48,1.7,0,0,0,30,40,30,0,0,0,,,,
2002Dec,50,1.8,0,0,0,0,50,25,25,0,0,,,,
2002Dec,52,1.4,0,0,15,35,35,10,5,0,0,,,,
2002Dec,53,1.9,0,0,0,0,60,40,0,0,0,,,,
2002Dec,54,1.8,0,0,0,10,50,40,0,0,0,,,,
2002Dec,56,1.7,0,0,0,20,55,25,0,0,0,,,,
2002Dec,57,1.7,,,,,,,,,,,,,
2002Dec,59,.8,0,5,15,40,20,15,5,0,0,,,,
2002Dec,61,1.3,0,0,10,50,35,5,0,0,0,,,,
2002Dec,62,,,,,,,,,,,,,,
2002Dec,63,1.5,,,,,,,,,,,,,
2002Dec,64,,,,,,,,,,,,,,
2002Dec,65,2,0,0,0,10,30,40,20,0,0,,,,
2002Dec,68,,,,,,,,,,,,,,
2002Dec,72,1.5,0,5,10,30,30,15,8,2,0,,,,
2002Dec,73,1.6,0,0,0,15,80,5,0,0,0,,,,
2002Dec,76,2.1,0,.5,5,12,22.5,32.5,17.5,7.5,2.5,,,,
2002Dec,80,1.9,,,,,,,,,,,,,
2002Dec,84,1.7,0,0,3,15,40,30,10,2,0,,,,
2002Dec,85,2.2,0,0,0,0,20,40,30,10,0,,,,
2002Dec,87,1.5,0,0,5,20,45,20,10,0,0,,,,
2002Dec,89,1.7,0,0,0,25,50,25,0,0,0,,,,
2002Dec,90,2.4,0,0,0,0,0,85,15,0,0,,,,
2002Dec,91,1.9,0,.00000027,.0088441,4.7701885,61.37485223,33.225147,.6207389,.000229,0,,,,
2002Dec,92,2.1,0,.78638722,3.69981324,11.97520232,23.74880681,28.87554472,21.53641834,9.37782735,0,,,,
2002Dec,93,1.8,0,0,0,10,70,20,0,0,0,,,,
2002Dec,94,2.3,0,0,0,0,30,50,20,0,0,,,,
2002Dec,95,1.5,0,5,18,29,27,15,6,0,0,,,,
2002Dec,96,1.9,0,0,0,10,50,30,10,0,0,,,,
2003,1,2.1,0,0,10,15,25,25,15,10,0,,,,
2003,2,2,0,0,0,0,30,40,30,0,0,,,,
2003,3,1.9,0,0,0,20,40,30,10,0,0,,,,
2003,4,1.4,0,0,5,50,40,5,0,0,0,,,,
2003,7,1.5,,,,,,,,,,,,,
2003,10,1.3,0,0,0,10,65,20,5,0,0,,,,
2003,11,1.6,0,0,0,30,70,0,0,0,0,,,,
2003,14,1.5,0,0,20,30,40,10,0,0,0,,,,
2003,15,1.7,0,0,0,20,45,25,10,0,0,,,,
2003,16,1.9,7,8,10,15,20,15,10,8,7,,,,
2003,17,1.6,0,0,5,25,30,25,15,0,0,,,,
2003,20,1.6,0,0,0,15,75,10,0,0,0,,,,
2003,22,1.7,0,5,10,30,35,10,5,3,2,,,,
2003,26,1.5,0,5,15,30,30,15,5,0,0,,,,
2003,28,1.6,0,0,0,20,70,10,0,0,0,,,,
2003,29,1.5,0,0,0,25,60,15,0,0,0,,,,
2003,30,1.8,0,0,0,15,65,20,0,0,0,,,,
2003,31,1.8,,,,,,,,,,,,,
2003,32,,,,,,,,,,,,,,
2003,33,2,0,0,0,0,50,50,0,0,0,,,,
2003,35,,,,,,,,,,,,,,
2003,36,1.9,0,0,0,10,30,30,15,10,5,,,,
2003,37,1.8,0,0,0,0,70,30,0,0,0,,,,
2003,39,1.9,0,0,0,12,45,35,8,0,0,,,,
2003,40,1.7,0,0,0,0,90,10,0,0,0,,,,
2003,41,1.8,0,0,0,0,80,20,0,0,0,,,,
2003,42,1.7,0,0,0,15,70,15,0,0,0,,,,
2003,47,2.1,0,0,0,0,30,50,20,0,0,,,,
2003,48,1.8,0,0,0,20,40,30,10,0,0,,,,
2003,50,1.9,0,0,0,0,25,75,0,0,0,,,,
2003,52,1.6,0,0,10,20,40,20,10,0,0,,,,
2003,53,2,0,0,0,0,40,60,0,0,0,,,,
2003,54,1.3,0,0,0,60,30,10,0,0,0,,,,
2003,56,1.9,0,0,0,20,45,30,5,0,0,,,,
2003,57,1.7,0,0,0,20,80,0,0,0,0,,,,
2003,59,1.5,5,5,10,25,30,15,10,0,0,,,,
2003,61,1.6,0,0,5,30,50,15,0,0,0,,,,
2003,62,2,0,0,0,5,30,60,5,0,0,,,,
2003,63,1.7,0,0,0,20,60,20,0,0,0,,,,
2003,64,1.7,,,,,,,,,,,,,
2003,65,2,0,0,0,10,30,40,20,0,0,,,,
2003,68,1.7,1,1,3,15,60,15,3,1,1,,,,
2003,72,1.6,4,10,15,20,25,15,7,3,1,,,,
2003,73,1.6,0,0,0,10,70,20,0,0,0,,,,
2003,76,2,.5,2.5,7.5,12,20,30,15,7.5,5,,,,
2003,80,1.8,.00901471,.30479695,3.95077045,19.66546605,38.00083188,28.82727355,8.24652743,.95347356,.04184542,,,,
2003,84,1.9,0,0,0,15,40,30,10,5,0,,,,
2003,85,2.4,0,0,0,0,25,40,35,0,0,,,,
2003,87,1.8,0,0,10,20,35,25,10,0,0,,,,
2003,89,1.8,0,0,5,20,40,30,5,0,0,,,,
2003,90,1.9,0,0,0,5,85,10,0,0,0,,,,
2003,91,2,0,.0000287,.042882,4.736121,45.2209793,45.22096,4.736121,.04288,.000028,,,,
2003,92,2.1,0,1.77162148,5.27627387,13.07933326,22.20761684,25.8319443,20.59004114,11.24316911,0,,,,
2003,93,2,0,0,0,0,80,20,0,0,0,,,,
2003,94,2.4,0,0,0,0,20,50,30,0,0,,,,
2003,95,1.5,0,10,16,23,23,18,8,2,0,,,,
2003,96,2,0,0,2,10,40,33,10,5,0,,,,
2003Dec,1,2.2,0,0,10,20,20,20,20,10,0,,,,
2003Dec,2,2,0,0,0,10,20,40,20,10,0,,,,
2003Dec,3,2,0,0,0,10,40,40,10,0,0,,,,
2003Dec,4,1.4,0,0,10,40,40,10,0,0,0,,,,
2003Dec,7,1.25,,,,,,,,,,,,,
2003Dec,10,,,,,,,,,,,,,,
2003Dec,11,1.8,0,0,0,10,70,20,0,0,0,,,,
2003Dec,14,1.5,0,0,10,40,40,10,0,0,0,,,,
2003Dec,15,1.6,0,0,0,20,50,20,10,0,0,,,,
2003Dec,16,2,5,5,10,20,20,20,10,5,5,,,,
2003Dec,17,1.3,0,0,25,40,25,10,0,0,0,,,,
2003Dec,20,1.8,0,0,0,10,75,15,0,0,0,,,,
