INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2001,1,2.8,0,0,0,0,5,15,60,20,0,,,,
2001,3,2.4,0,0,0,0,0,70,30,0,0,,,,
2001,5,2.8,0,0,0,0,0,40,60,0,0,,,,
2001,7,2.9,,,,,,,,,,,,,
2001,10,2.7,0,0,0,0,0,10,80,10,0,,,,
2001,11,2.8,0,0,0,0,0,10,70,20,0,,,,
2001,14,2.5,0,0,0,0,0,50,50,0,0,,,,
2001,15,2.6,0,0,0,0,0,20,70,10,0,,,,
2001,19,2.7,0,0,0,0,0,5,90,5,0,,,,
2001,22,2.7,0,0,0,0,5,20,50,20,5,,,,
2001,23,2.8,0,0,0,0,0,15,70,15,0,,,,
2001,24,2.7,0,0,0,0,0,5,90,5,0,,,,
2001,26,2.7,0,0,0,0,0,25,50,25,0,,,,
2001,28,2.8,0,0,0,0,0,30,40,30,0,,,,
2001,29,3,0,0,0,0,0,0,60,40,0,,,,
2001,30,2.9,0,0,0,0,0,0,70,30,0,,,,
2001,31,2.6,0,0,0,0,0,35,65,0,0,,,,
2001,32,2.7,0,0,0,0,5,40,50,5,0,,,,
2001,33,2.7,0,0,0,0,0,10,90,0,0,,,,
2001,35,2.7,0,0,0,0,0,10,80,10,0,,,,
2001,36,2.6,0,0,0,0,5,40,50,5,0,,,,
2001,37,2.7,0,0,0,0,0,0,100,0,0,,,,
2001,39,2.7,0,0,0,0,0,1,98,1,0,,,,
2001,41,2.8,0,0,0,0,0,10,60,30,0,,,,
2001,42,2.8,0,0,0,0,0,0,70,30,0,,,,
2001,45,2.7,0,0,0,0,0,0,100,0,0,,,,
2001,47,2.8,0,0,0,0,0,0,90,10,0,,,,
2001,49,2.8,0,0,0,0,0,20,70,10,0,,,,
2001,53,2.8,0,0,0,0,0,0,80,20,0,,,,
2001,54,2.5,0,0,0,0,10,40,40,10,0,,,,
2001,56,2.7,0,0,0,0,0,30,60,10,0,,,,
2001,57,2.7,0,0,0,0,0,25,70,5,0,,,,
2001,59,2.7,0,0,0,0,5,35,45,15,0,,,,
2001,61,2.4,0,0,0,0,5,55,40,0,0,,,,
2001,63,2.7,0,0,0,0,0,30,70,0,0,,,,
2001,68,2.8,1,3,8,9,11,12,41,12,3,,,,
2001,70,2.4,0,0,0,0,0,50,50,0,0,,,,
2001,73,2.4,0,0,0,0,15,80,5,0,0,,,,
2001,80,3,0,0,0,0,.02,3.83,46.15,46.15,3.85,,,,
2001,84,2.7,0,0,0,0,0,10,65,25,0,,,,
2001,85,2.3,0,0,0,0,1,93,6,0,0,,,,
2001,87,2.5,0,0,0,0,10,45,40,5,0,,,,
2001,89,2.9,0,0,0,0,0,25,50,25,0,,,,
2001,90,2.8,0,0,0,0,0,10,90,0,0,,,,
2001,91,2.8,0,0,.1,2.2,20.4,46.5,26.8,3.9,.1,,,,
2001,92,2.8,0,0,0,0,.13301954,9.19881306,55.19287834,35.47528906,0,,,,
2001,93,2.5,0,0,0,0,0,20,60,20,0,,,,
2001,94,2.8,0,0,0,0,0,10,70,20,0,,,,
2001,95,2.7,0,0,0,0,0,25,60,15,0,,,,
2001,96,2.8,0,0,0,0,5,30,50,15,0,,,,
2002,1,2,0,0,0,15,25,35,20,5,0,,,,
2002,3,1.9,0,0,0,10,50,40,0,0,0,,,,
