INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2012,1,2.1,,,,,,10,25,60,5,,,,,,,,,,
2012,2,2.5,0,,0,0,0,0,15,35,40,10,0,,,,,,,,
2012,4,2.3,,,,,5,10,20,30,25,10,,,,,,,,,
2012,6,2.5,,,,,,,5,40,50,5,,,,,,,,,
2012,7,2,,,,,,,,,,,,,,,,,,,
2012,8,2.5,,,,,,,5,40,45,10,,,,,,,,,
2012,14,2.4,,,,,,,,,,,,,,,,,,,
2012,15,2.1,,,,,,5,35,45,15,,,,,,,,,,
2012,16,2.4,1,2,3,7,9,10,17,23,19,6,2,1,,,,,,,
2012,20,2.4,,,,,,,,60,40,,,,,,,,,,
2012,22,2.5,,,,,,,10,40,45,5,,,,,,,,,
2012,23,2.5,,,,,,5,10,30,35,15,5,,,,,,,,
2012,24,2.5,,,,,,5,17.5,22.5,27.5,17.5,10,,,,,,,,
2012,26,2.5,,,,,,5,15,30,35,15,,,,,,,,,
2012,29,2.1,,,,,,,40,50,10,,,,,,,,,,
2012,30,2.3,,,,,,,20,40,40,,,,,,,,,,
2012,31,2.3,,,,,,,10,60,30,,,,,,,,,,
2012,33,2.5,,,,,,,,50,50,,,,,,,,,,
2012,35,2.6,,,,,,,,50,50,,,,,,,,,,
2012,37,2.4,,,,,,,14,62,24,,,,,,,,,,
2012,38,2.2,,,,,,,10,60,30,,,,,,,,,,
2012,39,2.7,,,,,,,5,20,55,20,,,,,,,,,
2012,41,2.2,,,,,,,30,70,,,,,,,,,,,
2012,42,2.1,,,,,,10,30,40,15,5,,,,,,,,,
2012,47,2.5,0,0,1,2,3,8,14,20,24,18,10,0,,,,,,,
2012,49,2.3,,,,,,4,10,50,30,6,,,,,,,,,
2012,52,2.3,0,0,0,0,3,10,25,45,16,1,0,0,,,,,,,
2012,54,2.5,,,,,,,10,40,40,10,,,,,,,,,
2012,57,2.2,,,,,,,,,,,,,,,,,,,
2012,58,1.2,0,0,3.2,17.9,19.2,22.1,19.3,16.7,1.6,0,0,0,,,,,,,
2012,67,2.5,,,,,,5,15,20,30,15,10,5,,,,,,,
2012,68,1.9,,,,0,5,15,30,30,20,0,,,,,,,,,
2012,70,1.9,,,,,,,55,45,,,,,,,,,,,
2012,80,2.4,0,0,.000000005,.0000132255,.0064646893,.6013977061,11.1380959542,43.5038545052,37.4213833093,7.0497891884,.2768561272,.0021452898,,,,,,,
2012,82,2.4,,,,,,,,,,,,,,,,,,,
2012,84,2.3,0,0,0,0,0,0,22,38,33,7,0,0,,,,,,,
2012,85,2.38,0,0,.0000000282,.0000370785,.0107428666,.7035011002,10.7926859486,40.4869135617,38.3260709576,9.1414338632,.531379791,.0072348044,,,,,,,
2012,88,2.488,,,,,,5,10,25,30,15,10,5,,,,,,,
2012,89,2.1,,,,2.5,10,10,15,25,15,12.5,10,,,,,,,,
2012,91,2.1,0,0,0,0,5,25,30,30,10,0,0,0,,,,,,,
2012,92,2.4,0,0,0,.0000000092,.0001324179,.0717938079,6.4861106373,56.5778094392,33.6122318828,3.2305276686,.0213841473,.0000099898,,,,,,,
2012,93,2.6,,,,,,,,30,70,,,,,,,,,,
2012,94,2.8,,,,1,3,4,5,10,40,19,10,8,,,,,,,
2012,95,1.938543956,0,.5494505495,1.6978021978,2.5494505495,6.9450549451,22.1868131868,34.2802197801,14.6153846154,10.3846153846,3.9945054945,1.6978021978,1.0989010989,,,,,,,
2012,98,2.2,,,,,,5,15,55,15,10,,,,,,,,,
2012,99,2.4,,,,,,,30,60,10,,,,,,,,,,
2012,102,2.73,,,,,,,,15,70,15,,,,,,,,,
2012,103,2.3,,,,,,2.5,10,40,35,10,2.5,,,,,,,,
2012,104,2.3,0,0,0,0,5,10,15,40,25,5,0,0,,,,,,,
2012,105,2.5,,,,,0,0,10,40,50,,,,,,,,,,
2012,107,2.4,0,0,0,.0000000092,.0001324179,.0717938079,6.4861106373,56.5778094392,33.6122318828,3.2305276686,.0213841473,.0000099898,,,,,,,
2012,108,1.9068562347,,,,,6.99,22.78,38.6,29.59,2.04,,,,,,,,,,
2012,109,2.5,.5,1,2,3,5,7,13,28,29,10,1,.5,,,,,,,
2012,110,2.2,0,0,0,0,0,0,.1591047547,97.3781846812,2.4627105638,.0000000003,0,0,,,,,,,
2012,111,,,,,,,,,,,,,,,,,,,,
2012,112,2.2,,,,,,5,20,40,25,10,,,,,,,,,
2013,1,1.8,,,,,5,20,60,10,5,,,,,,,,,,
2013,2,2.2,0,0,,,5,10,20,30,20,10,5,0,,,,,,,
2013,4,1.8,,,,5,10,20,30,20,10,5,,,,,,,,,
2013,6,2.2,,,,,,,30,40,30,,,,,,,,,,
2013,7,1.1,,,,,,,,,,,,,,,,,,,
2013,8,1.9,1,2,3,4,7,16,24,23,14,3,2,1,,,,,,,
2013,14,2,,,,,,,,,,,,,,,,,,,
2013,15,1.7,,,,,5,20,50,15,10,,,,,,,,,,
2013,16,2,1,2,3,4,6,12,20,22,20,6,3,1,,,,,,,
2013,20,1.8,,,,,,15,40,30,15,,,,,,,,,,
2013,22,1.8,,,,,5,15,55,20,5,,,,,,,,,,
2013,23,1.8,,,,5,10,20,27,20,10,5,3,,,,,,,,
2013,24,1.7,,,,5,12.5,20,25,20,12.5,5,,,,,,,,,
2013,26,1.9,,,,,5,20,30,25,15,5,,,,,,,,,
2013,29,1.9,,,,,,,50,40,10,,,,,,,,,,
2013,30,1.8,,,,,,30,40,30,,,,,,,,,,,
